,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,12,22,Frd
1,1,97.344,81.361,12,22,Frd
2,2,93.146,85.028,12,22,Frd
3,3,99.072,79.942,10,22,Frd
4,4,1213.551,6.526,10,22,Frd
5,5,220.121,35.980,10,22,Frd
6,6,189.181,41.865,10,22,Frd
7,7,95.82,82.655,10,22,Frd
8,8,92.407,85.708,10,22,Frd
9,9,91.79,86.284,10,22,Frd
10,10,91.893,86.187,10,22,Frd
11,11,91.918,86.164,10,22,Frd
12,12,92.013,86.075,10,22,Frd
13,13,92.221,85.881,10,22,Frd
14,14,92.333,85.776,10,22,Frd
15,15,92.478,85.642,10,22,Frd
16,16,92.745,85.395,10,22,Frd
17,17,101.462,78.059,13,22,Frd
18,18,120.332,65.818,16,22,Frd
19,19,93.372,84.822,15,22,Frd
20,20,102.935,76.942,15,22,Frd
21,21,144.407,54.845,15,22,Frd
22,22,144.895,54.660,14,22,Frd
23,23,201.52,39.301,12,22,Frd
24,24,182.418,43.417,12,22,Frd
25,25,96.154,82.368,12,22,Frd
26,26,92.921,85.234,11,22,Frd
27,27,92.183,85.916,11,22,Frd
28,28,92.142,85.954,10,22,Frd
29,29,92.719,85.419,10,22,Frd
30,30,93.236,84.946,8,22,Frd
31,31,142.983,55.391,8,22,Frd
32,32,212.281,37.309,7,22,Frd
33,33,218.547,36.239,7,22,Frd
34,34,95.898,82.588,7,22,Frd
35,35,92.164,85.934,7,22,Frd
36,36,91.989,86.097,7,22,Frd
37,37,92.252,85.852,6,22,Frd
38,38,92.839,85.309,5,22,Frd
39,39,92.313,85.795,5,22,Frd
40,40,92.055,86.036,5,22,Frd
41,41,92.219,85.883,5,22,Frd
42,42,101.487,78.040,8,22,Frd
43,43,119.652,66.192,19,22,Frd
44,44,92.514,85.609,19,22,Frd
45,45,99.775,79.379,19,22,Frd
46,46,146.315,54.130,19,22,Frd
47,47,179.859,44.034,15,22,Frd
48,48,181.793,43.566,13,22,Frd
49,49,96.919,81.718,12,22,Frd
50,50,92.962,85.196,12,22,Frd
51,51,92.005,86.082,11,22,Frd
52,52,92.558,85.568,10,22,Frd
53,53,92.005,86.082,10,22,Frd
54,54,92.323,85.786,10,22,Frd
55,55,92.408,85.707,10,22,Frd
56,56,92.514,85.609,10,22,Frd
57,57,92.022,86.066,10,22,Frd
58,58,92.513,85.610,10,22,Frd
59,59,92.939,85.217,10,22,Frd
60,60,129.942,60.950,11,22,Frd
61,61,220.812,35.868,10,22,Frd
62,62,195.856,40.438,9,22,Frd
63,63,104.793,75.578,23,22,Frd
64,64,124.016,63.863,23,22,Frd
65,65,210.168,37.684,22,22,Frd
66,66,196.535,40.298,23,22,Frd
67,67,97.862,80.930,18,22,Frd
68,68,92.307,85.801,17,22,Frd
69,69,93.314,84.875,16,22,Frd
70,70,95.814,82.660,13,22,Frd
71,71,92.838,85.310,11,22,Frd
72,72,91.963,86.122,11,22,Frd
73,73,92.482,85.638,11,22,Frd
74,74,92.553,85.573,11,22,Frd
75,75,120.721,65.606,11,22,Frd
