,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,29,21,Frd
1,1,99.623,79.500,26,21,Frd
2,2,94.631,83.694,26,21,Frd
3,3,109.442,72.367,18,21,Frd
4,4,1206.948,6.562,18,21,Frd
5,5,219.403,36.098,19,21,Frd
6,6,180.284,43.931,15,21,Frd
7,7,96.178,82.347,14,21,Frd
8,8,93.011,85.151,14,21,Frd
9,9,92.02,86.068,14,21,Frd
10,10,91.769,86.304,14,21,Frd
11,11,91.96,86.124,14,21,Frd
12,12,92.347,85.763,14,21,Frd
13,13,92.136,85.960,14,21,Frd
14,14,92.517,85.606,14,21,Frd
15,15,92.855,85.294,14,21,Frd
16,16,119.179,66.455,27,21,Frd
17,17,104.255,75.968,31,21,Frd
18,18,94.931,83.429,23,21,Frd
19,19,93.518,84.690,23,21,Frd
20,20,102.612,77.184,21,21,Frd
21,21,145.456,54.449,21,21,Frd
22,22,140.81,56.246,19,21,Frd
23,23,202.417,39.127,17,21,Frd
24,24,178.878,44.276,18,21,Frd
25,25,98.273,80.592,15,21,Frd
26,26,92.315,85.793,15,21,Frd
27,27,92.093,86.000,15,21,Frd
28,28,92.224,85.878,15,21,Frd
