,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,33,78,Chv
1,1,102.041,77.616,39,78,Chv
2,2,97.556,81.184,39,78,Chv
3,3,140.08,56.539,31,78,Chv
4,4,1184.521,6.686,31,78,Chv
5,5,289.246,27.382,32,78,Chv
6,6,111.787,70.849,30,78,Chv
7,7,94.905,83.452,30,78,Chv
8,8,94.362,83.932,30,78,Chv
9,9,94.395,83.903,30,78,Chv
10,10,94.233,84.047,30,78,Chv
11,11,95.056,83.319,30,78,Chv
12,12,93.958,84.293,30,78,Chv
13,13,94.136,84.134,30,78,Chv
14,14,93.691,84.533,30,78,Chv
15,15,94.205,84.072,30,78,Chv
16,16,94.08,84.184,30,78,Chv
17,17,94.878,83.476,28,78,Chv
18,18,95.356,83.057,20,78,Chv
19,19,95.683,82.773,22,78,Chv
20,20,108.102,73.264,25,78,Chv
21,21,145.676,54.367,25,78,Chv
22,22,163.228,48.521,28,78,Chv
23,23,186.286,42.515,28,78,Chv
24,24,169.079,46.842,27,78,Chv
25,25,103.541,76.491,29,78,Chv
26,26,96.642,81.952,30,78,Chv
27,27,94.04,84.219,29,78,Chv
28,28,92.298,85.809,29,78,Chv
29,29,94.164,84.109,28,78,Chv
30,30,93.878,84.365,26,78,Chv
31,31,141.108,56.127,23,78,Chv
32,32,225.175,35.173,26,78,Chv
33,33,193.309,40.971,26,78,Chv
34,34,103.483,76.534,27,78,Chv
35,35,93.487,84.718,27,78,Chv
36,36,93.649,84.571,27,78,Chv
37,37,92.478,85.642,26,78,Chv
38,38,92.3,85.807,25,78,Chv
39,39,92.317,85.791,24,78,Chv
40,40,143.294,55.271,30,78,Chv
41,41,94.894,83.462,30,78,Chv
42,42,95.803,82.670,30,78,Chv
43,43,96.012,82.490,30,78,Chv
44,44,97.024,81.629,30,78,Chv
45,45,100.338,78.933,30,78,Chv
46,46,123.278,64.245,30,78,Chv
47,47,195.591,40.493,28,78,Chv
48,48,148.289,53.409,27,78,Chv
49,49,100.669,78.674,28,78,Chv
50,50,94.054,84.207,27,78,Chv
51,51,93.212,84.968,26,78,Chv
52,52,93.509,84.698,24,78,Chv
53,53,92.865,85.285,24,78,Chv
54,54,92.968,85.191,24,78,Chv
55,55,93.639,84.580,23,78,Chv
56,56,93.402,84.795,22,78,Chv
57,57,93.197,84.981,22,78,Chv
58,58,93.246,84.937,22,78,Chv
59,59,93.123,85.049,22,78,Chv
60,60,127.583,62.077,22,78,Chv
61,61,234.352,33.795,27,78,Chv
62,62,171.472,46.188,25,78,Chv
63,63,100.365,78.912,21,78,Chv
64,64,125.46,63.128,22,78,Chv
65,65,210.427,37.638,21,78,Chv
66,66,196.114,40.385,20,78,Chv
67,67,101.39,78.114,22,78,Chv
68,68,93.72,84.507,22,78,Chv
69,69,92.347,85.763,22,78,Chv
70,70,95.02,83.351,21,78,Chv
71,71,95.52,82.915,20,78,Chv
72,72,93.63,84.588,20,78,Chv
73,73,93.046,85.119,20,78,Chv
74,74,96.821,81.800,19,78,Chv
75,75,130.333,60.767,19,78,Chv
