,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,32,47,Chv
1,1,101.186,78.272,35,47,Chv
2,2,96.826,81.796,34,47,Chv
3,3,126.526,62.596,26,47,Chv
4,4,1192.874,6.639,25,47,Chv
5,5,218.838,36.191,26,47,Chv
6,6,174.005,45.516,23,47,Chv
7,7,97.967,80.844,22,47,Chv
8,8,93.781,84.452,22,47,Chv
9,9,92.098,85.995,22,47,Chv
10,10,92.737,85.403,22,47,Chv
11,11,92.366,85.746,22,47,Chv
12,12,92.697,85.440,22,47,Chv
13,13,93.55,84.661,21,47,Chv
14,14,92.214,85.887,21,47,Chv
15,15,92.23,85.872,21,47,Chv
16,16,93.541,84.669,18,47,Chv
17,17,118.969,66.572,25,47,Chv
18,18,103.599,76.449,27,47,Chv
19,19,92.705,85.432,26,47,Chv
20,20,106.46,74.394,27,47,Chv
21,21,147.91,53.546,27,47,Chv
22,22,138.508,57.181,23,47,Chv
23,23,199.42,39.715,21,47,Chv
24,24,175.612,45.099,21,47,Chv
25,25,100.412,78.875,23,47,Chv
26,26,94.127,84.142,23,47,Chv
27,27,92.737,85.403,23,47,Chv
28,28,92.604,85.525,23,47,Chv
29,29,92.5,85.622,22,47,Chv
30,30,92.672,85.463,21,47,Chv
31,31,147.648,53.641,19,47,Chv
32,32,208.249,38.031,17,47,Chv
33,33,212.052,37.349,16,47,Chv
34,34,99.461,79.629,15,47,Chv
35,35,93.488,84.717,17,47,Chv
36,36,91.662,86.404,17,47,Chv
37,37,92.287,85.819,16,47,Chv
38,38,93.37,84.824,14,47,Chv
39,39,92.161,85.937,14,47,Chv
40,40,92.697,85.440,14,47,Chv
41,41,93.943,84.306,13,47,Chv
42,42,95.204,83.190,10,47,Chv
43,43,105.841,74.829,14,47,Chv
44,44,93.988,84.266,13,47,Chv
45,45,97.319,81.382,13,47,Chv
46,46,142.817,55.456,13,47,Chv
47,47,266.161,29.756,30,47,Chv
48,48,114.233,69.332,28,47,Chv
49,49,98.496,80.409,24,47,Chv
50,50,93.299,84.888,23,47,Chv
51,51,93.364,84.829,22,47,Chv
52,52,93.201,84.978,21,47,Chv
53,53,92.793,85.351,20,47,Chv
54,54,93.269,84.916,19,47,Chv
55,55,92.196,85.904,18,47,Chv
56,56,92.238,85.865,17,47,Chv
57,57,93.459,84.743,17,47,Chv
58,58,92.203,85.897,17,47,Chv
59,59,91.845,86.232,17,47,Chv
60,60,128.063,61.845,17,47,Chv
61,61,217.473,36.418,14,47,Chv
62,62,193.038,41.028,11,47,Chv
