,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,21,35,Tyt
1,1,99.255,79.794,20,35,Tyt
2,2,93.252,84.931,20,35,Tyt
3,3,277.02,28.590,33,35,Tyt
4,4,1234.116,6.418,34,35,Tyt
5,5,152.369,51.979,33,35,Tyt
6,6,104.26,75.964,32,35,Tyt
7,7,93.979,84.274,32,35,Tyt
8,8,93.3,84.887,32,35,Tyt
9,9,93.069,85.098,32,35,Tyt
10,10,93.0,85.161,32,35,Tyt
11,11,92.758,85.383,32,35,Tyt
12,12,92.866,85.284,32,35,Tyt
13,13,92.383,85.730,32,35,Tyt
14,14,92.711,85.427,32,35,Tyt
15,15,93.427,84.772,32,35,Tyt
16,16,93.233,84.948,32,35,Tyt
17,17,92.979,85.181,32,35,Tyt
18,18,93.627,84.591,30,35,Tyt
19,19,93.437,84.763,30,35,Tyt
20,20,105.156,75.317,30,35,Tyt
21,21,242.039,32.722,33,35,Tyt
22,22,115.294,68.694,31,35,Tyt
23,23,163.564,48.421,32,35,Tyt
24,24,136.573,57.991,31,35,Tyt
25,25,99.687,79.449,27,35,Tyt
26,26,92.745,85.395,27,35,Tyt
27,27,93.888,84.356,26,35,Tyt
28,28,91.951,86.133,26,35,Tyt
29,29,92.567,85.560,25,35,Tyt
30,30,119.308,66.383,30,35,Tyt
31,31,135.13,58.610,29,35,Tyt
32,32,199.302,39.739,22,35,Tyt
33,33,205.388,38.561,20,35,Tyt
34,34,100.274,78.984,20,35,Tyt
35,35,96.234,82.299,24,35,Tyt
36,36,93.507,84.700,24,35,Tyt
37,37,92.15,85.947,23,35,Tyt
38,38,92.223,85.879,22,35,Tyt
39,39,92.226,85.876,21,35,Tyt
40,40,92.874,85.277,20,35,Tyt
41,41,92.857,85.292,20,35,Tyt
42,42,119.049,66.527,28,35,Tyt
43,43,105.627,74.981,29,35,Tyt
44,44,95.174,83.216,29,35,Tyt
45,45,112.84,70.188,29,35,Tyt
46,46,133.684,59.244,29,35,Tyt
47,47,169.933,46.607,26,35,Tyt
48,48,173.506,45.647,21,35,Tyt
49,49,99.363,79.708,22,35,Tyt
50,50,93.259,84.925,22,35,Tyt
51,51,93.663,84.558,21,35,Tyt
52,52,93.207,84.972,20,35,Tyt
53,53,92.714,85.424,19,35,Tyt
54,54,94.34,83.952,20,35,Tyt
55,55,92.295,85.812,19,35,Tyt
56,56,93.652,84.568,18,35,Tyt
57,57,92.558,85.568,18,35,Tyt
58,58,92.482,85.638,18,35,Tyt
59,59,92.507,85.615,18,35,Tyt
60,60,128.611,61.581,18,35,Tyt
61,61,216.436,36.593,15,35,Tyt
62,62,191.788,41.296,13,35,Tyt
63,63,100.312,78.954,15,35,Tyt
64,64,122.996,64.392,19,35,Tyt
65,65,213.459,37.103,20,35,Tyt
66,66,197.251,40.152,19,35,Tyt
67,67,99.961,79.231,20,35,Tyt
68,68,92.778,85.365,19,35,Tyt
69,69,93.13,85.042,20,35,Tyt
70,70,96.018,82.485,19,35,Tyt
71,71,95.078,83.300,17,35,Tyt
72,72,92.419,85.697,17,35,Tyt
73,73,92.574,85.553,17,35,Tyt
74,74,95.775,82.694,17,35,Tyt
75,75,119.588,66.227,17,35,Tyt
