,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,2,2,Frd
1,1,52.25,172.249,2,2,Frd
2,2,47.846,188.103,2,2,Frd
3,3,48.022,187.414,3,2,Frd
4,4,48.118,187.040,5,2,Frd
5,5,48.285,186.393,7,2,Frd
6,6,48.288,186.382,7,2,Frd
7,7,47.765,188.422,7,2,Frd
8,8,47.535,189.334,2,2,Frd
9,9,47.984,187.563,2,2,Frd
10,10,107.846,83.452,2,2,Frd
11,11,136.347,66.008,1,2,Frd
12,12,9999.999,0.900,2,2,Frd
13,13,158.543,56.767,2,2,Frd
14,14,127.971,70.328,2,2,Frd
15,15,129.561,69.465,2,2,Frd
16,16,129.233,69.642,2,2,Frd
17,17,132.553,67.897,8,2,Frd
18,18,128.772,69.891,8,2,Frd
19,19,128.598,69.986,7,2,Frd
20,20,136.044,66.155,7,2,Frd
21,21,1523.027,5.909,7,2,Frd
22,22,125.63,71.639,5,2,Frd
23,23,126.312,71.252,3,2,Frd
24,24,51.837,173.621,2,2,Frd
25,25,47.957,187.668,3,2,Frd
26,26,48.044,187.328,8,2,Frd
27,27,47.528,189.362,8,2,Frd
28,28,47.408,189.841,9,2,Frd
29,29,47.058,191.253,10,2,Frd
30,30,47.066,191.221,9,2,Frd
31,31,47.61,189.036,8,2,Frd
32,32,47.349,190.078,6,2,Frd
33,33,47.421,189.789,7,2,Frd
34,34,47.291,190.311,8,2,Frd
35,35,47.423,189.781,7,2,Frd
36,36,47.581,189.151,10,2,Frd
37,37,47.244,190.500,10,2,Frd
38,38,47.279,190.359,4,2,Frd
39,39,47.387,189.926,3,2,Frd
40,40,47.586,189.131,4,2,Frd
41,41,47.469,189.597,4,2,Frd
42,42,47.754,188.466,7,2,Frd
43,43,47.49,189.514,11,2,Frd
44,44,47.29,190.315,7,2,Frd
45,45,47.584,189.139,6,2,Frd
46,46,46.961,191.648,5,2,Frd
47,47,46.879,191.984,8,2,Frd
48,48,47.29,190.315,16,2,Frd
49,49,47.07,191.205,27,2,Frd
50,50,46.94,191.734,27,2,Frd
51,51,47.171,190.795,30,2,Frd
52,52,46.523,193.453,25,2,Frd
53,53,46.781,192.386,24,2,Frd
54,54,46.349,194.179,23,2,Frd
55,55,46.954,191.677,28,2,Frd
56,56,46.44,193.798,30,2,Frd
57,57,46.436,193.815,28,2,Frd
58,58,46.024,195.550,27,2,Frd
59,59,46.684,192.786,28,2,Frd
60,60,46.399,193.970,25,2,Frd
61,61,46.874,192.004,24,2,Frd
62,62,46.5,193.548,25,2,Frd
63,63,64.775,138.942,24,2,Frd
64,64,122.797,73.292,24,2,Frd
65,65,129.631,69.428,24,2,Frd
66,66,131.038,68.682,24,2,Frd
67,67,123.677,72.770,21,2,Frd
68,68,133.007,67.666,22,2,Frd
69,69,127.499,70.589,17,2,Frd
70,70,117.595,76.534,16,2,Frd
71,71,76.647,117.421,11,2,Frd
72,72,121.479,74.087,12,2,Frd
73,73,130.304,69.069,12,2,Frd
74,74,125.186,71.893,8,2,Frd
