,Lap,LapTime,LapSpeed,RunningPos
0,0,,,7
1,1,52.01,173.044,7
2,2,47.862,188.041,7
3,3,47.958,187.664,6
4,4,47.951,187.692,4
5,5,48.054,187.289,1
6,6,48.286,186.389,1
7,7,47.691,188.715,1
8,8,47.928,187.782,5
9,9,47.988,187.547,3
10,10,108.322,83.086,3
11,11,137.213,65.591,2
12,12,9999.999,0.900,3
13,13,158.338,56.840,3
14,14,128.908,69.817,3
15,15,128.829,69.860,3
16,16,128.879,69.833,3
17,17,136.496,65.936,16
18,18,127.932,70.350,12
19,19,128.258,70.171,10
20,20,137.895,65.267,10
21,21,1520.985,5.917,10
22,22,125.283,71.837,8
23,23,123.911,72.633,6
24,24,51.706,174.061,5
25,25,47.95,187.696,4
26,26,47.707,188.652,3
27,27,47.496,189.490,3
28,28,47.34,190.114,3
29,29,47.057,191.257,3
30,30,47.21,190.638,4
31,31,47.572,189.187,2
32,32,47.559,189.239,5
33,33,47.411,189.829,5
34,34,47.316,190.210,7
35,35,47.476,189.569,8
36,36,47.432,189.745,6
37,37,47.242,190.508,5
38,38,47.518,189.402,9
39,39,47.584,189.139,12
40,40,47.515,189.414,10
41,41,47.506,189.450,11
42,42,47.715,188.620,12
43,43,47.286,190.331,12
44,44,47.499,189.478,14
45,45,47.653,188.865,18
46,46,47.571,189.191,26
47,47,47.306,190.251,32
48,48,47.256,190.452,33
49,49,46.523,193.453,34
50,50,47.083,191.152,34
51,51,46.886,191.955,34
52,52,47.732,188.553,38
53,53,47.111,191.038,38
54,54,47.407,189.845,38
55,55,46.735,192.575,38
56,56,46.62,193.050,38
57,57,46.782,192.382,38
58,58,46.782,192.382,38
59,59,47.28,190.355,38
60,60,47.609,189.040,38
61,61,47.875,187.990,38
62,62,47.972,187.609,38
63,63,73.209,122.936,37
64,64,112.593,79.934,37
65,65,130.236,69.105,36
66,66,130.665,68.878,36
67,67,115.56,77.882,18
68,68,123.598,72.817,5
69,69,147.881,60.860,31
70,70,109.969,81.841,36
71,71,83.543,107.729,26
72,72,120.564,74.649,27
73,73,129.559,69.466,27
74,74,126.393,71.206,27
75,75,132.905,67.718,26
76,76,114.257,78.770,23
77,77,50.718,177.452,19
78,78,48.095,187.130,19
79,79,47.556,189.251,16
80,80,47.973,187.606,18
81,81,48.06,187.266,19
82,82,48.371,186.062,20
83,83,81.888,109.906,18
84,84,128.282,70.158,14
85,85,138.96,64.767,22
86,86,115.643,77.826,19
87,87,51.13,176.022,10
88,88,47.514,189.418,8
89,89,47.452,189.665,8
90,90,47.471,189.589,6
91,91,47.858,188.056,6
92,92,47.576,189.171,9
93,93,47.219,190.601,7
94,94,47.244,190.500,6
95,95,47.428,189.761,9
96,96,47.38,189.954,10
97,97,47.364,190.018,12
98,98,47.565,189.215,18
99,99,47.182,190.751,15
100,100,47.218,190.605,11
101,101,47.247,190.488,13
102,102,47.162,190.832,15
103,103,47.492,189.506,15
104,104,47.788,188.332,16
105,105,47.821,188.202,17
106,106,47.821,188.202,19
107,107,47.496,189.490,17
108,108,47.464,189.617,20
109,109,47.547,189.286,29
110,110,46.819,192.230,27
111,111,46.649,192.930,27
112,112,47.094,191.107,29
113,113,46.761,192.468,28
114,114,46.871,192.016,29
115,115,47.716,188.616,31
116,116,47.39,189.913,31
117,117,46.443,193.786,31
118,118,46.583,193.204,30
119,119,47.162,190.832,32
120,120,47.379,189.958,33
121,121,46.955,191.673,33
122,122,46.676,192.819,32
123,123,47.372,189.986,34
124,124,46.877,191.992,34
125,125,46.605,193.112,34
126,126,46.654,192.910,33
127,127,47.011,191.445,33
128,128,47.713,188.628,33
129,129,48.213,186.672,33
130,130,48.807,184.400,33
131,131,82.378,109.252,33
132,132,121.579,74.026,33
133,133,119.067,75.588,17
134,134,125.092,71.947,8
135,135,140.594,64.014,28
136,136,129.938,69.264,24
137,137,114.655,78.496,30
138,138,50.649,177.694,31
139,139,47.57,189.195,26
140,140,47.696,188.695,26
141,141,47.845,188.107,27
142,142,47.742,188.513,28
143,143,47.623,188.984,27
144,144,47.907,187.864,27
145,145,47.406,189.849,25
146,146,48.179,186.803,27
147,147,48.205,186.703,27
148,148,47.861,188.045,27
149,149,47.957,187.668,27
150,150,48.167,186.850,27
151,151,48.12,187.032,27
152,152,48.426,185.851,27
153,153,47.923,187.801,27
154,154,47.812,188.237,25
155,155,47.953,187.684,25
156,156,48.31,186.297,25
157,157,48.401,185.947,25
158,158,48.213,186.672,26
159,159,48.29,186.374,27
160,160,48.257,186.501,26
161,161,48.396,185.966,28
162,162,66.346,135.652,28
163,163,128.109,70.253,19
164,164,144.249,62.392,31
165,165,119.735,75.166,24
166,166,66.066,136.227,34
167,167,84.129,106.979,34
168,168,49.163,183.064,34
169,169,49.312,182.511,34
170,170,49.387,182.234,34
171,171,49.358,182.341,34
172,172,49.374,182.282,34
173,173,49.387,182.234,34
174,174,49.462,181.958,34
175,175,49.445,182.020,34
176,176,49.514,181.767,34
177,177,49.577,181.536,34
178,178,49.551,181.631,34
179,179,49.572,181.554,34
180,180,49.626,181.357,34
181,181,54.37,165.532,34
182,182,48.812,184.381,34
183,183,48.808,184.396,34
184,184,80.684,111.546,34
185,185,109.002,82.567,34
186,186,121.862,73.854,31
187,187,120.564,74.649,31
188,188,63.795,141.077,31
189,189,72.643,123.894,30
190,190,140.813,63.915,30
191,191,102.415,87.878,30
192,192,52.859,170.264,30
193,193,47.543,189.302,30
194,194,47.495,189.494,30
195,195,71.729,125.472,30
196,196,532.845,16.890,28
197,197,66.032,136.298,26
198,198,100.184,89.835,22
199,199,110.465,81.474,20
200,200,50.41,178.536,17
201,201,58.289,154.403,14
