,Lap,LapTime,LapSpeed,RunningPos
0,0,,,23
1,1,51.837,173.621,29
2,2,47.324,190.178,27
3,3,47.91,187.852,28
4,4,48.151,186.912,27
5,5,48.104,187.095,25
6,6,47.705,188.659,23
7,7,47.74,188.521,23
8,8,47.832,188.159,26
9,9,48.381,186.023,27
10,10,120.299,74.814,26
11,11,147.604,60.974,14
12,12,9999.999,0.900,26
13,13,162.144,55.506,26
14,14,128.99,69.773,26
15,15,125.12,71.931,26
16,16,115.51,77.915,15
17,17,142.152,63.313,30
18,18,125.158,71.909,25
19,19,126.901,70.921,23
20,20,155.356,57.931,23
21,21,1506.615,5.974,23
22,22,124.771,72.132,20
23,23,113.501,79.294,17
24,24,51.188,175.822,18
25,25,47.821,188.202,20
26,26,47.893,187.919,21
27,27,47.498,189.482,21
28,28,47.311,190.231,18
29,29,46.918,191.824,13
30,30,47.133,190.949,15
31,31,47.634,188.941,15
32,32,47.445,189.693,18
33,33,47.442,189.705,18
34,34,47.376,189.970,22
35,35,47.344,190.098,20
36,36,47.468,189.601,17
37,37,47.303,190.263,19
38,38,47.431,189.749,21
39,39,47.64,188.917,26
40,40,47.541,189.310,24
41,41,47.429,189.757,22
42,42,47.986,187.555,25
43,43,46.842,192.135,17
44,44,47.494,189.498,20
45,45,47.655,188.857,23
46,46,47.285,190.335,24
47,47,46.773,192.419,26
48,48,47.069,191.209,26
49,49,46.456,193.732,23
50,50,47.028,191.375,25
51,51,47.005,191.469,24
52,52,46.639,192.972,23
53,53,46.809,192.271,23
54,54,46.552,193.332,27
55,55,46.58,193.216,26
56,56,46.392,193.999,25
57,57,45.978,195.746,22
58,58,46.405,193.945,17
59,59,46.482,193.623,15
60,60,46.556,193.316,14
61,61,47.018,191.416,20
62,62,46.326,194.275,17
63,63,64.007,140.610,19
64,64,120.728,74.548,18
65,65,130.387,69.025,19
66,66,129.866,69.302,19
67,67,125.022,71.987,14
68,68,135.015,66.659,21
69,69,127.069,70.828,16
70,70,118.31,76.071,15
71,71,79.795,112.789,18
72,72,121.466,74.095,18
73,73,130.001,69.230,17
74,74,125.598,71.657,13
75,75,162.36,55.432,32
76,76,91.623,98.229,30
77,77,49.619,181.382,25
78,78,48.161,186.873,25
79,79,47.516,189.410,22
80,80,47.928,187.782,23
81,81,48.055,187.285,23
82,82,48.393,185.977,24
83,83,84.322,106.734,23
84,84,126.811,70.972,17
85,85,140.558,64.031,27
86,86,113.091,79.582,21
87,87,51.411,175.060,26
88,88,47.506,189.450,23
89,89,47.435,189.733,23
90,90,47.487,189.526,21
91,91,47.791,188.320,20
92,92,47.59,189.115,22
93,93,47.23,190.557,23
94,94,47.248,190.484,20
95,95,47.371,189.990,22
96,96,47.406,189.849,23
97,97,47.457,189.645,26
98,98,47.542,189.306,29
99,99,47.177,190.771,29
100,100,47.316,190.210,28
101,101,47.127,190.973,27
102,102,47.106,191.058,29
103,103,47.542,189.306,30
104,104,47.773,188.391,29
105,105,47.753,188.470,29
106,106,47.743,188.509,27
107,107,47.499,189.478,27
108,108,47.286,190.331,23
109,109,47.113,191.030,22
110,110,46.59,193.175,19
111,111,46.674,192.827,19
112,112,47.022,191.400,20
113,113,46.796,192.324,21
114,114,46.461,193.711,14
115,115,46.643,192.955,10
116,116,46.991,191.526,13
117,117,46.568,193.266,9
118,118,46.651,192.922,5
119,119,47.109,191.046,7
120,120,47.314,190.219,17
121,121,46.762,192.464,14
122,122,46.829,192.189,14
123,123,47.042,191.318,21
124,124,46.466,193.690,20
125,125,46.335,194.238,19
126,126,46.307,194.355,18
127,127,46.574,193.241,18
128,128,46.503,193.536,18
129,129,46.305,194.363,17
130,130,46.09,195.270,16
131,131,81.412,110.549,16
