,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,11,45,Tyt
1,1,51.827,173.655,11,45,Tyt
2,2,47.887,187.942,11,45,Tyt
3,3,47.947,187.707,11,45,Tyt
4,4,47.947,187.707,9,45,Tyt
5,5,48.054,187.289,6,45,Tyt
6,6,48.28,186.413,6,45,Tyt
7,7,47.711,188.636,5,45,Tyt
8,8,47.923,187.801,10,45,Tyt
9,9,48.13,186.994,9,45,Tyt
10,10,112.242,80.184,9,45,Tyt
11,11,9999.999,0.900,27,45,Tyt
12,12,194.685,46.229,9,45,Tyt
13,13,160.809,55.967,9,45,Tyt
14,14,128.634,69.966,9,45,Tyt
15,15,127.97,70.329,9,45,Tyt
16,16,133.115,67.611,26,45,Tyt
17,17,130.626,68.899,23,45,Tyt
18,18,127.005,70.863,18,45,Tyt
19,19,127.516,70.579,16,45,Tyt
20,20,144.737,62.182,16,45,Tyt
21,21,1514.732,5.942,16,45,Tyt
22,22,124.692,72.178,13,45,Tyt
23,23,120.424,74.736,12,45,Tyt
24,24,51.44,174.961,12,45,Tyt
25,25,47.902,187.884,12,45,Tyt
26,26,47.842,188.119,14,45,Tyt
27,27,47.528,189.362,14,45,Tyt
28,28,47.452,189.665,16,45,Tyt
29,29,47.056,191.261,14,45,Tyt
30,30,47.021,191.404,14,45,Tyt
31,31,47.638,188.925,14,45,Tyt
32,32,47.36,190.034,13,45,Tyt
33,33,47.357,190.046,12,45,Tyt
34,34,47.169,190.803,9,45,Tyt
35,35,47.436,189.729,9,45,Tyt
36,36,47.496,189.490,8,45,Tyt
37,37,47.286,190.331,9,45,Tyt
38,38,47.431,189.749,10,45,Tyt
39,39,47.475,189.573,10,45,Tyt
40,40,47.593,189.103,11,45,Tyt
41,41,47.494,189.498,10,45,Tyt
42,42,47.422,189.785,6,45,Tyt
43,43,47.442,189.705,6,45,Tyt
44,44,47.447,189.685,8,45,Tyt
45,45,47.646,188.893,10,45,Tyt
46,46,47.396,189.889,18,45,Tyt
47,47,46.814,192.250,19,45,Tyt
48,48,46.443,193.786,9,45,Tyt
49,49,46.852,192.094,9,45,Tyt
50,50,46.974,191.595,10,45,Tyt
51,51,47.159,190.844,15,45,Tyt
52,52,46.822,192.217,20,45,Tyt
53,53,46.801,192.304,19,45,Tyt
54,54,46.653,192.914,24,45,Tyt
55,55,46.084,195.296,17,45,Tyt
56,56,46.442,193.790,17,45,Tyt
57,57,46.289,194.431,16,45,Tyt
58,58,46.296,194.401,10,45,Tyt
59,59,46.371,194.087,9,45,Tyt
60,60,46.703,192.707,9,45,Tyt
61,61,46.685,192.781,9,45,Tyt
62,62,46.632,193.001,9,45,Tyt
63,63,62.212,144.667,8,45,Tyt
64,64,116.802,77.053,8,45,Tyt
65,65,130.083,69.187,8,45,Tyt
66,66,130.096,69.180,8,45,Tyt
67,67,146.609,61.388,28,45,Tyt
68,68,114.353,78.704,11,45,Tyt
69,69,126.158,71.339,7,45,Tyt
70,70,123.856,72.665,6,45,Tyt
71,71,73.435,122.557,3,45,Tyt
72,72,120.906,74.438,3,45,Tyt
73,73,129.208,69.655,3,45,Tyt
74,74,136.349,66.007,18,45,Tyt
75,75,127.997,70.314,12,45,Tyt
76,76,121.211,74.251,11,45,Tyt
77,77,51.412,175.056,11,45,Tyt
78,78,47.936,187.750,7,45,Tyt
79,79,47.78,188.363,8,45,Tyt
80,80,47.775,188.383,6,45,Tyt
81,81,48.062,187.258,6,45,Tyt
82,82,48.343,186.170,6,45,Tyt
83,83,78.444,114.732,6,45,Tyt
84,84,137.236,65.580,24,45,Tyt
85,85,126.583,71.100,9,45,Tyt
86,86,122.319,73.578,9,45,Tyt
87,87,51.727,173.990,9,45,Tyt
88,88,47.65,188.877,12,45,Tyt
89,89,47.446,189.689,12,45,Tyt
90,90,47.551,189.270,11,45,Tyt
91,91,47.84,188.127,11,45,Tyt
92,92,47.519,189.398,13,45,Tyt
93,93,47.312,190.227,14,45,Tyt
94,94,47.277,190.367,14,45,Tyt
95,95,47.359,190.038,13,45,Tyt
96,96,47.342,190.106,14,45,Tyt
97,97,47.292,190.307,13,45,Tyt
98,98,47.393,189.901,14,45,Tyt
99,99,47.277,190.367,14,45,Tyt
100,100,47.386,189.930,16,45,Tyt
101,101,47.178,190.767,15,45,Tyt
102,102,47.02,191.408,14,45,Tyt
103,103,47.487,189.526,13,45,Tyt
104,104,47.766,188.419,13,45,Tyt
105,105,47.803,188.273,13,45,Tyt
106,106,47.666,188.814,10,45,Tyt
107,107,47.51,189.434,9,45,Tyt
108,108,47.266,190.412,7,45,Tyt
109,109,47.07,191.205,7,45,Tyt
110,110,46.684,192.786,7,45,Tyt
111,111,46.657,192.897,7,45,Tyt
112,112,46.996,191.506,9,45,Tyt
113,113,46.766,192.448,8,45,Tyt
114,114,46.879,191.984,8,45,Tyt
115,115,46.808,192.275,9,45,Tyt
116,116,46.838,192.152,7,45,Tyt
117,117,46.711,192.674,7,45,Tyt
118,118,46.789,192.353,9,45,Tyt
119,119,47.114,191.026,13,45,Tyt
120,120,47.207,190.650,18,45,Tyt
121,121,46.849,192.107,16,45,Tyt
122,122,46.797,192.320,15,45,Tyt
123,123,47.203,190.666,24,45,Tyt
124,124,47.821,188.202,28,45,Tyt
125,125,47.099,191.087,28,45,Tyt
126,126,46.338,194.225,27,45,Tyt
127,127,46.042,195.474,27,45,Tyt
128,128,47.162,190.832,29,45,Tyt
129,129,47.588,189.123,30,45,Tyt
130,130,47.968,187.625,30,45,Tyt
131,131,85.135,105.714,30,45,Tyt
132,132,121.88,73.843,30,45,Tyt
