,Lap,LapTime,LapSpeed,RunningPos
0,0,,,5
1,1,52.135,172.629,5
2,2,47.861,188.045,5
3,3,47.966,187.633,4
4,4,47.957,187.668,2
5,5,48.132,186.986,2
6,6,48.287,186.386,2
7,7,47.765,188.422,2
8,8,47.719,188.604,1
9,9,47.955,187.676,1
10,10,107.44,83.768,1
11,11,9999.999,0.900,25
12,12,212.245,42.404,1
13,13,158.851,56.657,1
14,14,128.218,70.193,1
15,15,129.123,69.701,1
16,16,138.63,64.921,17
17,17,124.111,72.516,9
18,18,128.047,70.287,7
19,19,128.639,69.963,6
20,20,135.265,66.536,6
21,21,1523.482,5.908,6
22,22,125.279,71.840,3
23,23,127.555,70.558,2
24,24,51.913,173.367,3
25,25,47.935,187.754,2
26,26,47.653,188.865,2
27,27,47.5,189.474,2
28,28,47.399,189.877,2
29,29,47.055,191.266,2
30,30,47.194,190.702,2
31,31,47.582,189.147,1
32,32,47.562,189.227,3
33,33,47.374,189.978,3
34,34,47.347,190.086,3
35,35,47.477,189.565,5
36,36,47.441,189.709,4
37,37,47.236,190.533,3
38,38,47.511,189.430,6
39,39,47.588,189.123,9
40,40,47.505,189.454,7
41,41,47.424,189.777,6
42,42,47.404,189.857,3
43,43,47.456,189.649,2
44,44,47.418,189.801,2
45,45,47.605,189.056,2
46,46,47.003,191.477,2
47,47,46.571,193.253,2
48,48,46.63,193.009,2
49,49,46.709,192.682,2
50,50,47.144,190.904,2
51,51,46.932,191.767,2
52,52,47.013,191.436,4
53,53,46.748,192.522,5
54,54,46.579,193.220,6
55,55,46.576,193.233,8
56,56,46.438,193.807,8
57,57,46.322,194.292,9
58,58,46.78,192.390,13
59,59,46.379,194.053,11
60,60,46.658,192.893,11
61,61,46.632,193.001,10
62,62,46.644,192.951,12
63,63,62.554,143.876,10
64,64,117.967,76.293,10
65,65,130.005,69.228,10
66,66,129.993,69.234,10
67,67,145.676,61.781,30
68,68,114.389,78.679,14
69,69,127.577,70.546,9
70,70,122.079,73.723,9
71,71,77.653,115.900,14
72,72,122.58,73.421,14
73,73,129.208,69.655,13
74,74,133.796,67.267,28
75,75,128.107,70.254,16
76,76,118.028,76.253,17
77,77,51.292,175.466,20
78,78,48.008,187.469,18
79,79,47.698,188.687,18
80,80,47.789,188.328,16
81,81,48.032,187.375,15
82,82,48.325,186.239,15
83,83,81.236,110.788,15
84,84,135.805,66.271,28
85,85,129.698,69.392,17
86,86,117.921,76.322,15
87,87,51.536,174.635,14
88,88,47.653,188.865,16
89,89,47.451,189.669,17
90,90,47.543,189.302,16
91,91,47.844,188.111,16
92,92,47.541,189.310,18
93,93,47.277,190.367,19
94,94,47.283,190.343,19
95,95,47.358,190.042,19
96,96,47.381,189.950,20
97,97,47.289,190.319,19
98,98,47.393,189.901,19
99,99,47.265,190.416,20
100,100,47.39,189.913,22
101,101,47.166,190.815,21
102,102,47.006,191.465,18
103,103,47.496,189.490,18
104,104,47.767,188.415,18
105,105,47.792,188.316,19
106,106,47.664,188.822,15
107,107,47.544,189.298,15
108,108,47.27,190.396,13
109,109,47.086,191.140,12
110,110,46.627,193.021,11
111,111,46.673,192.831,11
112,112,46.99,191.530,12
113,113,46.772,192.423,11
114,114,46.881,191.975,13
115,115,46.783,192.378,15
116,116,46.875,192.000,14
117,117,46.716,192.653,15
118,118,46.746,192.530,15
119,119,47.107,191.054,17
120,120,47.341,190.110,24
121,121,46.805,192.287,22
122,122,46.749,192.517,19
123,123,46.493,193.578,13
124,124,46.468,193.682,14
125,125,46.427,193.853,14
126,126,46.326,194.275,14
127,127,46.571,193.253,14
128,128,46.468,193.682,14
129,129,46.355,194.154,15
130,130,46.156,194.991,15
131,131,81.152,110.903,15
132,132,123.273,73.009,15
133,133,143.856,62.563,25
134,134,112.529,79.979,13
135,135,129.137,69.693,10
136,136,129.518,69.488,10
137,137,122.378,73.543,11
138,138,51.507,174.734,12
139,139,47.704,188.663,10
140,140,47.697,188.691,11
141,141,47.758,188.450,11
142,142,47.723,188.588,11
143,143,47.609,189.040,11
144,144,47.799,188.288,10
145,145,47.726,188.576,10
146,146,47.973,187.606,9
147,147,48.025,187.402,10
148,148,47.95,187.696,7
149,149,47.724,188.584,2
150,150,48.109,187.075,2
151,151,48.305,186.316,4
152,152,48.249,186.532,4
153,153,48.004,187.484,3
154,154,48.051,187.301,5
155,155,47.918,187.821,2
156,156,48.335,186.200,4
157,157,48.306,186.312,2
158,158,48.351,186.139,7
159,159,48.06,187.266,1
160,160,48.411,185.908,3
161,161,48.441,185.793,3
162,162,60.893,147.800,3
163,163,136.316,66.023,21
164,164,125.087,71.950,5
165,165,135.568,66.387,4
166,166,51.049,176.301,3
167,167,46.838,192.152,7
168,168,46.749,192.517,10
169,169,46.707,192.691,15
170,170,46.474,193.657,14
171,171,46.46,193.715,13
172,172,46.611,193.087,13
173,173,46.74,192.555,17
174,174,46.607,193.104,19
175,175,46.568,193.266,23
176,176,46.42,193.882,22
177,177,46.589,193.179,25
178,178,46.269,194.515,24
179,179,46.719,192.641,28
180,180,46.437,193.811,27
181,181,46.623,193.038,29
182,182,45.904,196.061,25
183,183,46.683,192.790,26
184,184,46.466,193.690,28
185,185,45.931,195.946,22
186,186,65.982,136.401,20
187,187,123.94,72.616,19
188,188,125.073,71.958,16
189,189,128.728,69.915,15
190,190,128.585,69.993,15
191,191,131.396,68.495,15
192,192,117.587,76.539,15
193,193,50.595,177.883,11
194,194,46.637,192.980,11
195,195,46.79,192.349,10
196,196,54.355,165.578,10
197,197,580.772,15.497,9
198,198,129.455,69.522,9
199,199,121.497,74.076,9
200,200,50.993,176.495,9
201,201,47.541,189.310,1
