,Lap,LapTime,LapSpeed,RunningPos
0,0,,,38
1,1,32.62,169.957,36
2,2,30.377,182.507,33
3,3,30.592,181.224,32
4,4,30.162,183.807,30
5,5,30.65,180.881,29
6,6,30.542,181.521,29
7,7,30.791,180.053,28
8,8,30.597,181.194,28
9,9,30.868,179.603,28
10,10,30.576,181.319,27
11,11,30.934,179.220,29
12,12,30.624,181.034,28
13,13,30.278,183.103,27
14,14,30.29,183.031,28
15,15,30.767,180.193,29
16,16,30.493,181.812,27
17,17,30.463,181.991,27
18,18,30.824,179.860,28
19,19,30.384,182.464,27
20,20,30.689,180.651,28
21,21,30.502,181.759,28
22,22,30.686,180.669,29
23,23,30.662,180.810,30
24,24,30.749,180.299,30
25,25,30.544,181.509,31
26,26,30.516,181.675,32
27,27,30.681,180.698,31
28,28,30.528,181.604,31
29,29,30.564,181.390,30
30,30,30.742,180.340,31
31,31,30.345,182.699,32
32,32,30.558,181.425,33
33,33,30.479,181.896,34
34,34,30.311,182.904,35
35,35,30.567,181.372,34
36,36,30.708,180.539,35
37,37,31.038,178.620,34
38,38,30.607,181.135,34
39,39,30.567,181.372,35
40,40,30.667,180.781,35
41,41,30.479,181.896,35
42,42,30.471,181.943,35
43,43,30.614,181.094,35
44,44,30.448,182.081,35
45,45,30.614,181.094,36
46,46,30.706,180.551,36
47,47,30.553,181.455,36
48,48,30.533,181.574,36
49,49,30.627,181.017,37
50,50,30.477,181.908,37
51,51,30.529,181.598,37
52,52,30.576,181.319,37
53,53,30.375,182.519,37
54,54,30.442,182.117,37
55,55,30.452,182.057,37
56,56,30.429,182.195,37
57,57,30.506,181.735,37
58,58,30.543,181.515,37
59,59,30.536,181.556,37
60,60,30.879,179.539,37
61,61,59.244,93.579,37
62,62,93.698,59.169,37
63,63,103.43,53.601,37
64,64,77.886,71.181,2
65,65,137.869,40.212,38
66,66,83.282,66.569,37
67,67,112.995,49.064,36
68,68,66.794,83.001,33
69,69,32.416,171.027,33
70,70,29.917,185.313,34
71,71,29.991,184.855,33
72,72,30.268,183.164,32
73,73,30.292,183.019,34
74,74,30.437,182.147,34
75,75,30.62,181.058,35
76,76,30.731,180.404,35
77,77,30.938,179.197,34
78,78,29.958,185.059,34
79,79,30.388,182.440,34
80,80,30.096,184.211,34
81,81,30.418,182.261,35
82,82,55.046,100.716,35
83,83,97.278,56.991,35
84,84,99.332,55.813,34
85,85,81.341,68.158,1
86,86,141.209,39.261,37
87,87,92.356,60.029,36
88,88,67.004,82.741,33
89,89,32.841,168.813,32
90,90,30.485,181.860,31
91,91,30.634,180.975,33
92,92,30.613,181.100,35
93,93,30.267,183.170,35
94,94,30.194,183.613,35
95,95,30.571,181.348,36
96,96,30.324,182.825,36
97,97,30.651,180.875,37
98,98,30.474,181.926,36
99,99,30.365,182.579,36
100,100,30.353,182.651,36
101,101,30.361,182.603,36
102,102,39.508,140.326,35
103,103,98.131,56.496,35
104,104,109.495,50.632,35
105,105,118.54,46.769,34
106,106,109.062,50.833,32
107,107,67.671,81.926,32
108,108,32.428,170.963,31
109,109,30.423,182.231,30
110,110,30.321,182.844,30
111,111,30.17,183.759,32
112,112,30.367,182.567,35
113,113,30.181,183.692,35
114,114,30.161,183.814,35
115,115,30.046,184.517,35
116,116,30.332,182.777,35
117,117,30.506,181.735,35
118,118,30.366,182.573,35
119,119,30.252,183.261,35
120,120,30.354,182.645,36
121,121,30.24,183.333,36
122,122,30.256,183.236,36
123,123,30.171,183.753,36
124,124,30.188,183.649,36
125,125,30.311,182.904,36
126,126,30.075,184.339,36
127,127,30.339,182.735,36
128,128,30.37,182.549,36
129,129,30.608,181.129,36
130,130,30.684,180.680,36
131,131,30.852,179.697,36
132,132,31.001,178.833,36
133,133,31.124,178.126,36
134,134,32.536,170.396,35
135,135,59.085,93.831,35
136,136,85.45,64.880,35
137,137,134.105,41.341,36
138,138,68.601,80.815,35
139,139,114.397,48.463,35
140,140,64.717,85.665,33
141,141,32.63,169.905,32
142,142,30.645,180.910,32
143,143,30.353,182.651,34
144,144,30.341,182.723,36
145,145,30.092,184.235,36
146,146,30.461,182.003,36
147,147,30.366,182.573,36
148,148,30.555,181.443,36
149,149,30.724,180.445,36
150,150,55.72,99.497,32
151,151,104.579,53.013,32
152,152,112.041,49.482,32
153,153,110.527,50.160,32
154,154,97.415,56.911,20
155,155,122.318,45.324,33
156,156,77.514,71.523,29
157,157,33.92,163.443,33
158,158,31.564,175.643,33
159,159,31.631,175.271,33
160,160,32.18,172.281,33
161,161,56.352,98.382,33
162,162,91.994,60.265,33
163,163,104.602,53.001,33
164,164,90.353,61.359,27
165,165,131.399,42.192,33
166,166,81.461,68.057,33
167,167,110.211,50.304,33
168,168,68.796,80.586,33
169,169,32.937,168.321,32
170,170,30.179,183.704,32
171,171,30.139,183.948,31
172,172,30.448,182.081,32
173,173,30.18,183.698,32
174,174,30.344,182.705,32
175,175,30.624,181.034,33
176,176,30.44,182.129,32
177,177,30.433,182.171,32
178,178,30.882,179.522,32
179,179,30.784,180.094,32
180,180,30.396,182.392,33
181,181,30.492,181.818,33
182,182,30.453,182.051,33
183,183,30.627,181.017,33
184,184,54.107,102.464,27
185,185,96.748,57.304,27
186,186,104.067,53.273,27
187,187,98.248,56.429,27
188,188,101.145,54.812,27
189,189,121.304,45.703,28
190,190,86.36,64.196,26
191,191,108.131,51.271,28
192,192,74.427,74.489,28
193,193,32.679,169.650,28
194,194,30.208,183.528,28
195,195,30.353,182.651,28
196,196,30.47,181.949,28
197,197,30.461,182.003,28
198,198,30.371,182.543,27
199,199,30.159,183.826,27
200,200,30.52,181.651,27
201,201,30.564,181.390,28
202,202,30.451,182.063,27
203,203,30.312,182.898,27
204,204,30.328,182.801,28
205,205,65.912,84.112,25
206,206,95.953,57.778,25
207,207,102.25,54.220,25
208,208,101.156,54.806,25
209,209,98.33,56.382,22
210,210,99.308,55.826,22
211,211,107.695,51.479,22
212,212,78.07,71.013,24
213,213,32.748,169.293,25
214,214,30.207,183.534,25
215,215,29.981,184.917,26
216,216,30.454,182.045,27
217,217,30.142,183.929,27
218,218,30.338,182.741,27
219,219,30.225,183.424,27
220,220,30.022,184.665,27
221,221,30.428,182.201,27
222,222,30.601,181.171,27
223,223,30.363,182.591,27
224,224,30.209,183.521,27
225,225,30.302,182.958,27
226,226,30.18,183.698,27
227,227,30.372,182.537,27
228,228,30.016,184.701,27
229,229,30.214,183.491,27
230,230,30.332,182.777,27
231,231,30.263,183.194,27
232,232,30.469,181.955,27
233,233,30.173,183.740,27
234,234,45.929,120.708,26
235,235,93.275,59.437,26
236,236,158.566,34.963,27
237,237,59.079,93.840,27
238,238,67.965,81.571,27
239,239,32.991,168.046,27
240,240,31.031,178.660,27
241,241,30.949,179.133,27
242,242,30.899,179.423,27
243,243,30.55,181.473,27
244,244,30.067,184.388,27
245,245,30.185,183.667,27
246,246,30.296,182.994,27
247,247,30.357,182.627,27
248,248,30.43,182.189,27
249,249,30.351,182.663,27
250,250,30.451,182.063,27
251,251,30.573,181.336,27
252,252,30.706,180.551,27
253,253,30.825,179.854,27
254,254,30.714,180.504,27
255,255,30.947,179.145,27
256,256,31.009,178.787,27
257,257,31.287,177.198,27
258,258,44.227,125.353,25
259,259,78.271,70.831,25
260,260,103.793,53.414,25
261,261,99.811,55.545,25
262,262,99.706,55.603,21
263,263,104.222,53.194,21
264,264,80.149,69.171,21
265,265,33.544,165.275,25
266,266,40.031,138.493,22
