,Lap,LapTime,LapSpeed,RunningPos
0,0,,,9
1,1,33.626,164.872,10
2,2,30.48,181.890,9
3,3,30.591,181.230,8
4,4,30.575,181.325,8
5,5,30.546,181.497,7
6,6,30.497,181.788,7
7,7,30.725,180.439,7
8,8,30.622,181.046,7
9,9,30.633,180.981,7
10,10,30.62,181.058,7
11,11,30.67,180.763,7
12,12,30.576,181.319,7
13,13,30.584,181.271,9
14,14,30.565,181.384,8
15,15,30.545,181.503,7
16,16,30.444,182.105,5
17,17,30.606,181.141,5
18,18,30.679,180.710,8
19,19,30.641,180.934,8
20,20,30.496,181.794,8
21,21,30.476,181.914,7
22,22,30.637,180.958,8
23,23,30.552,181.461,7
24,24,30.517,181.669,8
25,25,30.831,179.819,11
26,26,30.795,180.029,14
27,27,30.686,180.669,12
28,28,30.31,182.910,10
29,29,30.274,183.127,9
30,30,30.167,183.777,9
31,31,30.395,182.398,6
32,32,30.659,180.828,6
33,33,30.537,181.550,5
34,34,30.429,182.195,5
35,35,30.54,181.532,5
36,36,30.575,181.325,5
37,37,30.518,181.663,6
38,38,30.423,182.231,7
39,39,30.399,182.374,8
40,40,30.244,183.309,7
41,41,30.392,182.416,8
42,42,30.623,181.040,13
43,43,30.325,182.819,14
44,44,30.347,182.687,14
45,45,29.993,184.843,13
46,46,30.311,182.904,13
47,47,30.329,182.795,12
48,48,30.487,181.848,11
49,49,30.383,182.470,12
50,50,30.221,183.449,11
51,51,30.417,182.266,9
52,52,30.326,182.813,11
53,53,30.655,180.851,15
54,54,30.542,181.521,16
55,55,30.334,182.765,17
56,56,30.149,183.887,16
57,57,30.222,183.443,13
58,58,30.558,181.425,15
59,59,30.242,183.321,14
60,60,30.365,182.579,14
61,61,56.77,97.657,15
62,62,90.563,61.217,14
63,63,101.028,54.876,14
64,64,115.931,47.822,23
65,65,85.958,64.497,12
66,66,106.711,51.953,26
67,67,121.503,45.629,37
68,68,64.604,85.815,34
69,69,32.053,172.964,34
70,70,29.63,187.108,32
71,71,30.118,184.076,31
72,72,30.133,183.984,29
73,73,30.297,182.988,30
74,74,30.211,183.509,27
75,75,30.549,181.479,27
76,76,30.45,182.069,26
77,77,30.335,182.759,28
78,78,30.662,180.810,27
79,79,30.326,182.813,26
80,80,30.159,183.826,25
81,81,30.058,184.443,25
82,82,53.075,104.456,25
83,83,95.702,57.930,25
84,84,100.071,55.401,25
85,85,105.676,52.462,31
86,86,94.373,58.746,24
87,87,104.636,52.984,23
88,88,80.123,69.194,23
89,89,33.358,166.197,24
90,90,30.329,182.795,21
91,91,30.765,180.205,24
92,92,30.201,183.570,23
93,93,30.378,182.500,25
94,94,30.333,182.771,27
95,95,30.558,181.425,26
96,96,30.233,183.376,25
97,97,30.256,183.236,20
98,98,30.243,183.315,21
99,99,30.19,183.637,19
100,100,30.233,183.376,19
101,101,30.374,182.525,19
102,102,36.955,150.020,21
103,103,92.859,59.703,17
104,104,108.744,50.982,16
105,105,112.257,49.387,19
106,106,107.256,51.689,17
107,107,84.346,65.729,16
108,108,33.233,166.822,16
109,109,30.069,184.376,14
110,110,30.319,182.856,17
111,111,29.749,186.359,15
112,112,29.892,185.468,14
113,113,29.967,185.004,9
114,114,30.118,184.076,10
115,115,30.51,181.711,12
116,116,30.454,182.045,14
117,117,30.479,181.896,17
118,118,29.821,185.909,15
119,119,30.068,184.382,13
120,120,30.158,183.832,13
121,121,30.035,184.585,13
122,122,29.912,185.344,12
123,123,30.335,182.759,13
124,124,29.978,184.936,12
125,125,30.409,182.314,13
126,126,30.157,183.838,13
127,127,30.472,181.938,15
128,128,30.051,184.486,14
129,129,30.239,183.339,15
130,130,29.691,186.723,12
131,131,30.224,183.430,12
132,132,30.206,183.540,11
133,133,30.316,182.874,11
134,134,30.433,182.171,12
135,135,56.299,98.474,11
136,136,85.426,64.898,12
137,137,100.248,55.303,11
138,138,99.869,55.513,10
139,139,102.641,54.014,10
140,140,89.164,62.178,10
141,141,33.311,166.432,10
142,142,30.19,183.637,11
143,143,30.125,184.033,11
144,144,30.189,183.643,12
145,145,30.178,183.710,11
146,146,30.525,181.622,15
147,147,30.394,182.404,16
148,148,30.488,181.842,16
149,149,31.491,176.050,28
