,Lap,LapTime,LapSpeed,RunningPos
0,0,,,8
1,1,33.712,164.452,7
2,2,30.58,181.295,8
3,3,30.734,180.387,9
4,4,30.672,180.751,10
5,5,30.541,181.526,8
6,6,30.487,181.848,8
7,7,30.742,180.340,8
8,8,30.624,181.034,8
9,9,30.627,181.017,8
10,10,30.647,180.899,8
11,11,30.65,180.881,8
12,12,30.744,180.328,10
13,13,30.51,181.711,11
14,14,30.52,181.651,11
15,15,30.78,180.117,12
16,16,30.594,181.212,14
17,17,30.672,180.751,14
18,18,30.826,179.848,15
19,19,30.611,181.111,17
20,20,30.596,181.200,18
21,21,30.587,181.253,19
22,22,30.59,181.236,18
23,23,30.563,181.396,19
24,24,30.474,181.926,19
25,25,30.476,181.914,18
26,26,30.725,180.439,18
27,27,30.753,180.275,17
28,28,30.698,180.598,19
29,29,30.554,181.449,19
30,30,30.298,182.982,19
31,31,30.118,184.076,19
32,32,30.515,181.681,20
33,33,30.621,181.052,19
34,34,30.422,182.237,18
35,35,30.718,180.481,19
36,36,30.425,182.219,19
37,37,31.016,178.746,21
38,38,30.537,181.550,23
39,39,30.247,183.291,23
40,40,30.215,183.485,23
41,41,30.215,183.485,22
42,42,30.366,182.573,23
43,43,30.483,181.872,23
44,44,30.201,183.570,23
45,45,30.323,182.832,23
46,46,30.207,183.534,23
47,47,30.195,183.607,23
48,48,30.511,181.705,24
49,49,30.61,181.117,27
50,50,30.698,180.598,28
51,51,30.546,181.497,29
52,52,30.257,183.230,29
53,53,30.547,181.491,28
54,54,30.274,183.127,28
55,55,30.428,182.201,28
56,56,30.34,182.729,30
57,57,30.343,182.711,30
58,58,30.419,182.255,31
59,59,30.382,182.476,30
60,60,30.622,181.046,32
61,61,61.928,89.523,32
62,62,93.3,59.421,32
63,63,102.606,54.032,32
64,64,112.679,49.202,35
65,65,94.026,58.962,29
66,66,90.577,61.208,27
67,67,109.526,50.618,28
68,68,74.625,74.291,27
69,69,32.585,170.140,29
70,70,30.602,181.165,30
71,71,30.348,182.681,32
72,72,30.373,182.531,33
73,73,30.058,184.443,31
74,74,30.311,182.904,30
75,75,30.452,182.057,30
76,76,30.512,181.699,29
77,77,30.417,182.266,30
78,78,30.533,181.574,30
79,79,30.31,182.910,27
80,80,30.212,183.503,27
81,81,30.404,182.344,28
82,82,53.415,103.791,28
83,83,96.308,57.565,28
84,84,99.375,55.789,28
85,85,104.439,53.084,30
86,86,93.299,59.422,22
87,87,104.548,53.028,21
88,88,81.6,67.941,21
89,89,33.146,167.260,19
90,90,30.634,180.975,19
91,91,30.562,181.402,19
92,92,30.211,183.509,19
93,93,30.46,182.009,22
94,94,30.215,183.485,22
95,95,30.567,181.372,23
96,96,30.479,181.896,24
97,97,30.463,181.991,24
98,98,30.198,183.588,23
99,99,30.251,183.267,23
100,100,30.4,182.368,23
101,101,30.113,184.107,21
102,102,37.373,148.342,22
103,103,95.221,58.222,22
104,104,108.524,51.085,21
105,105,111.972,49.512,25
106,106,109.368,50.691,21
107,107,80.111,69.204,20
108,108,33.342,166.277,21
109,109,30.612,181.105,24
110,110,29.965,185.016,24
111,111,29.98,184.923,23
112,112,29.828,185.866,22
113,113,29.981,184.917,20
114,114,30.362,182.597,20
115,115,30.041,184.548,20
116,116,30.484,181.866,20
117,117,30.279,183.097,21
118,118,30.008,184.751,20
119,119,29.935,185.201,19
120,120,30.404,182.344,19
121,121,30.361,182.603,19
122,122,30.11,184.125,19
123,123,29.828,185.866,20
124,124,30.249,183.279,21
125,125,30.318,182.862,23
126,126,30.051,184.486,23
127,127,30.226,183.418,23
128,128,30.75,180.293,25
129,129,30.316,182.874,27
130,130,30.063,184.413,28
131,131,30.312,182.898,29
132,132,30.207,183.534,30
133,133,30.412,182.296,31
134,134,31.091,178.315,31
135,135,64.046,86.563,31
136,136,84.465,65.637,31
137,137,114.622,48.368,33
138,138,88.394,62.719,31
139,139,112.67,49.206,30
140,140,68.535,80.893,30
141,141,32.74,169.334,31
142,142,30.624,181.034,31
143,143,30.185,183.667,32
144,144,30.094,184.223,31
145,145,30.336,182.753,33
146,146,30.31,182.910,33
147,147,30.425,182.219,33
148,148,30.417,182.266,32
149,149,30.583,181.277,32
150,150,53.506,103.615,29
151,151,105.526,52.537,29
152,152,112.14,49.438,29
153,153,110.294,50.266,29
154,154,118.688,46.711,33
155,155,99.426,55.760,30
156,156,80.683,68.713,27
157,157,32.67,169.697,22
158,158,30.352,182.657,23
159,159,29.882,185.530,22
160,160,30.176,183.722,21
161,161,54.652,101.442,20
162,162,94.465,58.688,21
163,163,102.766,53.948,21
164,164,92.892,59.682,11
165,165,100.031,55.423,8
166,166,101.385,54.683,8
167,167,101.182,54.792,8
168,168,92.152,60.161,8
169,169,33.405,165.963,5
170,170,30.404,182.344,4
171,171,30.127,184.021,4
172,172,30.385,182.458,4
173,173,30.324,182.825,4
174,174,30.407,182.326,5
175,175,30.454,182.045,4
176,176,30.542,181.521,4
177,177,30.563,181.396,4
178,178,30.519,181.657,4
179,179,30.507,181.729,4
180,180,30.521,181.645,4
181,181,30.552,181.461,5
182,182,30.6,181.176,6
183,183,30.52,181.651,8
184,184,46.227,119.930,7
185,185,94.94,58.395,7
186,186,102.346,54.169,7
187,187,97.983,56.581,7
188,188,101.384,54.683,7
189,189,114.793,48.296,16
190,190,93.528,59.276,8
191,191,101.956,54.376,8
192,192,91.509,60.584,8
193,193,33.284,166.567,9
194,194,30.414,182.284,10
195,195,30.299,182.976,9
196,196,30.525,181.622,10
197,197,30.284,183.067,9
198,198,30.403,182.350,10
199,199,30.441,182.123,11
200,200,30.45,182.069,12
201,201,30.468,181.961,10
202,202,30.198,183.588,10
203,203,30.346,182.693,13
204,204,30.605,181.147,13
205,205,140.863,39.357,28
206,206,64.223,86.324,28
207,207,134.242,41.299,29
208,208,57.807,95.905,28
209,209,1132.418,4.896,31
210,210,95.858,57.836,30
211,211,115.489,48.005,31
212,212,72.768,76.187,31
213,213,32.743,169.319,31
214,214,30.734,180.387,31
215,215,30.535,181.562,31
216,216,30.349,182.675,31
217,217,30.16,183.820,31
218,218,30.125,184.033,31
219,219,30.114,184.100,31
220,220,30.197,183.594,31
221,221,30.192,183.625,31
222,222,30.281,183.085,31
223,223,30.297,182.988,31
224,224,30.264,183.188,31
225,225,30.33,182.789,31
226,226,30.322,182.838,31
227,227,30.333,182.771,31
228,228,30.21,183.515,31
229,229,30.427,182.207,31
230,230,30.376,182.513,31
231,231,30.259,183.218,31
232,232,41.86,132.441,31
233,233,85.249,65.033,31
234,234,103.79,53.416,31
235,235,99.86,55.518,31
236,236,99.585,55.671,31
237,237,110.922,49.981,31
238,238,74.336,74.580,30
239,239,32.912,168.449,30
240,240,43.104,128.619,30
