,Lap,LapTime,LapSpeed,RunningPos
0,0,,,11
1,1,33.509,165.448,12
2,2,30.627,181.017,11
3,3,30.5,181.770,11
4,4,30.52,181.651,9
5,5,30.751,180.287,11
6,6,30.508,181.723,10
7,7,30.745,180.322,10
8,8,30.712,180.516,11
9,9,30.703,180.569,11
10,10,30.608,181.129,11
11,11,30.57,181.354,11
12,12,30.561,181.408,12
13,13,30.601,181.171,13
14,14,30.584,181.271,15
15,15,30.919,179.307,15
16,16,30.347,182.687,16
17,17,30.79,180.058,18
18,18,31.005,178.810,20
19,19,30.437,182.147,19
20,20,30.437,182.147,19
21,21,30.614,181.094,21
22,22,30.555,181.443,20
23,23,30.75,180.293,21
24,24,30.315,182.880,21
25,25,30.503,181.753,20
26,26,30.363,182.591,17
27,27,30.976,178.977,18
28,28,30.318,182.862,17
29,29,30.228,183.406,14
30,30,30.42,182.249,16
31,31,30.534,181.568,18
32,32,30.248,183.285,14
33,33,30.535,181.562,13
34,34,30.436,182.153,12
35,35,30.554,181.449,12
36,36,30.875,179.563,15
37,37,30.572,181.342,15
38,38,30.33,182.789,15
39,39,30.553,181.455,18
40,40,30.216,183.479,17
41,41,30.333,182.771,18
42,42,30.713,180.510,21
43,43,30.371,182.543,22
44,44,30.279,183.097,22
45,45,30.237,183.352,22
46,46,29.999,184.806,21
47,47,30.426,182.213,21
48,48,30.49,181.830,23
49,49,30.514,181.687,24
50,50,30.306,182.934,23
51,51,30.379,182.494,23
52,52,30.423,182.231,22
53,53,30.401,182.362,23
54,54,30.256,183.236,23
55,55,30.241,183.327,22
56,56,30.264,183.188,21
57,57,30.115,184.094,20
58,58,30.518,181.663,20
59,59,30.427,182.207,19
60,60,30.374,182.525,19
61,61,58.088,95.441,19
62,62,91.902,60.325,19
63,63,100.552,55.136,19
64,64,98.979,56.012,15
65,65,109.785,50.499,22
66,66,93.481,59.306,20
67,67,106.349,52.130,20
68,68,80.823,68.594,21
69,69,32.737,169.350,19
70,70,30.266,183.176,19
71,71,30.314,182.886,20
72,72,30.432,182.177,22
73,73,30.152,183.868,20
74,74,30.366,182.573,19
75,75,30.486,181.854,17
76,76,30.457,182.027,19
77,77,30.237,183.352,18
78,78,30.475,181.920,17
79,79,30.107,184.143,15
80,80,30.19,183.637,14
81,81,30.336,182.753,16
82,82,50.118,110.619,16
83,83,92.83,59.722,16
84,84,100.353,55.245,16
85,85,100.564,55.129,11
86,86,98.656,56.195,17
87,87,105.451,52.574,16
88,88,85.868,64.564,14
89,89,33.385,166.063,15
90,90,30.422,182.237,12
91,91,30.393,182.410,13
92,92,30.235,183.364,12
93,93,30.449,182.075,13
94,94,30.166,183.783,11
95,95,30.519,181.657,11
96,96,30.389,182.434,11
97,97,30.409,182.314,11
98,98,30.482,181.878,13
99,99,30.493,181.812,15
100,100,30.301,182.964,17
101,101,30.248,183.285,15
102,102,35.252,157.268,16
103,103,94.373,58.746,16
104,104,109.268,50.738,17
105,105,111.11,49.896,18
106,106,107.569,51.539,16
107,107,85.109,65.140,17
108,108,33.357,166.202,18
109,109,30.012,184.726,16
110,110,30.263,183.194,18
111,111,29.975,184.954,18
112,112,30.003,184.782,18
113,113,30.2,183.576,19
114,114,30.492,181.818,22
115,115,30.246,183.297,24
116,116,30.373,182.531,22
117,117,30.287,183.049,22
118,118,30.097,184.204,21
119,119,30.244,183.309,24
120,120,30.32,182.850,25
121,121,30.306,182.934,25
122,122,30.415,182.278,26
123,123,30.092,184.235,27
124,124,30.075,184.339,27
125,125,29.775,186.196,25
126,126,30.053,184.474,25
127,127,30.223,183.436,25
128,128,30.331,182.783,24
129,129,30.208,183.528,25
130,130,30.075,184.339,26
131,131,30.112,184.113,25
132,132,30.311,182.904,27
133,133,30.468,181.961,28
134,134,30.344,182.705,27
135,135,63.743,86.974,27
136,136,83.879,66.095,27
137,137,100.834,54.981,22
138,138,102.987,53.832,28
139,139,110.978,49.956,27
140,140,71.065,78.013,25
141,141,32.851,168.762,27
142,142,30.409,182.314,27
143,143,30.424,182.225,28
144,144,29.96,185.047,28
145,145,30.272,183.140,28
146,146,30.396,182.392,30
147,147,30.36,182.609,28
148,148,30.204,183.552,29
149,149,30.817,179.901,29
150,150,52.814,104.972,26
151,151,105.13,52.735,26
152,152,111.699,49.633,26
153,153,110.178,50.319,26
154,154,105.386,52.607,23
155,155,113.355,48.908,29
156,156,82.543,67.165,30
157,157,33.0,168.000,29
158,158,30.404,182.344,29
159,159,29.954,185.084,30
160,160,30.088,184.260,30
161,161,58.996,93.972,30
162,162,92.735,59.783,30
163,163,102.657,54.005,29
164,164,92.974,59.630,25
165,165,101.072,54.852,16
166,166,100.606,55.106,16
167,167,104.814,52.894,16
168,168,85.369,64.942,17
169,169,33.367,166.152,15
170,170,30.361,182.603,16
171,171,30.16,183.820,11
172,172,30.095,184.217,9
173,173,30.3,182.970,9
174,174,30.473,181.932,10
175,175,30.567,181.372,12
176,176,30.407,182.326,11
177,177,30.919,179.307,15
178,178,30.93,179.243,19
179,179,30.777,180.135,23
180,180,30.447,182.087,24
181,181,30.413,182.290,24
182,182,30.534,181.568,25
183,183,30.665,180.792,25
184,184,51.341,107.984,23
185,185,96.559,57.416,23
186,186,105.417,52.591,23
187,187,97.815,56.678,23
188,188,101.322,54.717,23
189,189,102.017,54.344,12
190,190,106.003,52.300,22
191,191,105.163,52.718,23
192,192,78.985,70.191,23
193,193,32.531,170.422,19
194,194,30.32,182.850,19
195,195,30.43,182.189,20
196,196,30.554,181.449,20
197,197,30.474,181.926,22
198,198,30.304,182.946,21
199,199,30.361,182.603,20
200,200,30.365,182.579,20
201,201,30.475,181.920,17
202,202,30.298,182.982,17
203,203,30.184,183.673,18
204,204,30.507,181.729,18
205,205,62.971,88.041,16
206,206,95.707,57.927,16
207,207,101.11,54.831,16
208,208,100.997,54.893,16
209,209,99.532,55.701,15
210,210,99.966,55.459,15
211,211,103.824,53.398,15
212,212,84.835,65.350,18
213,213,32.414,171.037,14
214,214,30.067,184.388,13
215,215,30.033,184.597,12
216,216,30.126,184.027,9
217,217,30.178,183.710,12
218,218,30.072,184.358,10
219,219,30.255,183.242,9
220,220,30.304,182.946,9
221,221,30.243,183.315,6
222,222,30.131,183.997,7
223,223,31.201,177.687,18
224,224,30.26,183.212,17
225,225,30.203,183.558,16
226,226,30.34,182.729,18
227,227,30.103,184.168,17
228,228,29.983,184.905,15
229,229,30.5,181.770,19
230,230,30.263,183.194,19
231,231,30.421,182.243,19
232,232,30.575,181.325,21
233,233,30.202,183.564,21
234,234,42.355,130.894,18
235,235,93.637,59.207,18
236,236,98.913,56.049,16
237,237,104.227,53.192,16
238,238,84.225,65.824,17
239,239,32.581,170.161,17
240,240,30.459,182.015,17
241,241,30.286,183.055,19
242,242,30.351,182.663,19
243,243,30.226,183.418,21
244,244,30.002,184.788,22
245,245,30.22,183.455,22
246,246,30.08,184.309,21
247,247,30.132,183.990,23
248,248,30.384,182.464,22
249,249,30.064,184.407,22
250,250,30.363,182.591,20
251,251,30.354,182.645,22
252,252,30.047,184.511,20
253,253,29.821,185.909,19
254,254,30.438,182.141,20
255,255,30.394,182.404,19
256,256,30.315,182.880,15
257,257,30.157,183.838,17
258,258,37.287,148.685,18
259,259,89.872,61.688,19
260,260,104.415,53.096,18
261,261,99.59,55.668,18
262,262,101.715,54.505,18
263,263,104.869,52.866,18
264,264,82.165,67.474,18
265,265,32.461,170.790,18
266,266,34.213,162.044,18
