,Lap,LapTime,LapSpeed,RunningPos
0,0,,,5
1,1,33.594,165.029,5
2,2,30.583,181.277,5
3,3,30.67,180.763,4
4,4,30.573,181.336,5
5,5,30.565,181.384,5
6,6,30.508,181.723,5
7,7,30.642,180.928,5
8,8,30.609,181.123,5
9,9,30.569,181.360,5
10,10,30.656,180.846,5
11,11,30.65,180.881,5
12,12,30.68,180.704,5
13,13,30.506,181.735,5
14,14,30.709,180.533,5
15,15,30.608,181.129,5
16,16,30.589,181.242,6
17,17,30.621,181.052,6
18,18,30.437,182.147,4
19,19,30.532,181.580,3
20,20,30.505,181.741,3
21,21,30.477,181.908,2
22,22,30.629,181.005,2
23,23,30.481,181.884,2
24,24,30.494,181.806,1
25,25,30.694,180.622,1
26,26,30.613,181.100,3
27,27,30.637,180.958,4
28,28,30.444,182.105,4
29,29,30.435,182.159,4
30,30,30.428,182.201,5
31,31,30.504,181.747,4
32,32,30.674,180.739,4
33,33,30.486,181.854,3
34,34,30.455,182.039,3
35,35,30.539,181.538,3
36,36,30.526,181.616,3
37,37,30.337,182.747,3
38,38,30.282,183.079,3
39,39,30.291,183.025,3
40,40,30.268,183.164,3
41,41,30.44,182.129,3
42,42,30.295,183.000,3
43,43,29.824,185.891,1
44,44,30.526,181.616,2
45,45,30.52,181.651,3
46,46,30.309,182.916,3
47,47,30.645,180.910,6
48,48,30.536,181.556,8
49,49,30.462,181.997,9
50,50,30.305,182.940,8
51,51,30.443,182.111,7
52,52,30.113,184.107,6
53,53,30.115,184.094,5
54,54,30.555,181.443,7
55,55,30.244,183.309,7
56,56,30.253,183.255,6
57,57,30.65,180.881,7
58,58,30.57,181.354,8
59,59,30.257,183.230,8
60,60,30.152,183.868,7
61,61,52.967,104.669,7
62,62,91.133,60.834,7
63,63,100.599,55.110,7
64,64,107.087,51.771,17
65,65,12.789,433.498,1
66,66,97.508,56.857,11
67,67,102.331,54.177,11
68,68,89.214,62.143,11
69,69,32.9,168.511,11
70,70,30.163,183.801,10
71,71,30.311,182.904,10
72,72,30.304,182.946,10
73,73,30.322,182.838,9
74,74,30.404,182.344,6
75,75,30.296,182.994,5
76,76,30.415,182.278,4
77,77,30.289,183.037,4
78,78,30.382,182.476,4
79,79,30.286,183.055,4
80,80,30.228,183.406,4
81,81,30.181,183.692,3
82,82,44.146,125.583,2
83,83,91.834,60.370,3
84,84,99.756,55.576,3
85,85,110.075,50.366,13
86,86,92.265,60.088,5
87,87,101.568,54.584,5
88,88,94.421,58.716,5
89,89,33.58,165.098,3
90,90,30.49,181.830,3
91,91,30.166,183.783,2
92,92,30.245,183.303,1
93,93,30.482,181.878,2
94,94,30.244,183.309,2
95,95,30.339,182.735,1
96,96,30.535,181.562,1
97,97,30.388,182.440,3
98,98,30.239,183.339,3
99,99,30.286,183.055,3
100,100,30.231,183.388,2
101,101,30.317,182.868,2
102,102,34.018,162.973,2
103,103,88.773,62.451,2
104,104,108.404,51.142,2
105,105,111.881,49.553,2
106,106,103.525,53.552,2
107,107,96.102,57.689,2
108,108,33.16,167.189,1
109,109,30.382,182.476,3
110,110,30.047,184.511,3
111,111,29.915,185.325,3
112,112,29.901,185.412,3
113,113,30.319,182.856,3
114,114,30.134,183.978,4
115,115,30.451,182.063,3
116,116,30.253,183.255,5
117,117,30.152,183.868,4
118,118,30.131,183.997,6
119,119,30.02,184.677,4
120,120,30.014,184.714,4
121,121,30.085,184.278,4
122,122,30.135,183.972,4
123,123,30.086,184.272,4
124,124,30.24,183.333,4
125,125,30.159,183.826,4
126,126,30.114,184.100,4
127,127,30.218,183.467,4
128,128,30.257,183.230,4
129,129,30.255,183.242,4
130,130,30.029,184.622,3
131,131,30.244,183.309,3
132,132,30.253,183.255,4
133,133,31.335,176.927,16
134,134,67.102,82.620,36
135,135,51.051,108.597,36
136,136,85.307,64.989,36
137,137,74.954,73.965,20
138,138,132.362,41.885,36
139,139,88.749,62.468,33
140,140,66.836,82.949,36
141,141,32.051,172.974,35
142,142,30.336,182.753,35
143,143,29.82,185.915,29
144,144,30.211,183.509,32
145,145,30.096,184.211,30
146,146,30.093,184.229,28
147,147,30.112,184.113,24
148,148,30.073,184.351,21
149,149,30.819,179.889,17
150,150,50.322,110.171,17
151,151,103.369,53.633,17
152,152,111.194,49.859,17
153,153,110.386,50.224,17
154,154,102.584,54.044,12
155,155,104.351,53.128,12
156,156,97.695,56.748,11
157,157,33.453,165.725,11
158,158,30.187,183.655,12
159,159,30.128,184.015,14
160,160,30.291,183.025,17
161,161,53.435,103.752,15
162,162,94.268,58.811,17
163,163,102.224,54.234,17
164,164,114.079,48.598,31
165,165,93.8,59.104,29
166,166,99.543,55.695,29
167,167,107.058,51.785,27
168,168,76.983,72.016,28
169,169,33.019,167.903,28
170,170,30.362,182.597,28
171,171,30.274,183.127,28
172,172,30.446,182.093,27
173,173,30.353,182.651,29
174,174,30.147,183.899,29
175,175,30.468,181.961,26
176,176,30.567,181.372,28
177,177,30.578,181.307,29
178,178,30.819,179.889,29
179,179,30.61,181.117,27
180,180,30.211,183.509,26
181,181,30.476,181.914,25
182,182,30.192,183.625,22
183,183,30.683,180.686,21
184,184,50.058,110.752,21
185,185,95.824,57.856,21
186,186,105.635,52.483,21
187,187,97.812,56.680,21
188,188,101.236,54.763,21
189,189,119.973,46.210,25
190,190,91.508,60.585,24
191,191,105.062,52.769,25
192,192,78.033,71.047,26
193,193,32.829,168.875,27
194,194,30.227,183.412,27
195,195,30.227,183.412,26
196,196,30.53,181.592,26
197,197,30.403,182.350,27
198,198,30.209,183.521,24
199,199,30.451,182.063,26
200,200,30.559,181.420,26
201,201,30.524,181.628,26
202,202,30.491,181.824,26
203,203,30.209,183.521,25
204,204,29.954,185.084,21
205,205,64.394,86.095,20
206,206,95.47,58.071,20
207,207,101.99,54.358,20
208,208,101.15,54.810,20
209,209,99.729,55.591,19
210,210,99.294,55.834,19
211,211,106.237,52.185,19
212,212,80.524,68.849,17
213,213,32.797,169.040,18
214,214,29.955,185.078,18
215,215,30.02,184.677,16
216,216,30.08,184.309,13
217,217,30.159,183.826,14
218,218,30.307,182.928,16
219,219,30.174,183.734,16
220,220,30.176,183.722,12
221,221,30.514,181.687,15
222,222,30.625,181.029,18
223,223,30.066,184.394,17
224,224,30.604,181.153,19
225,225,30.285,183.061,19
226,226,29.852,185.716,15
227,227,30.141,183.936,15
228,228,30.392,182.416,18
229,229,30.254,183.248,18
230,230,29.907,185.375,15
231,231,30.703,180.569,16
232,232,30.399,182.374,17
233,233,30.271,183.146,17
234,234,41.93,132.220,15
235,235,93.189,59.492,16
236,236,117.802,47.062,25
237,237,92.991,59.619,22
238,238,78.001,71.076,22
239,239,32.681,169.640,23
240,240,30.189,183.643,22
241,241,30.064,184.407,18
242,242,30.136,183.966,15
243,243,29.98,184.923,13
244,244,30.233,183.376,18
245,245,30.005,184.769,15
246,246,30.095,184.217,15
247,247,30.236,183.358,15
248,248,30.36,182.609,18
249,249,30.222,183.443,18
250,250,30.476,181.914,19
251,251,30.349,182.675,19
252,252,30.085,184.278,19
253,253,29.974,184.960,20
254,254,30.449,182.075,21
255,255,30.42,182.249,21
256,256,30.316,182.874,18
257,257,30.01,184.738,16
258,258,36.799,150.656,14
259,259,89.139,62.195,15
260,260,104.134,53.239,15
261,261,99.659,55.630,15
262,262,101.045,54.867,15
263,263,103.83,53.395,15
264,264,85.16,65.101,15
265,265,32.465,170.769,15
266,266,33.84,163.830,15
