,Lap,LapTime,LapSpeed,RunningPos
0,0,,,36
1,1,32.7,169.541,34
2,2,30.392,182.416,31
3,3,30.456,182.033,30
4,4,30.265,183.182,27
5,5,30.864,179.627,30
6,6,30.49,181.830,30
7,7,30.783,180.099,29
8,8,30.634,180.975,29
9,9,30.603,181.159,27
10,10,30.804,179.977,28
11,11,30.7,180.586,26
12,12,30.263,183.194,24
13,13,30.368,182.561,23
14,14,30.247,183.291,22
15,15,30.724,180.445,23
16,16,30.484,181.866,21
17,17,30.512,181.699,21
18,18,30.727,180.428,21
19,19,30.617,181.076,22
20,20,30.614,181.094,24
21,21,30.676,180.728,25
22,22,30.65,180.881,27
23,23,30.755,180.263,27
24,24,30.759,180.240,29
25,25,30.421,182.243,29
26,26,30.723,180.451,30
27,27,31.615,175.360,36
28,28,30.752,180.281,35
29,29,30.547,181.491,36
30,30,30.389,182.434,36
31,31,30.485,181.860,36
32,32,30.581,181.289,37
33,33,30.332,182.777,37
34,34,30.384,182.464,37
35,35,30.175,183.728,37
36,36,30.533,181.574,36
37,37,30.908,179.371,35
38,38,30.597,181.194,35
39,39,30.441,182.123,34
40,40,30.346,182.693,34
41,41,30.498,181.782,34
42,42,30.551,181.467,33
43,43,30.418,182.261,33
44,44,30.251,183.267,33
45,45,30.264,183.188,33
46,46,30.237,183.352,33
47,47,30.107,184.143,33
48,48,30.226,183.418,33
49,49,29.97,184.985,33
50,50,29.97,184.985,33
51,51,30.127,184.021,33
52,52,30.645,180.910,33
53,53,30.345,182.699,33
54,54,30.637,180.958,34
55,55,30.174,183.734,34
56,56,30.083,184.290,33
57,57,30.068,184.382,31
58,58,30.17,183.759,30
59,59,30.441,182.123,29
60,60,30.366,182.573,29
61,61,60.688,91.352,29
62,62,93.103,59.547,29
63,63,101.338,54.708,29
64,64,96.867,57.233,20
65,65,114.45,48.440,31
66,66,89.513,61.935,29
67,67,111.619,49.669,31
68,68,72.218,76.768,28
69,69,32.248,171.918,26
70,70,30.17,183.759,25
71,71,30.2,183.576,24
72,72,30.347,182.687,24
73,73,30.11,184.125,23
74,74,30.271,183.146,20
75,75,30.569,181.360,19
76,76,30.22,183.455,18
77,77,30.463,181.991,19
78,78,30.532,181.580,20
79,79,30.351,182.663,19
80,80,30.247,183.291,20
81,81,30.146,183.905,19
82,82,50.996,108.714,19
83,83,93.926,59.025,19
84,84,99.963,55.461,19
85,85,99.845,55.526,14
86,86,99.881,55.506,19
87,87,105.025,52.787,18
88,88,84.087,65.932,16
89,89,33.452,165.730,18
90,90,30.469,181.955,17
91,91,30.849,179.714,21
92,92,29.895,185.449,18
93,93,30.527,181.610,20
94,94,30.278,183.103,19
95,95,30.504,181.747,20
96,96,30.39,182.428,18
97,97,30.475,181.920,19
98,98,30.014,184.714,16
99,99,30.337,182.747,16
100,100,30.106,184.149,15
101,101,30.523,181.634,17
102,102,34.987,158.459,15
103,103,93.969,58.998,15
104,104,109.393,50.680,15
105,105,110.935,49.975,16
106,106,107.282,51.677,15
107,107,85.861,64.569,14
108,108,33.263,166.672,14
109,109,30.087,184.266,13
110,110,30.266,183.176,15
111,111,29.793,186.084,13
112,112,29.894,185.455,12
113,113,30.517,181.669,17
114,114,29.947,185.127,14
115,115,30.359,182.615,15
116,116,30.37,182.549,15
117,117,30.245,183.303,14
118,118,29.978,184.936,14
119,119,30.136,183.966,15
120,120,30.434,182.165,14
121,121,30.06,184.431,15
122,122,29.983,184.905,15
123,123,30.049,184.499,15
124,124,30.037,184.572,15
125,125,30.657,180.840,18
126,126,30.117,184.082,19
127,127,30.296,182.994,19
128,128,30.364,182.585,20
129,129,30.092,184.235,21
130,130,30.303,182.952,22
131,131,30.158,183.832,23
132,132,30.252,183.261,23
133,133,30.14,183.942,22
134,134,30.462,181.997,22
135,135,62.33,88.946,22
136,136,84.061,65.952,22
137,137,100.311,55.268,19
138,138,103.775,53.423,25
139,139,108.628,51.037,24
140,140,74.964,73.955,26
141,141,32.643,169.837,24
142,142,30.367,182.567,22
143,143,29.938,185.183,20
144,144,30.042,184.542,18
145,145,30.199,183.582,20
146,146,30.392,182.416,21
147,147,30.285,183.061,20
148,148,30.395,182.398,20
149,149,31.115,178.178,23
150,150,51.402,107.856,21
151,151,104.222,53.194,21
152,152,112.263,49.384,22
153,153,110.17,50.322,22
154,154,100.793,55.004,15
155,155,104.794,52.904,14
156,156,96.098,57.691,13
157,157,33.489,165.547,16
158,158,30.143,183.923,15
159,159,30.112,184.113,17
160,160,30.278,183.103,18
161,161,53.735,103.173,17
162,162,94.309,58.785,18
163,163,102.36,54.162,18
164,164,98.01,56.566,24
165,165,106.918,51.853,25
166,166,99.638,55.641,25
167,167,111.045,49.926,29
168,168,75.039,73.882,26
169,169,32.823,168.906,20
170,170,30.613,181.100,24
171,171,30.25,183.273,24
172,172,30.577,181.313,26
173,173,29.976,184.948,23
174,174,30.286,183.055,22
175,175,30.352,182.657,18
176,176,30.541,181.526,21
177,177,30.628,181.011,19
178,178,30.786,180.082,20
179,179,30.596,181.200,18
180,180,30.247,183.291,19
181,181,30.599,181.182,21
182,182,30.474,181.926,21
183,183,30.848,179.720,24
184,184,104.169,53.221,28
185,185,268.147,20.675,30
186,186,87.666,63.240,30
187,187,97.724,56.731,30
188,188,134.347,41.266,30
189,189,79.723,69.541,30
190,190,75.045,73.876,30
191,191,32.909,168.465,30
192,192,31.356,176.808,30
193,193,31.499,176.006,30
194,194,31.523,175.872,30
195,195,31.657,175.127,30
196,196,31.655,175.138,30
197,197,31.581,175.549,30
198,198,31.541,175.771,30
199,199,31.734,174.702,30
200,200,31.893,173.831,30
201,201,31.878,173.913,30
