,Lap,LapTime,LapSpeed,RunningPos
0,0,,,12
1,1,105.01,82.278,10
2,2,101.824,84.852,10
3,3,101.533,85.095,10
4,4,100.884,85.643,10
5,5,100.966,85.573,10
6,6,101.972,84.729,9
7,7,101.598,85.041,9
8,8,102.089,84.632,8
9,9,101.611,85.030,8
10,10,101.455,85.161,8
11,11,101.642,85.004,8
12,12,101.7,84.956,8
13,13,101.832,84.846,8
14,14,103.578,83.415,8
15,15,102.588,84.220,7
16,16,102.506,84.288,7
17,17,102.381,84.391,4
18,18,113.565,76.080,3
19,19,121.864,70.899,10
20,20,101.813,84.861,10
21,21,137.091,63.024,9
22,22,170.992,50.529,9
23,23,187.384,46.109,7
24,24,199.9,43.222,7
25,25,182.321,47.389,8
26,26,103.448,83.520,6
27,27,101.595,85.044,6
28,28,100.192,86.234,5
29,29,100.427,86.033,5
30,30,100.658,85.835,4
31,31,100.579,85.903,4
32,32,100.524,85.950,4
33,33,100.987,85.556,3
34,34,100.906,85.624,3
35,35,101.242,85.340,3
36,36,100.925,85.608,3
37,37,100.911,85.620,3
38,38,101.361,85.240,3
39,39,101.325,85.270,3
40,40,101.265,85.321,3
41,41,101.864,84.819,3
42,42,101.659,84.990,3
43,43,112.692,76.669,1
44,44,123.269,70.091,6
45,45,103.217,83.707,6
46,46,138.836,62.232,6
47,47,179.829,48.046,4
48,48,196.655,43.935,4
49,49,201.646,42.847,3
50,50,102.958,83.918,2
51,51,198.816,43.457,2
52,52,206.577,41.825,2
53,53,207.237,41.691,2
54,54,198.541,43.517,1
55,55,102.935,83.936,5
56,56,100.151,86.270,5
57,57,101.006,85.539,5
58,58,100.941,85.595,5
59,59,100.17,86.253,5
60,60,100.949,85.588,5
61,61,100.386,86.068,5
62,62,101.633,85.012,5
63,63,101.434,85.179,4
64,64,101.203,85.373,4
65,65,100.843,85.678,4
66,66,100.912,85.619,4
67,67,100.815,85.702,4
68,68,101.276,85.311,3
69,69,101.181,85.392,2
70,70,112.294,76.941,3
71,71,121.811,70.930,9
72,72,100.075,86.335,7
73,73,100.94,85.595,6
74,74,100.808,85.707,5
75,75,100.192,86.234,4
76,76,100.429,86.031,4
77,77,100.781,85.730,4
78,78,106.812,80.890,5
79,79,189.147,45.679,5
80,80,203.417,42.474,5
81,81,204.735,42.201,5
82,82,218.165,39.603,4
83,83,103.073,83.824,4
84,84,101.171,85.400,4
85,85,101.123,85.441,4
86,86,102.023,84.687,5
87,87,101.853,84.828,5
88,88,102.628,84.188,5
89,89,102.666,84.156,6
90,90,104.342,82.805,7
91,91,105.638,81.789,11
92,92,107.0,80.748,17
93,93,107.616,80.285,24
94,94,108.094,79.930,29
95,95,109.161,79.149,30
