,Lap,LapTime,LapSpeed,RunningPos
0,0,,,30
1,1,109.226,79.102,27
2,2,102.538,84.261,26
3,3,103.236,83.692,26
4,4,103.565,83.426,27
5,5,102.057,84.659,26
6,6,103.128,83.779,26
7,7,102.684,84.142,27
8,8,103.265,83.668,28
9,9,103.712,83.308,29
10,10,103.813,83.227,31
11,11,102.18,84.557,31
12,12,103.075,83.822,31
13,13,104.192,82.924,30
14,14,103.764,83.266,29
15,15,102.359,84.409,29
16,16,102.684,84.142,21
17,17,127.553,67.737,29
18,18,108.512,79.623,30
19,19,101.588,85.049,30
20,20,106.144,81.399,30
21,21,140.897,61.321,29
22,22,153.748,56.196,28
23,23,190.454,45.365,27
24,24,194.778,44.358,24
25,25,170.155,50.777,23
26,26,106.846,80.864,23
27,27,103.923,83.138,23
28,28,101.646,85.001,23
29,29,102.666,84.156,25
30,30,101.869,84.815,25
31,31,102.888,83.975,26
32,32,103.092,83.809,27
33,33,104.478,82.697,29
34,34,102.21,84.532,29
35,35,103.775,83.257,30
36,36,102.111,84.614,29
37,37,102.288,84.467,28
38,38,102.49,84.301,28
39,39,102.42,84.359,28
40,40,102.451,84.333,26
41,41,102.472,84.316,21
42,42,103.772,83.259,14
43,43,103.376,83.578,11
44,44,104.061,83.028,13
45,45,104.165,82.945,13
46,46,144.568,59.764,14
47,47,183.179,47.167,25
48,48,205.633,42.017,28
49,49,181.044,47.723,27
50,50,114.762,75.286,24
51,51,202.402,42.687,23
52,52,208.01,41.536,23
53,53,207.465,41.646,23
54,54,180.876,47.768,24
55,55,106.784,80.911,25
56,56,105.677,81.759,28
57,57,103.119,83.787,29
58,58,102.969,83.909,29
59,59,102.898,83.967,29
60,60,129.04,66.956,33
61,61,130.011,66.456,34
62,62,106.739,80.945,34
63,63,100.371,86.081,34
64,64,100.768,85.742,34
65,65,100.946,85.590,34
66,66,101.091,85.468,34
67,67,101.009,85.537,34
68,68,100.883,85.644,34
69,69,100.6,85.885,34
70,70,100.797,85.717,34
71,71,100.905,85.625,34
72,72,101.11,85.451,34
73,73,100.979,85.562,33
74,74,100.669,85.826,33
75,75,100.817,85.700,33
76,76,101.044,85.507,32
77,77,102.484,84.306,31
78,78,117.389,73.601,30
79,79,150.536,57.395,30
80,80,203.107,42.539,32
81,81,207.123,41.714,31
82,82,196.791,43.904,29
83,83,107.843,80.116,26
84,84,103.015,83.871,27
85,85,103.168,83.747,25
86,86,104.023,83.059,28
87,87,101.751,84.913,28
88,88,101.279,85.309,28
89,89,102.496,84.296,27
90,90,100.635,85.855,26
91,91,102.813,84.036,26
92,92,104.641,82.568,26
93,93,104.063,83.027,26
94,94,103.174,83.742,24
95,95,103.054,83.840,23
