,Lap,LapTime,LapSpeed,RunningPos
0,0,,,23
1,1,107.117,80.659,18
2,2,102.048,84.666,17
3,3,102.074,84.644,16
4,4,101.25,85.333,16
5,5,101.544,85.086,16
6,6,102.882,83.980,16
7,7,103.013,83.873,17
8,8,102.644,84.174,17
9,9,102.39,84.383,17
10,10,102.505,84.289,17
11,11,102.485,84.305,17
12,12,102.409,84.368,17
13,13,102.677,84.147,17
14,14,102.996,83.887,17
15,15,103.644,83.362,16
16,16,103.18,83.737,14
17,17,103.033,83.857,8
18,18,103.759,83.270,6
19,19,103.588,83.407,2
20,20,103.371,83.582,2
21,21,129.211,66.867,2
22,22,184.583,46.808,2
23,23,200.289,43.138,13
24,24,211.745,40.804,28
25,25,166.472,51.901,27
26,26,106.359,81.234,25
27,27,103.961,83.108,24
28,28,101.513,85.112,24
29,29,102.048,84.666,24
30,30,101.921,84.772,24
31,31,102.771,84.070,24
32,32,101.704,84.952,23
33,33,101.612,85.029,23
34,34,102.447,84.336,23
35,35,102.151,84.581,23
36,36,102.232,84.514,23
37,37,102.288,84.467,23
38,38,103.355,83.595,24
39,39,103.094,83.807,24
40,40,103.16,83.753,21
41,41,102.553,84.249,16
42,42,133.859,64.546,33
43,43,108.436,79.678,32
44,44,102.789,84.056,30
45,45,113.955,75.819,30
46,46,136.526,63.285,30
47,47,149.824,57.668,23
48,48,198.293,43.572,19
49,49,188.038,45.948,17
50,50,111.644,77.389,14
51,51,200.457,43.102,13
52,52,206.903,41.759,13
53,53,206.031,41.935,13
54,54,188.891,45.741,14
55,55,105.572,81.840,12
56,56,101.341,85.257,12
57,57,103.05,83.843,13
58,58,101.262,85.323,13
59,59,101.58,85.056,13
60,60,102.655,84.165,13
61,61,101.474,85.145,13
62,62,101.639,85.007,13
63,63,101.61,85.031,13
64,64,101.696,84.959,13
65,65,102.478,84.311,11
66,66,102.151,84.581,11
67,67,101.637,85.008,11
68,68,102.984,83.897,9
69,69,128.323,67.330,22
70,70,108.74,79.456,26
71,71,100.895,85.634,25
72,72,100.989,85.554,23
73,73,101.455,85.161,20
74,74,100.615,85.872,19
75,75,101.036,85.514,17
76,76,101.219,85.359,16
77,77,103.187,83.731,16
78,78,114.585,75.403,16
79,79,160.404,53.864,12
80,80,203.096,42.541,11
81,81,206.401,41.860,11
82,82,212.513,40.656,11
83,83,104.965,82.313,9
84,84,101.798,84.874,8
85,85,100.889,85.639,8
86,86,101.375,85.228,8
87,87,102.042,84.671,7
88,88,101.273,85.314,7
89,89,101.848,84.832,7
90,90,105.048,82.248,10
91,91,109.24,79.092,19
92,92,105.11,82.200,21
93,93,103.389,83.568,20
94,94,103.504,83.475,21
95,95,105.322,82.034,24
