,Lap,LapTime,LapSpeed,RunningPos
0,0,,,35
1,1,109.496,78.907,34
2,2,103.883,83.170,34
3,3,103.173,83.743,33
4,4,102.662,84.160,33
5,5,102.364,84.405,32
6,6,102.089,84.632,32
7,7,103.903,83.154,33
8,8,103.033,83.857,33
9,9,103.286,83.651,33
10,10,103.078,83.820,33
11,11,102.534,84.265,32
12,12,102.304,84.454,32
13,13,104.232,82.892,32
14,14,132.45,65.232,34
15,15,110.136,78.448,35
16,16,102.058,84.658,35
17,17,102.138,84.591,35
18,18,101.947,84.750,32
19,19,101.401,85.206,32
20,20,105.299,82.052,32
21,21,138.429,62.415,31
22,22,154.349,55.977,30
23,23,189.323,45.636,28
24,24,194.771,44.360,25
25,25,169.823,50.877,26
26,26,107.581,80.312,29
27,27,105.311,82.043,31
28,28,102.721,84.111,32
29,29,103.33,83.616,33
30,30,102.636,84.181,33
31,31,102.063,84.654,33
32,32,102.293,84.463,33
33,33,102.674,84.150,33
34,34,102.641,84.177,33
35,35,102.76,84.079,33
36,36,103.311,83.631,33
37,37,103.114,83.791,33
38,38,102.792,84.053,33
39,39,104.297,82.840,34
40,40,103.874,83.178,32
41,41,105.677,81.759,29
42,42,128.081,67.457,35
43,43,109.591,78.839,34
44,44,103.963,83.106,34
45,45,110.525,78.172,34
46,46,133.576,64.682,34
47,47,148.54,58.166,27
48,48,199.091,43.397,22
49,49,185.634,46.543,21
50,50,113.35,76.224,20
51,51,201.951,42.783,19
52,52,207.437,41.651,19
53,53,207.097,41.720,19
54,54,183.476,47.091,16
55,55,107.176,80.615,22
56,56,104.61,82.592,23
57,57,102.922,83.947,24
58,58,103.492,83.485,25
59,59,104.116,82.984,27
60,60,102.221,84.523,28
61,61,102.234,84.512,28
62,62,103.065,83.831,29
63,63,102.465,84.321,29
64,64,102.132,84.596,28
65,65,102.407,84.369,27
66,66,102.919,83.950,26
67,67,102.962,83.914,24
68,68,103.1,83.802,21
69,69,102.8,84.047,13
70,70,104.202,82.916,16
71,71,102.975,83.904,14
72,72,102.538,84.261,13
73,73,129.47,66.734,32
74,74,109.144,79.161,32
75,75,101.595,85.044,32
76,76,101.017,85.530,31
77,77,101.082,85.475,29
78,78,116.094,74.422,27
79,79,139.967,61.729,18
80,80,202.39,42.690,15
81,81,206.25,41.891,15
82,82,209.964,41.150,16
83,83,111.815,77.270,30
84,84,102.838,84.016,31
85,85,103.975,83.097,31
86,86,102.855,84.002,30
87,87,101.818,84.857,30
88,88,102.262,84.489,30
89,89,101.92,84.772,30
90,90,102.18,84.557,30
91,91,102.475,84.313,30
92,92,103.684,83.330,28
93,93,103.105,83.798,27
94,94,102.965,83.912,26
95,95,103.372,83.582,26
