,Lap,LapTime,LapSpeed,RunningPos
0,0,,,34
1,1,109.413,78.967,29
2,2,103.992,83.083,31
3,3,119.966,72.020,36
4,4,246.149,35.101,37
5,5,110.501,78.189,37
6,6,103.048,83.844,37
7,7,102.593,84.216,37
8,8,101.981,84.722,37
9,9,102.606,84.206,37
10,10,102.375,84.396,37
11,11,102.326,84.436,37
12,12,102.634,84.183,37
13,13,102.678,84.147,37
14,14,102.358,84.410,37
15,15,102.867,83.992,37
16,16,103.417,83.545,37
17,17,106.418,81.189,37
18,18,105.662,81.770,37
19,19,112.503,76.798,37
20,20,111.41,77.551,37
21,21,144.087,59.964,37
22,22,175.667,49.184,37
23,23,115.002,75.129,35
24,24,182.092,47.449,37
25,25,110.416,78.250,37
26,26,101.475,85.144,37
27,27,101.346,85.253,37
28,28,101.09,85.468,37
29,29,101.962,84.737,37
30,30,101.976,84.726,37
31,31,102.414,84.363,37
32,32,102.405,84.371,37
33,33,102.444,84.339,37
34,34,102.652,84.168,37
35,35,102.981,83.899,37
36,36,102.723,84.110,37
37,37,103.088,83.812,37
38,38,103.08,83.818,36
39,39,103.364,83.588,36
40,40,103.005,83.879,36
41,41,104.023,83.059,35
42,42,103.189,83.730,32
43,43,103.544,83.443,29
44,44,103.325,83.620,29
45,45,108.067,79.950,29
46,46,136.819,63.149,29
47,47,178.98,48.274,34
48,48,194.801,44.353,33
49,49,176.409,48.977,34
50,50,116.529,74.145,30
51,51,204.591,42.231,29
52,52,209.673,41.207,29
53,53,206.483,41.844,29
54,54,176.087,49.067,29
55,55,106.362,81.232,29
56,56,106.764,80.926,31
57,57,103.786,83.248,32
58,58,102.364,84.405,31
59,59,102.763,84.077,32
60,60,102.729,84.105,31
61,61,102.485,84.305,31
62,62,102.626,84.189,31
63,63,102.74,84.096,31
64,64,102.967,83.910,30
65,65,103.276,83.659,29
66,66,103.726,83.296,28
67,67,103.249,83.681,26
68,68,103.172,83.744,24
69,69,103.391,83.566,19
70,70,104.089,83.006,19
71,71,103.558,83.432,17
72,72,132.934,64.995,33
73,73,107.674,80.242,34
74,74,100.872,85.653,34
75,75,101.731,84.930,34
76,76,102.611,84.201,34
77,77,102.349,84.417,33
78,78,114.404,75.522,32
79,79,151.022,57.210,31
80,80,199.407,43.328,33
81,81,206.927,41.754,32
82,82,196.552,43.958,33
83,83,110.643,78.089,34
84,84,102.101,84.622,34
85,85,102.988,83.893,32
86,86,103.416,83.546,33
87,87,102.672,84.151,32
88,88,102.371,84.399,31
89,89,102.156,84.577,31
90,90,101.909,84.782,31
91,91,101.847,84.833,31
92,92,103.359,83.592,29
93,93,102.514,84.281,29
94,94,104.041,83.044,28
95,95,103.493,83.484,28
