,Lap,LapTime,LapSpeed,RunningPos
0,0,,,3
1,1,28.308,127.173,3
2,2,27.845,129.287,3
3,3,27.923,128.926,3
4,4,28.039,128.393,3
5,5,47.905,75.149,3
6,6,67.748,53.138,3
7,7,73.68,48.860,3
8,8,74.259,48.479,3
9,9,76.735,46.915,3
10,10,29.388,122.499,3
11,11,68.079,52.880,3
12,12,73.444,49.017,3
13,13,74.42,48.374,3
14,14,74.029,48.630,3
15,15,28.59,125.918,3
16,16,28.308,127.173,4
17,17,28.617,125.799,5
18,18,28.347,126.998,5
19,19,28.404,126.743,5
20,20,28.424,126.654,4
21,21,28.322,127.110,4
22,22,28.337,127.042,4
23,23,28.519,126.232,4
24,24,28.348,126.993,4
25,25,28.47,126.449,4
26,26,28.584,125.945,4
27,27,28.63,125.742,4
28,28,28.847,124.796,4
29,29,28.798,125.009,4
30,30,28.782,125.078,4
31,31,28.831,124.866,4
32,32,28.846,124.801,4
33,33,28.979,124.228,4
34,34,28.955,124.331,4
35,35,29.016,124.069,4
36,36,29.2,123.288,4
37,37,29.629,121.503,6
38,38,29.326,122.758,6
39,39,29.217,123.216,6
40,40,29.189,123.334,6
41,41,29.056,123.899,6
42,42,29.094,123.737,6
43,43,29.533,121.898,7
44,44,29.253,123.064,7
45,45,29.34,122.699,7
46,46,29.293,122.896,7
47,47,29.339,122.704,7
48,48,29.197,123.300,7
49,49,29.381,122.528,7
50,50,29.173,123.402,7
51,51,29.221,123.199,7
52,52,29.496,122.050,7
53,53,29.236,123.136,7
54,54,29.171,123.410,7
55,55,29.26,123.035,7
56,56,29.311,122.821,7
57,57,29.221,123.199,7
58,58,29.227,123.174,7
59,59,29.143,123.529,7
60,60,29.386,122.507,7
61,61,37.413,96.223,7
62,62,63.753,56.468,7
63,63,72.943,49.354,7
64,64,74.096,48.586,7
65,65,77.866,46.233,14
66,66,70.814,50.837,12
67,67,75.393,47.750,12
68,68,73.203,49.178,12
69,69,73.304,49.111,12
70,70,74.116,48.573,12
71,71,67.164,53.600,11
72,72,29.451,122.237,12
73,73,28.9,124.567,14
74,74,28.683,125.510,14
75,75,28.47,126.449,14
76,76,28.664,125.593,16
77,77,28.82,124.913,18
78,78,28.71,125.392,19
79,79,28.652,125.646,19
80,80,28.652,125.646,19
81,81,28.846,124.801,20
82,82,29.075,123.818,20
83,83,28.814,124.939,20
84,84,28.908,124.533,20
85,85,28.844,124.809,20
86,86,29.266,123.010,21
87,87,29.236,123.136,22
88,88,29.032,124.001,22
89,89,29.122,123.618,22
90,90,29.351,122.653,23
91,91,30.534,117.901,24
92,92,45.332,79.414,23
93,93,58.516,61.522,23
94,94,70.891,50.782,19
95,95,73.234,49.157,17
96,96,75.322,47.795,17
97,97,75.986,47.377,17
98,98,60.434,59.569,18
99,99,622.068,5.787,34
