,Lap,LapTime,LapSpeed,RunningPos
0,0,,,18
1,1,29.108,123.677,19
2,2,28.554,126.077,20
3,3,28.648,125.663,20
4,4,29.392,122.482,21
5,5,55.322,65.074,20
6,6,68.224,52.767,20
7,7,74.741,48.166,21
8,8,77.335,46.551,20
9,9,61.228,58.797,19
10,10,32.206,111.780,22
11,11,79.295,45.400,22
12,12,80.639,44.643,34
13,13,81.195,44.338,34
14,14,46.85,76.841,32
15,15,28.974,124.249,32
16,16,29.151,123.495,31
17,17,28.74,125.261,30
18,18,29.061,123.877,31
19,19,28.917,124.494,31
20,20,29.582,121.696,32
21,21,29.668,121.343,34
22,22,29.278,122.959,34
23,23,28.646,125.672,33
24,24,28.793,125.030,32
25,25,28.942,124.387,32
26,26,28.963,124.297,31
27,27,29.178,123.381,31
28,28,29.179,123.376,31
29,29,29.33,122.741,31
30,30,29.129,123.588,31
31,31,29.26,123.035,31
32,32,29.297,122.879,31
33,33,29.397,122.461,31
34,34,29.273,122.980,31
35,35,29.45,122.241,31
36,36,29.43,122.324,30
37,37,29.276,122.968,30
38,38,29.178,123.381,30
39,39,29.322,122.775,30
40,40,29.378,122.541,30
41,41,29.249,123.081,30
42,42,29.356,122.633,30
43,43,29.423,122.353,29
44,44,29.175,123.393,29
45,45,29.27,122.993,29
46,46,29.301,122.863,29
47,47,29.352,122.649,29
48,48,29.403,122.436,29
49,49,29.402,122.441,29
50,50,29.403,122.436,29
51,51,29.344,122.683,29
52,52,29.252,123.069,29
53,53,29.346,122.674,29
54,54,29.343,122.687,29
55,55,29.243,123.106,29
56,56,29.426,122.341,29
57,57,29.495,122.055,29
58,58,29.489,122.079,29
59,59,29.546,121.844,29
60,60,31.866,112.973,30
61,61,45.221,79.609,30
62,62,55.093,65.344,30
63,63,73.279,49.127,30
64,64,69.112,52.089,30
65,65,72.694,49.523,31
66,66,78.139,46.072,31
67,67,72.75,49.485,29
68,68,73.679,48.861,28
69,69,73.322,49.098,28
70,70,79.725,45.155,28
71,71,50.487,71.305,27
72,72,29.266,123.010,25
73,73,28.759,125.178,25
74,74,28.795,125.022,25
75,75,28.525,126.205,23
76,76,28.959,124.314,26
77,77,28.911,124.520,26
78,78,28.434,126.609,24
79,79,28.489,126.365,24
80,80,28.637,125.711,22
81,81,28.769,125.135,22
82,82,28.818,124.922,23
83,83,28.921,124.477,23
84,84,29.162,123.448,24
85,85,28.778,125.096,24
86,86,28.899,124.572,23
87,87,28.895,124.589,23
88,88,29.029,124.014,23
89,89,29.096,123.728,23
90,90,29.026,124.027,22
91,91,29.539,121.873,22
92,92,45.052,79.908,21
93,93,58.914,61.106,21
94,94,73.243,49.151,24
95,95,75.157,47.900,22
96,96,74.96,48.026,22
97,97,78.154,46.063,22
98,98,55.626,64.718,22
99,99,453.775,7.933,34
