,Lap,LapTime,LapSpeed,RunningPos
0,0,,,3
1,1,32.15,167.963,3
2,2,29.435,183.455,3
3,3,29.514,182.964,3
4,4,29.484,183.150,3
5,5,29.635,182.217,3
6,6,29.698,181.830,3
7,7,29.904,180.578,3
8,8,29.906,180.566,3
9,9,30.122,179.271,3
10,10,30.1,179.402,3
11,11,30.097,179.420,3
12,12,30.223,178.672,3
13,13,30.142,179.152,3
14,14,30.421,177.509,3
15,15,30.357,177.883,3
16,16,30.431,177.451,3
17,17,30.387,177.708,2
18,18,30.304,178.194,2
19,19,30.333,178.024,2
20,20,30.37,177.807,2
21,21,30.455,177.311,2
22,22,30.365,177.836,2
23,23,30.357,177.883,2
24,24,30.327,178.059,2
25,25,30.372,177.795,2
26,26,30.422,177.503,2
27,27,30.575,176.615,2
28,28,30.508,177.003,2
29,29,30.495,177.078,2
30,30,30.791,175.376,2
31,31,31.008,174.149,2
32,32,30.755,175.581,1
33,33,42.124,128.193,4
34,34,72.669,74.310,20
35,35,77.788,69.419,20
36,36,86.88,62.155,10
37,37,102.111,52.884,1
38,38,100.607,53.674,1
39,39,96.295,56.078,1
40,40,93.196,57.942,1
41,41,31.739,170.138,2
42,42,29.69,181.879,2
43,43,29.485,183.144,1
44,44,29.339,184.055,1
45,45,29.667,182.020,1
46,46,29.739,181.580,1
47,47,29.677,181.959,1
48,48,29.66,182.063,1
49,49,29.817,181.105,1
50,50,29.909,180.548,1
51,51,30.108,179.354,1
52,52,30.135,179.194,1
53,53,30.266,178.418,1
54,54,30.245,178.542,1
55,55,30.253,178.495,1
56,56,30.298,178.230,1
57,57,30.298,178.230,1
58,58,30.347,177.942,1
59,59,30.399,177.637,1
60,60,30.438,177.410,1
61,61,30.49,177.107,1
62,62,30.596,176.494,1
63,63,30.688,175.965,1
64,64,30.457,177.299,1
65,65,30.605,176.442,1
66,66,30.516,176.956,1
67,67,30.706,175.861,1
68,68,30.844,175.075,1
69,69,30.741,175.661,1
70,70,30.721,175.776,1
71,71,30.784,175.416,1
72,72,30.851,175.035,1
73,73,30.875,174.899,1
74,74,30.881,174.865,1
75,75,30.693,175.936,1
76,76,30.767,175.513,1
77,77,30.723,175.764,1
78,78,30.846,175.063,1
79,79,30.895,174.786,1
80,80,31.043,173.952,1
81,81,43.132,125.197,1
82,82,88.511,61.009,1
83,83,99.302,54.380,1
84,84,99.728,54.147,1
85,85,100.067,53.964,4
86,86,99.933,54.036,3
87,87,98.263,54.955,2
88,88,93.541,57.729,2
89,89,32.054,168.466,3
90,90,29.573,182.599,3
91,91,29.903,180.584,3
92,92,29.832,181.014,3
93,93,29.871,180.777,4
94,94,30.567,176.661,6
95,95,30.245,178.542,7
96,96,30.165,179.015,7
97,97,30.166,179.009,7
98,98,30.051,179.695,7
99,99,30.276,178.359,7
100,100,30.245,178.542,7
101,101,30.418,177.526,7
102,102,30.35,177.924,7
103,103,30.706,175.861,7
104,104,30.441,177.392,7
105,105,30.44,177.398,7
106,106,30.425,177.486,7
107,107,30.955,174.447,8
108,108,49.348,109.427,8
109,109,82.054,65.810,4
110,110,108.043,49.980,15
111,111,122.008,44.259,29
112,112,66.3,81.448,29
113,113,37.233,145.033,28
114,114,95.244,56.696,27
115,115,98.267,54.952,27
116,116,99.401,54.325,27
117,117,99.188,54.442,27
118,118,108.309,49.857,27
119,119,69.908,77.244,28
120,120,31.896,169.300,27
121,121,30.431,177.451,24
122,122,30.106,179.366,23
123,123,30.309,178.165,22
124,124,30.394,177.667,22
125,125,30.391,177.684,22
126,126,30.63,176.298,22
127,127,30.728,175.735,22
128,128,30.591,176.523,22
129,129,30.883,174.853,22
130,130,30.971,174.357,23
131,131,30.942,174.520,24
132,132,31.146,173.377,26
133,133,30.781,175.433,25
134,134,30.765,175.524,25
135,135,30.716,175.804,25
136,136,30.558,176.713,25
137,137,30.842,175.086,25
138,138,30.737,175.684,25
139,139,30.631,176.292,25
140,140,30.85,175.041,25
141,141,30.807,175.285,25
142,142,30.758,175.564,25
143,143,30.754,175.587,25
144,144,30.988,174.261,25
145,145,30.999,174.199,25
146,146,31.683,170.438,24
147,147,48.843,110.558,23
148,148,81.656,66.131,23
149,149,87.331,61.834,11
150,150,110.608,48.821,25
151,151,102.614,52.624,23
152,152,74.784,72.208,24
153,153,32.364,166.852,24
154,154,30.503,177.032,24
155,155,30.105,179.372,22
156,156,30.461,177.276,21
157,157,30.252,178.501,20
158,158,30.315,178.130,20
159,159,30.456,177.305,20
160,160,30.741,175.661,20
161,161,30.316,178.124,20
162,162,30.803,175.308,20
163,163,31.08,173.745,21
164,164,30.958,174.430,21
165,165,30.657,176.142,21
166,166,53.301,101.311,21
167,167,89.713,60.192,21
168,168,96.182,56.144,21
169,169,91.742,58.861,12
170,170,110.111,49.041,23
171,171,98.912,54.594,22
172,172,101.319,53.297,22
173,173,77.615,69.574,22
174,174,31.578,171.005,22
175,175,30.233,178.613,21
176,176,30.297,178.235,20
177,177,30.162,179.033,20
178,178,30.036,179.784,19
179,179,30.227,178.648,19
180,180,30.301,178.212,19
181,181,30.476,177.189,19
182,182,30.387,177.708,18
183,183,30.511,176.985,18
184,184,30.469,177.229,18
185,185,30.664,176.102,18
186,186,30.552,176.748,18
187,187,30.786,175.404,18
188,188,45.49,118.707,18
189,189,84.165,64.160,10
190,190,96.703,55.841,3
191,191,98.54,54.800,3
192,192,99.528,54.256,3
193,193,103.627,52.110,3
194,194,96.843,55.760,4
195,195,36.206,149.147,5
196,196,89.268,60.492,5
197,197,97.908,55.154,4
198,198,111.979,48.223,23
199,199,103.421,52.214,23
200,200,77.666,69.528,20
201,201,32.064,168.413,21
202,202,30.149,179.110,19
203,203,30.15,179.104,18
204,204,30.125,179.253,16
205,205,30.736,175.690,15
206,206,30.316,178.124,15
207,207,30.074,179.557,14
208,208,30.413,177.556,14
209,209,30.29,178.277,14
210,210,30.237,178.589,14
211,211,30.276,178.359,14
212,212,30.362,177.854,14
213,213,30.511,176.985,13
214,214,30.767,175.513,13
215,215,30.726,175.747,13
216,216,30.898,174.769,13
217,217,31.001,174.188,12
218,218,30.586,176.551,12
219,219,30.901,174.752,12
220,220,30.814,175.245,11
221,221,30.771,175.490,11
222,222,30.787,175.399,11
223,223,30.867,174.944,11
224,224,30.662,176.114,11
225,225,30.8,175.325,11
226,226,31.053,173.896,11
227,227,30.858,174.995,11
228,228,31.009,174.143,11
229,229,30.962,174.407,11
230,230,30.987,174.267,11
231,231,30.901,174.752,11
232,232,31.005,174.165,10
233,233,31.083,173.728,9
234,234,31.031,174.020,9
235,235,30.992,174.239,9
236,236,30.886,174.836,9
237,237,30.998,174.205,9
238,238,31.13,173.466,9
239,239,31.152,173.344,9
240,240,31.385,172.057,8
241,241,31.299,172.529,8
242,242,31.481,171.532,8
243,243,47.304,114.155,8
244,244,76.783,70.328,8
245,245,92.286,58.514,5
246,246,106.072,50.909,6
247,247,99.158,54.459,6
248,248,90.83,59.452,5
249,249,32.264,167.369,7
250,250,29.76,181.452,6
251,251,29.824,181.062,6
252,252,29.663,182.045,6
253,253,29.907,180.560,6
254,254,30.115,179.313,6
255,255,30.062,179.629,6
256,256,30.214,178.725,6
257,257,30.334,178.018,6
258,258,30.332,178.030,6
259,259,30.387,177.708,6
260,260,30.453,177.322,6
261,261,30.357,177.883,6
262,262,30.514,176.968,6
263,263,30.692,175.942,6
264,264,30.38,177.749,6
265,265,30.393,177.672,6
266,266,30.541,176.811,6
267,267,30.562,176.690,6
