,Lap,LapTime,LapSpeed,RunningPos
0,0,,,15
1,1,32.325,167.053,15
2,2,30.02,179.880,15
3,3,29.813,181.129,14
4,4,30.19,178.867,14
5,5,30.173,178.968,14
6,6,30.272,178.383,14
7,7,30.491,177.101,14
8,8,30.679,176.016,15
9,9,30.462,177.270,15
10,10,30.549,176.765,15
11,11,30.72,175.781,15
12,12,30.754,175.587,16
13,13,30.807,175.285,17
14,14,30.82,175.211,17
15,15,30.927,174.605,18
16,16,30.803,175.308,18
17,17,30.701,175.890,18
18,18,30.844,175.075,18
19,19,30.626,176.321,18
20,20,30.641,176.234,18
21,21,30.548,176.771,18
22,22,30.749,175.615,18
23,23,30.632,176.286,18
24,24,30.644,176.217,18
25,25,30.744,175.644,18
26,26,30.899,174.763,19
27,27,30.829,175.160,19
28,28,31.121,173.516,19
29,29,31.024,174.059,19
30,30,30.882,174.859,18
31,31,31.118,173.533,15
32,32,53.857,100.266,25
33,33,61.105,88.372,26
34,34,80.632,66.971,26
35,35,95.773,56.383,26
36,36,100.949,53.492,26
37,37,100.445,53.761,26
38,38,111.106,48.602,34
39,39,87.093,62.003,35
40,40,31.885,169.359,35
41,41,30.037,179.778,35
42,42,30.377,177.766,35
43,43,30.287,178.294,35
44,44,30.672,176.056,35
45,45,30.9,174.757,35
46,46,30.85,175.041,35
47,47,30.625,176.327,35
48,48,30.638,176.252,35
49,49,31.034,174.003,35
50,50,31.028,174.036,35
51,51,31.089,173.695,35
52,52,30.973,174.345,35
53,53,30.782,175.427,35
54,54,30.954,174.452,35
55,55,31.026,174.048,35
56,56,31.154,173.332,35
57,57,30.827,175.171,35
58,58,31.026,174.048,35
59,59,31.004,174.171,35
60,60,31.126,173.488,35
61,61,30.932,174.576,35
62,62,30.817,175.228,35
63,63,30.957,174.436,35
64,64,31.083,173.728,35
65,65,31.129,173.472,35
66,66,31.108,173.589,35
67,67,30.994,174.227,35
68,68,30.934,174.565,35
69,69,31.195,173.105,35
70,70,31.223,172.949,35
71,71,31.111,173.572,35
72,72,31.108,173.589,35
73,73,31.102,173.622,35
74,74,31.092,173.678,35
75,75,31.027,174.042,35
76,76,31.063,173.840,35
77,77,31.232,172.900,35
78,78,31.333,172.342,35
79,79,34.22,157.802,35
80,80,54.509,99.066,35
81,81,73.478,73.491,35
82,82,99.325,54.367,35
83,83,79.535,67.895,35
84,84,106.535,50.688,34
85,85,111.273,48.529,34
86,86,108.465,49.786,33
87,87,63.482,85.063,33
88,88,32.039,168.545,34
89,89,30.341,177.977,34
90,90,30.397,177.649,35
91,91,30.552,176.748,33
92,92,30.503,177.032,33
93,93,30.397,177.649,33
94,94,30.428,177.468,33
95,95,30.734,175.701,33
96,96,30.633,176.280,33
97,97,30.876,174.893,33
98,98,30.922,174.633,33
99,99,31.014,174.115,33
100,100,30.781,175.433,33
101,101,30.833,175.137,32
102,102,30.929,174.593,33
103,103,30.932,174.576,33
104,104,31.038,173.980,33
105,105,30.856,175.006,33
106,106,35.48,152.198,33
107,107,55.647,97.040,32
108,108,60.153,89.771,32
109,109,109.624,49.259,33
110,110,116.776,46.242,32
111,111,70.142,76.987,32
112,112,36.208,149.138,32
113,113,95.52,56.533,32
114,114,90.142,59.905,31
115,115,51.387,105.085,31
116,116,69.404,77.805,31
117,117,93.331,57.859,31
118,118,109.204,49.449,29
119,119,62.751,86.054,29
120,120,31.966,168.929,30
121,121,30.433,177.439,30
122,122,30.441,177.392,30
123,123,30.342,177.971,28
124,124,30.415,177.544,26
125,125,30.33,178.042,26
