,Lap,LapTime,LapSpeed,RunningPos
0,0,,,30
1,1,31.258,172.756,36
2,2,30.145,179.134,35
3,3,30.53,176.875,35
4,4,30.466,177.247,32
5,5,30.823,175.194,34
6,6,30.875,174.899,34
7,7,30.787,175.399,34
8,8,30.382,177.737,33
9,9,30.772,175.484,33
10,10,30.796,175.347,33
11,11,30.928,174.599,32
12,12,30.848,175.052,32
13,13,30.951,174.469,32
14,14,30.906,174.723,32
15,15,30.955,174.447,32
16,16,30.957,174.436,32
17,17,31.277,172.651,32
18,18,31.356,172.216,32
19,19,31.153,173.338,32
20,20,31.293,172.563,33
21,21,31.21,173.021,32
22,22,31.45,171.701,33
23,23,30.945,174.503,33
24,24,31.088,173.700,33
25,25,31.146,173.377,33
26,26,31.345,172.276,33
27,27,31.379,172.090,32
28,28,31.288,172.590,32
29,29,31.14,173.410,32
30,30,31.095,173.661,31
31,31,31.127,173.483,27
32,32,31.05,173.913,21
33,33,37.839,142.710,19
34,34,46.758,115.488,17
35,35,77.502,69.676,17
36,36,105.411,51.228,22
37,37,102.303,52.784,20
38,38,100.564,53.697,20
39,39,101.41,53.249,19
40,40,75.254,71.757,20
41,41,31.996,168.771,21
42,42,30.313,178.141,20
43,43,30.233,178.613,19
44,44,30.568,176.655,21
45,45,30.732,175.713,23
46,46,30.727,175.741,23
47,47,30.908,174.712,24
48,48,30.811,175.262,25
49,49,30.925,174.616,27
50,50,30.868,174.938,27
51,51,31.029,174.031,28
52,52,31.044,173.947,29
53,53,30.726,175.747,29
54,54,30.693,175.936,29
55,55,30.864,174.961,29
56,56,30.876,174.893,29
57,57,31.162,173.288,29
58,58,31.101,173.628,30
59,59,31.181,173.182,31
60,60,31.098,173.645,31
61,61,31.109,173.583,31
62,62,30.962,174.407,31
63,63,30.85,175.041,31
64,64,30.915,174.672,31
65,65,30.766,175.518,31
66,66,30.986,174.272,31
67,67,31.072,173.790,31
68,68,30.898,174.769,31
69,69,31.373,172.123,31
70,70,31.187,173.149,31
71,71,31.29,172.579,31
72,72,31.118,173.533,30
73,73,31.23,172.911,30
74,74,31.093,173.673,30
75,75,30.938,174.543,30
76,76,31.066,173.823,30
77,77,31.282,172.623,30
78,78,30.997,174.210,30
79,79,31.044,173.947,30
80,80,33.258,162.367,29
81,81,54.546,98.999,29
82,82,73.79,73.181,29
83,83,99.238,54.415,29
84,84,140.673,38.387,32
85,85,60.519,89.228,32
86,86,96.685,55.851,31
