,Lap,LapTime,LapSpeed,RunningPos
0,0,,,4
1,1,32.225,167.572,4
2,2,29.532,182.852,4
3,3,29.949,180.307,6
4,4,29.602,182.420,6
5,5,29.687,181.898,6
6,6,30.066,179.605,6
7,7,29.927,180.439,6
8,8,30.028,179.832,6
9,9,30.171,178.980,6
10,10,30.214,178.725,6
11,11,30.207,178.767,6
12,12,30.241,178.566,6
13,13,30.305,178.188,6
14,14,30.315,178.130,6
15,15,30.376,177.772,6
16,16,30.331,178.036,6
17,17,30.428,177.468,6
18,18,30.48,177.165,6
19,19,30.581,176.580,6
20,20,30.495,177.078,6
21,21,30.719,175.787,6
22,22,30.856,175.006,6
23,23,30.657,176.142,6
24,24,30.589,176.534,6
25,25,30.702,175.884,6
26,26,30.659,176.131,5
27,27,30.738,175.678,5
28,28,30.927,174.605,5
29,29,30.907,174.718,5
30,30,30.909,174.706,5
31,31,30.858,174.995,5
32,32,31.255,172.772,4
33,33,31.207,173.038,1
34,34,43.81,123.260,1
35,35,89.911,60.059,1
36,36,101.493,53.206,1
37,37,112.239,48.112,4
38,38,100.786,53.579,4
39,39,129.892,41.573,32
40,40,59.61,90.589,33
41,41,31.73,170.186,31
42,42,30.387,177.708,31
43,43,30.432,177.445,30
44,44,30.586,176.551,31
45,45,30.292,178.265,30
46,46,30.384,177.725,29
47,47,30.566,176.667,28
48,48,30.605,176.442,28
49,49,30.601,176.465,26
50,50,30.432,177.445,26
51,51,30.579,176.592,26
52,52,30.57,176.644,26
53,53,30.766,175.518,25
54,54,30.707,175.856,25
55,55,31.131,173.461,24
56,56,30.753,175.593,24
57,57,30.772,175.484,24
58,58,30.633,176.280,24
59,59,30.533,176.858,24
60,60,30.65,176.183,23
61,61,30.684,175.987,23
62,62,30.829,175.160,23
63,63,30.765,175.524,23
64,64,31.206,173.044,22
65,65,31.344,172.282,22
66,66,31.033,174.008,22
67,67,30.783,175.421,22
68,68,30.977,174.323,22
69,69,31.095,173.661,22
70,70,30.992,174.239,23
71,71,31.104,173.611,23
72,72,31.237,172.872,24
73,73,31.238,172.866,24
74,74,31.202,173.066,24
75,75,31.084,173.723,24
76,76,31.168,173.255,24
77,77,30.981,174.300,24
78,78,31.012,174.126,24
79,79,31.031,174.020,23
80,80,31.839,169.603,23
81,81,52.472,102.912,23
82,82,76.813,70.301,23
83,83,98.847,54.630,23
84,84,87.666,61.597,12
85,85,108.031,49.986,20
86,86,98.022,55.090,19
87,87,102.317,52.777,19
88,88,78.079,69.161,17
89,89,32.326,167.048,18
90,90,30.075,179.551,17
91,91,30.333,178.024,17
92,92,29.961,180.234,16
93,93,29.902,180.590,14
94,94,29.989,180.066,13
95,95,30.251,178.506,13
96,96,30.203,178.790,12
97,97,30.307,178.177,12
98,98,30.225,178.660,12
99,99,30.224,178.666,12
100,100,30.359,177.871,12
101,101,30.461,177.276,12
102,102,30.328,178.053,12
103,103,30.426,177.480,12
104,104,30.484,177.142,12
105,105,30.71,175.838,12
106,106,30.528,176.887,12
107,107,31.178,173.199,12
108,108,51.359,105.142,12
109,109,78.693,68.621,7
110,110,105.145,51.358,12
111,111,103.647,52.100,12
112,112,85.032,63.506,12
113,113,61.902,87.235,31
114,114,309.042,17.473,35
