,Lap,LapTime,LapSpeed,RunningPos
0,0,,,28
1,1,31.869,169.444,27
2,2,30.318,178.112,27
3,3,30.369,177.813,28
4,4,30.867,174.944,28
5,5,30.931,174.582,30
6,6,30.76,175.553,29
7,7,30.429,177.462,29
8,8,30.408,177.585,29
9,9,30.791,175.376,28
10,10,30.914,174.678,28
11,11,30.997,174.210,29
12,12,30.773,175.479,29
13,13,30.603,176.453,29
14,14,30.878,174.882,29
15,15,30.579,176.592,29
16,16,30.599,176.476,29
17,17,31.085,173.717,29
18,18,30.892,174.803,29
19,19,30.87,174.927,29
20,20,30.998,174.205,28
21,21,30.722,175.770,28
22,22,30.809,175.273,27
23,23,30.707,175.856,27
24,24,30.724,175.758,27
25,25,30.842,175.086,27
26,26,30.962,174.407,27
27,27,30.856,175.006,26
28,28,30.764,175.530,26
29,29,30.78,175.439,26
30,30,30.729,175.730,25
31,31,30.874,174.904,19
32,32,56.561,95.472,28
33,33,57.162,94.468,29
34,34,79.31,68.087,28
35,35,95.113,56.775,28
36,36,101.18,53.370,29
37,37,100.567,53.696,29
38,38,76.092,70.967,28
39,39,55.142,97.929,26
40,40,64.993,83.086,26
41,41,32.508,166.113,27
42,42,30.385,177.719,27
43,43,30.668,176.079,31
44,44,30.261,178.448,30
45,45,30.383,177.731,29
46,46,30.949,174.481,31
47,47,30.841,175.092,31
48,48,30.757,175.570,31
49,49,30.615,176.384,31
50,50,30.924,174.622,30
51,51,30.799,175.330,31
52,52,30.861,174.978,31
53,53,31.016,174.104,31
54,54,30.764,175.530,31
55,55,30.724,175.758,31
56,56,30.974,174.340,31
57,57,30.977,174.323,31
58,58,30.887,174.831,31
59,59,30.841,175.092,30
60,60,30.735,175.695,30
61,61,30.929,174.593,30
62,62,30.973,174.345,30
63,63,30.781,175.433,30
64,64,30.935,174.560,30
65,65,30.68,176.010,30
66,66,30.764,175.530,30
67,67,30.986,174.272,28
68,68,30.791,175.376,28
69,69,31.006,174.160,28
70,70,31.083,173.728,28
71,71,31.007,174.154,28
72,72,31.235,172.883,28
73,73,31.2,173.077,28
74,74,31.328,172.370,28
75,75,31.114,173.555,28
76,76,31.215,172.994,28
77,77,31.179,173.193,28
78,78,31.441,171.750,28
79,79,31.752,170.068,29
80,80,34.288,157.490,30
81,81,54.726,98.673,30
82,82,73.559,73.410,30
83,83,99.292,54.385,30
84,84,98.967,54.564,29
85,85,97.446,55.415,27
86,86,96.056,56.217,26
87,87,106.553,50.679,26
88,88,70.476,76.622,25
89,89,32.153,167.947,27
90,90,30.274,178.371,24
91,91,30.345,177.954,25
92,92,30.462,177.270,25
93,93,30.204,178.784,25
94,94,30.821,175.205,26
95,95,30.672,176.056,26
96,96,30.815,175.239,27
97,97,31.059,173.863,28
98,98,30.623,176.338,28
99,99,31.025,174.053,28
100,100,30.962,174.407,28
101,101,30.922,174.633,28
102,102,31.142,173.399,28
103,103,30.706,175.861,28
104,104,30.965,174.390,28
105,105,31.068,173.812,28
106,106,31.033,174.008,28
107,107,104.915,51.470,34
108,108,55.366,97.533,34
109,109,130.244,41.461,34
110,110,98.787,54.663,35
111,111,58.827,91.795,35
112,112,41.489,130.155,34
113,113,93.243,57.913,34
114,114,96.687,55.850,33
115,115,99.414,54.318,33
116,116,99.541,54.249,33
117,117,110.784,48.744,33
118,118,65.972,81.853,33
119,119,32.295,167.209,33
120,120,30.542,176.806,33
121,121,30.558,176.713,33
122,122,30.649,176.188,33
123,123,30.688,175.965,33
124,124,30.718,175.793,33
125,125,30.706,175.861,33
126,126,148.948,36.254,35
127,127,58.698,91.996,35
128,128,59.344,90.995,35
129,129,47.389,113.950,35
130,130,31.172,173.232,35
131,131,31.379,172.090,35
132,132,31.22,172.966,35
133,133,31.236,172.877,35
134,134,31.257,172.761,35
135,135,31.598,170.897,35
136,136,31.486,171.505,35
137,137,31.411,171.914,35
138,138,31.744,170.111,35
139,139,40.619,132.943,35
140,140,90.567,59.624,35
141,141,97.64,55.305,35
142,142,169.77,31.808,35
143,143,66.0,81.818,35
144,144,61.494,87.813,35
145,145,33.441,161.478,35
146,146,31.181,173.182,35
147,147,31.099,173.639,35
148,148,30.979,174.312,35
149,149,31.492,171.472,35
150,150,31.45,171.701,35
151,151,31.716,170.261,35
152,152,31.478,171.548,35
153,153,31.678,170.465,35
154,154,31.985,168.829,35
155,155,31.728,170.197,35
156,156,31.664,170.541,35
157,157,36.353,148.543,35
158,158,47.025,114.833,35
159,159,87.337,61.829,35
160,160,94.988,56.849,35
161,161,81.535,66.229,35
162,162,164.907,32.746,35
163,163,62.751,86.054,35
164,164,94.684,57.032,35
165,165,67.914,79.512,35
166,166,33.018,163.547,35
167,167,31.607,170.848,35
168,168,31.14,173.410,35
169,169,31.05,173.913,35
170,170,31.214,172.999,35
171,171,31.203,173.060,35
172,172,31.305,172.496,35
173,173,31.641,170.665,35
174,174,31.669,170.514,35
175,175,31.807,169.774,35
176,176,31.889,169.337,35
177,177,31.978,168.866,35
178,178,31.713,170.277,35
179,179,39.904,135.325,35
180,180,44.978,120.059,35
181,181,58.189,92.801,35
182,182,184.858,29.212,35
183,183,55.843,96.700,35
184,184,73.468,73.501,35
185,185,113.962,47.384,35
186,186,70.399,76.706,35
187,187,52.387,103.079,34
188,188,83.821,64.423,34
189,189,96.939,55.705,34
190,190,169.839,31.795,34
191,191,56.001,96.427,34
192,192,56.51,95.558,34
193,193,32.951,163.880,34
194,194,31.695,170.374,34
195,195,32.269,167.343,33
