,Lap,LapTime,LapSpeed,RunningPos
0,0,,,8
1,1,32.107,168.188,5
2,2,29.513,182.970,5
3,3,29.64,182.186,5
4,4,29.42,183.549,5
5,5,29.718,181.708,4
6,6,29.759,181.458,4
7,7,29.804,181.184,4
8,8,29.881,180.717,4
9,9,29.948,180.313,4
10,10,30.049,179.706,4
11,11,30.173,178.968,4
12,12,30.15,179.104,4
13,13,30.307,178.177,4
14,14,30.428,177.468,4
15,15,30.563,176.684,4
16,16,30.521,176.927,4
17,17,30.496,177.072,4
18,18,30.437,177.416,4
19,19,30.418,177.526,4
20,20,30.637,176.257,3
21,21,30.514,176.968,3
22,22,30.551,176.754,3
23,23,30.49,177.107,3
24,24,30.592,176.517,3
25,25,30.547,176.777,3
26,26,30.658,176.137,3
27,27,31.172,173.232,4
28,28,30.823,175.194,4
29,29,31.032,174.014,4
30,30,30.941,174.526,4
31,31,30.806,175.291,4
32,32,30.776,175.461,3
33,33,43.959,122.842,9
34,34,56.236,96.024,13
35,35,81.005,66.663,13
36,36,105.574,51.149,20
37,37,100.208,53.888,14
38,38,101.851,53.019,14
39,39,98.464,54.842,13
40,40,81.443,66.304,13
41,41,32.071,168.376,15
42,42,29.845,180.935,12
43,43,29.951,180.294,12
44,44,29.873,180.765,11
45,45,29.998,180.012,11
46,46,30.673,176.051,11
47,47,30.131,179.217,11
48,48,30.454,177.317,11
49,49,30.641,176.234,12
50,50,30.362,177.854,12
51,51,30.363,177.848,11
52,52,30.332,178.030,11
53,53,30.243,178.554,11
54,54,30.383,177.731,11
55,55,30.286,178.300,11
56,56,30.212,178.737,11
57,57,30.514,176.968,11
58,58,30.486,177.130,11
59,59,30.497,177.067,11
60,60,30.486,177.130,11
61,61,30.626,176.321,11
62,62,30.622,176.344,11
63,63,30.692,175.942,11
64,64,30.793,175.365,11
65,65,30.748,175.621,11
66,66,30.818,175.222,11
67,67,30.755,175.581,11
68,68,31.08,173.745,11
69,69,31.105,173.606,12
70,70,30.758,175.564,12
71,71,30.871,174.921,12
72,72,30.807,175.285,12
73,73,30.876,174.893,12
74,74,30.832,175.143,12
75,75,31.05,173.913,12
76,76,30.933,174.571,12
77,77,31.001,174.188,12
78,78,31.137,173.427,12
79,79,31.45,171.701,13
80,80,31.374,172.117,12
81,81,44.836,120.439,12
82,82,83.934,64.336,12
83,83,99.57,54.233,12
84,84,109.152,49.472,23
85,85,91.296,59.148,14
86,86,99.782,54.118,13
87,87,99.493,54.275,12
88,88,84.398,63.983,11
89,89,31.779,169.924,6
90,90,29.699,181.824,5
91,91,29.69,181.879,5
92,92,29.681,181.935,5
93,93,30.02,179.880,6
94,94,30.093,179.444,5
95,95,29.864,180.820,5
96,96,29.914,180.517,5
97,97,29.987,180.078,5
98,98,29.938,180.373,5
99,99,30.343,177.965,5
100,100,30.26,178.453,5
101,101,30.396,177.655,5
102,102,30.395,177.661,5
103,103,30.374,177.784,5
104,104,30.353,177.907,4
105,105,30.3,178.218,4
106,106,30.424,177.491,4
107,107,30.444,177.375,4
108,108,46.688,115.661,4
109,109,98.764,54.676,18
110,110,87.757,61.534,2
111,111,99.783,54.117,2
112,112,94.91,56.896,2
113,113,33.07,163.290,3
114,114,82.854,65.175,1
115,115,98.996,54.548,1
116,116,98.713,54.704,1
117,117,99.557,54.240,1
118,118,99.268,54.398,1
119,119,95.044,56.816,1
120,120,32.062,168.424,3
121,121,29.53,182.865,2
122,122,29.462,183.287,2
123,123,29.642,182.174,2
124,124,29.685,181.910,2
125,125,29.714,181.733,2
126,126,30.024,179.856,2
127,127,29.98,180.120,2
128,128,30.01,179.940,2
129,129,30.113,179.325,2
130,130,30.212,178.737,2
131,131,30.186,178.891,2
132,132,30.077,179.539,2
133,133,30.153,179.087,2
134,134,30.183,178.909,2
135,135,30.244,178.548,2
136,136,30.183,178.909,2
137,137,30.275,178.365,2
138,138,30.441,177.392,2
139,139,30.378,177.760,2
140,140,30.499,177.055,2
141,141,30.566,176.667,2
142,142,30.847,175.058,3
143,143,30.685,175.982,3
144,144,30.664,176.102,3
145,145,30.569,176.650,3
146,146,30.878,174.882,2
147,147,38.905,138.800,2
148,148,91.092,59.281,2
149,149,111.513,48.425,18
150,150,91.037,59.317,8
151,151,96.524,55.945,6
152,152,91.531,58.996,5
153,153,32.047,168.503,3
154,154,30.135,179.194,4
155,155,29.855,180.874,3
156,156,29.514,182.964,3
157,157,29.516,182.952,2
158,158,29.662,182.051,2
159,159,30.095,179.432,2
160,160,29.99,180.060,1
161,161,29.898,180.614,1
162,162,30.002,179.988,1
163,163,30.331,178.036,2
164,164,30.381,177.743,2
165,165,30.231,178.625,2
166,166,48.117,112.226,2
167,167,88.455,61.048,2
168,168,99.172,54.451,2
169,169,111.515,48.424,18
170,170,89.254,60.501,6
171,171,99.107,54.487,5
172,172,98.897,54.602,5
173,173,91.469,59.036,5
174,174,31.977,168.871,6
175,175,29.467,183.256,4
176,176,29.541,182.797,2
177,177,29.764,181.427,2
178,178,29.929,180.427,3
179,179,30.067,179.599,3
180,180,29.864,180.820,3
181,181,29.907,180.560,2
182,182,30.024,179.856,2
183,183,30.098,179.414,2
184,184,30.1,179.402,2
185,185,30.087,179.480,2
186,186,30.115,179.313,2
187,187,30.118,179.295,2
188,188,42.616,126.713,2
189,189,103.076,52.389,19
190,190,90.281,59.813,6
191,191,97.68,55.283,6
192,192,100.314,53.831,6
193,193,103.315,52.267,6
194,194,94.819,56.951,5
195,195,36.119,149.506,4
196,196,88.706,60.875,4
197,197,104.459,51.695,16
198,198,104.143,51.852,20
199,199,103.083,52.385,20
200,200,79.833,67.641,19
201,201,31.996,168.771,19
202,202,30.426,177.480,21
203,203,30.258,178.465,20
204,204,30.184,178.903,20
205,205,30.836,175.120,17
206,206,30.25,178.512,17
207,207,30.227,178.648,17
208,208,30.4,177.632,16
209,209,30.265,178.424,15
210,210,30.235,178.601,15
211,211,30.334,178.018,15
212,212,30.468,177.235,15
213,213,30.544,176.794,15
214,214,30.771,175.490,15
215,215,30.521,176.927,15
216,216,30.87,174.927,15
217,217,30.809,175.273,15
218,218,30.959,174.424,14
219,219,31.001,174.188,13
220,220,30.638,176.252,13
