,Lap,LapTime,LapSpeed,RunningPos
0,0,,,1
1,1,33.888,159.348,1
2,2,32.616,165.563,1
3,3,32.886,164.204,1
4,4,33.277,162.274,1
5,5,33.576,160.829,1
6,6,33.786,159.830,1
7,7,33.744,160.028,1
8,8,33.979,158.922,1
9,9,34.53,156.386,2
10,10,34.178,157.996,3
11,11,34.245,157.687,3
12,12,34.353,157.192,3
13,13,34.289,157.485,3
14,14,34.221,157.798,3
15,15,34.488,156.576,3
16,16,34.7,155.620,2
17,17,34.732,155.476,2
18,18,34.761,155.347,2
19,19,34.647,155.858,2
20,20,34.716,155.548,2
21,21,34.67,155.754,2
22,22,34.685,155.687,2
23,23,34.884,154.799,2
24,24,34.79,155.217,2
25,25,34.619,155.984,2
26,26,34.675,155.732,2
27,27,34.872,154.852,2
28,28,34.897,154.741,2
29,29,34.832,155.030,2
30,30,34.913,154.670,2
31,31,35.09,153.890,2
32,32,34.91,154.683,2
33,33,45.958,117.499,2
34,34,61.353,88.015,17
35,35,33.461,161.382,14
36,36,33.574,160.839,13
37,37,33.522,161.088,13
38,38,33.786,159.830,13
39,39,34.049,158.595,11
40,40,33.907,159.259,6
41,41,34.116,158.284,2
42,42,34.083,158.437,2
43,43,34.048,158.600,2
44,44,34.059,158.548,2
45,45,34.069,158.502,2
46,46,34.306,157.407,2
47,47,34.098,158.367,2
48,48,34.238,157.719,2
49,49,34.136,158.191,2
50,50,34.461,156.699,2
51,51,34.398,156.986,2
52,52,34.504,156.504,2
53,53,34.564,156.232,2
54,54,34.607,156.038,2
55,55,34.771,155.302,2
56,56,34.924,154.621,2
57,57,34.775,155.284,2
58,58,34.759,155.355,2
59,59,34.811,155.123,2
60,60,34.637,155.903,2
61,61,34.856,154.923,2
62,62,34.961,154.458,2
63,63,34.837,155.008,2
64,64,34.761,155.347,2
65,65,34.812,155.119,2
66,66,35.059,154.026,2
67,67,35.088,153.899,2
68,68,35.161,153.579,2
69,69,35.542,151.933,2
70,70,38.748,139.362,2
71,71,74.282,72.696,2
72,72,94.999,56.843,1
73,73,101.47,53.218,2
74,74,94.983,56.852,2
75,75,92.621,58.302,2
76,76,33.662,160.418,2
77,77,32.68,165.239,2
78,78,33.128,163.004,2
79,79,33.374,161.803,2
80,80,33.331,162.011,2
81,81,54.562,98.970,2
82,82,90.883,59.417,2
83,83,97.58,55.339,2
84,84,97.254,55.525,1
85,85,96.737,55.821,2
86,86,98.001,55.101,2
87,87,97.509,55.380,2
88,88,93.605,57.689,2
89,89,34.021,158.725,1
90,90,32.497,166.169,1
91,91,32.864,164.314,1
92,92,33.065,163.315,1
93,93,33.278,162.269,1
