,Lap,LapTime,LapSpeed,RunningPos
0,0,,,9
1,1,21.135,89.595,10
2,2,20.661,91.651,10
3,3,20.601,91.918,10
4,4,20.562,92.092,9
5,5,20.756,91.231,10
6,6,20.806,91.012,10
7,7,20.611,91.873,10
8,8,20.624,91.815,10
9,9,20.562,92.092,10
10,10,20.535,92.213,10
11,11,20.67,91.611,10
12,12,20.639,91.749,10
13,13,20.66,91.655,10
14,14,20.694,91.505,10
15,15,20.827,90.920,10
16,16,20.863,90.764,10
17,17,20.877,90.703,10
18,18,20.899,90.607,10
19,19,20.967,90.313,10
20,20,20.964,90.326,10
21,21,20.991,90.210,10
22,22,20.943,90.417,10
23,23,21.004,90.154,10
24,24,20.924,90.499,10
25,25,21.069,89.876,10
26,26,21.121,89.655,10
27,27,21.002,90.163,10
28,28,21.113,89.689,10
29,29,21.03,90.043,10
30,30,20.914,90.542,10
31,31,22.58,83.862,10
32,32,40.836,46.371,10
33,33,42.9,44.140,7
34,34,66.353,28.538,16
35,35,49.852,37.984,16
36,36,52.352,36.171,16
37,37,55.402,34.179,16
38,38,52.495,36.072,15
39,39,46.687,40.559,16
40,40,21.707,87.235,15
41,41,20.897,90.616,14
42,42,20.871,90.729,13
43,43,20.833,90.894,13
44,44,20.739,91.306,13
45,45,20.71,91.434,13
46,46,20.758,91.223,13
47,47,21.054,89.940,10
48,48,21.093,89.774,11
49,49,20.979,90.262,11
50,50,20.906,90.577,11
51,51,21.071,89.868,11
52,52,21.167,89.460,11
53,53,21.04,90.000,11
54,54,21.036,90.017,11
55,55,21.13,89.617,11
56,56,21.08,89.829,11
57,57,21.069,89.876,11
58,58,21.218,89.245,11
59,59,21.129,89.621,11
60,60,21.281,88.981,11
61,61,21.242,89.144,11
62,62,21.239,89.157,11
63,63,21.289,88.947,11
64,64,21.298,88.910,11
65,65,21.498,88.083,10
66,66,21.286,88.960,10
67,67,21.31,88.860,10
68,68,21.273,89.014,9
69,69,21.163,89.477,9
70,70,21.164,89.473,9
71,71,26.764,70.752,9
72,72,44.715,42.348,9
73,73,41.589,45.531,6
74,74,63.463,29.838,14
75,75,48.434,39.097,13
76,76,50.532,37.473,13
77,77,51.522,36.753,13
78,78,46.989,40.299,14
79,79,21.327,88.789,13
80,80,21.158,89.498,15
81,81,36.736,51.546,15
82,82,47.544,39.828,15
83,83,55.469,34.138,15
84,84,50.405,37.568,15
85,85,50.224,37.703,15
86,86,49.338,38.380,12
87,87,50.657,37.381,10
88,88,51.954,36.448,10
89,89,53.068,35.683,10
90,90,51.146,37.023,10
91,91,53.319,35.515,10
92,92,52.542,36.040,9
93,93,21.19,89.363,10
94,94,20.727,91.359,10
95,95,20.809,90.999,11
96,96,20.836,90.881,11
97,97,20.809,90.999,11
98,98,20.974,90.283,11
99,99,20.958,90.352,11
100,100,20.747,91.271,11
101,101,21.031,90.039,11
102,102,21.011,90.124,10
103,103,20.694,91.505,10
104,104,20.833,90.894,10
105,105,20.846,90.838,10
106,106,20.982,90.249,10
107,107,20.898,90.612,10
108,108,20.919,90.521,10
109,109,21.025,90.064,10
110,110,21.03,90.043,10
111,111,21.072,89.863,10
112,112,21.053,89.944,10
113,113,21.164,89.473,10
114,114,21.167,89.460,10
115,115,21.176,89.422,10
116,116,21.149,89.536,10
117,117,21.171,89.443,10
118,118,21.237,89.165,10
119,119,21.211,89.274,10
120,120,21.15,89.532,10
121,121,21.155,89.511,10
122,122,24.648,76.826,10
123,123,33.733,56.135,10
124,124,49.389,38.341,10
125,125,50.852,37.237,10
126,126,43.891,43.143,4
127,127,63.843,29.660,13
128,128,51.868,36.508,13
129,129,49.944,37.914,12
130,130,53.72,35.249,12
131,131,49.484,38.267,11
132,132,21.396,88.503,12
133,133,20.814,90.977,13
134,134,20.863,90.764,14
135,135,20.945,90.408,13
136,136,20.812,90.986,13
137,137,20.713,91.421,13
138,138,20.89,90.646,13
139,139,20.901,90.599,13
140,140,20.882,90.681,13
141,141,20.864,90.759,13
142,142,20.909,90.564,12
143,143,20.875,90.711,12
144,144,21.038,90.009,12
145,145,20.967,90.313,12
146,146,20.942,90.421,12
147,147,21.156,89.507,12
148,148,21.082,89.821,12
149,149,21.081,89.825,12
150,150,21.163,89.477,12
151,151,21.193,89.350,12
152,152,21.09,89.787,12
153,153,21.265,89.048,12
154,154,21.227,89.207,12
155,155,21.245,89.132,12
156,156,21.248,89.119,12
157,157,21.212,89.270,12
158,158,21.179,89.409,11
159,159,21.236,89.169,11
160,160,21.307,88.872,11
161,161,21.137,89.587,11
162,162,21.147,89.545,11
163,163,21.071,89.868,10
164,164,21.133,89.604,10
165,165,21.224,89.220,10
166,166,21.075,89.851,10
167,167,21.122,89.651,10
168,168,21.182,89.397,10
169,169,21.308,88.868,10
170,170,21.244,89.136,10
171,171,21.284,88.968,10
172,172,21.223,89.224,10
173,173,21.217,89.249,10
174,174,21.173,89.435,10
175,175,21.241,89.148,10
176,176,21.246,89.127,10
177,177,21.135,89.595,10
178,178,21.332,88.768,10
179,179,21.425,88.383,10
180,180,21.508,88.042,10
181,181,39.186,48.323,10
182,182,45.413,41.697,10
183,183,49.175,38.507,10
184,184,51.617,36.686,10
185,185,50.976,37.147,10
186,186,51.517,36.757,10
187,187,42.567,44.485,6
188,188,72.529,26.108,17
189,189,46.509,40.715,16
190,190,53.154,35.625,16
191,191,50.095,37.800,16
192,192,55.887,33.883,16
193,193,45.283,41.817,18
194,194,20.993,90.201,17
195,195,20.754,91.240,17
196,196,20.808,91.003,17
197,197,20.593,91.954,16
198,198,20.615,91.855,16
199,199,20.901,90.599,15
