,Lap,LapTime,LapSpeed,RunningPos
0,0,,,11
1,1,54.344,176.211,15
2,2,51.367,186.423,16
3,3,51.356,186.463,20
4,4,51.072,187.500,16
5,5,51.172,187.134,21
6,6,50.787,188.552,19
7,7,50.73,188.764,19
8,8,50.46,189.774,15
9,9,50.846,188.333,19
10,10,50.805,188.485,18
11,11,51.028,187.662,17
12,12,51.104,187.383,15
13,13,50.822,188.422,10
14,14,50.646,189.077,12
15,15,50.902,188.126,14
16,16,50.95,187.949,15
17,17,50.838,188.363,15
18,18,50.752,188.682,14
19,19,50.742,188.719,15
20,20,50.622,189.167,12
21,21,50.93,188.023,15
22,22,50.614,189.197,11
23,23,50.32,190.302,10
24,24,50.686,188.928,18
25,25,49.923,191.815,13
26,26,49.806,192.266,2
27,27,50.191,190.791,3
28,28,49.836,192.150,2
29,29,49.604,193.049,2
30,30,49.466,193.588,2
31,31,49.571,193.177,2
32,32,49.746,192.498,2
33,33,49.614,193.010,2
34,34,49.582,193.135,2
35,35,49.655,192.851,2
36,36,50.008,191.489,2
37,37,49.626,192.963,2
38,38,49.533,193.326,2
39,39,49.87,192.019,2
40,40,49.78,192.366,2
41,41,78.256,122.368,26
42,42,57.241,167.293,26
43,43,69.949,136.900,24
44,44,79.604,120.295,22
45,45,95.295,100.488,22
46,46,138.331,69.225,22
47,47,139.213,68.787,23
48,48,138.568,69.107,23
49,49,129.617,73.879,6
50,50,137.351,69.719,5
51,51,132.68,72.174,2
