,Lap,LapTime,LapSpeed,RunningPos
0,0,,,24
1,1,53.61,178.623,26
2,2,51.358,186.456,26
3,3,51.149,187.218,26
4,4,51.34,186.521,31
5,5,50.932,188.015,26
6,6,50.759,188.656,24
7,7,50.738,188.734,25
8,8,50.562,189.391,24
9,9,50.652,189.055,21
10,10,50.856,188.296,22
11,11,51.052,187.573,22
12,12,51.204,187.017,24
13,13,51.046,187.596,27
14,14,50.651,189.058,26
15,15,50.714,188.824,24
16,16,50.989,187.805,24
17,17,50.825,188.411,25
18,18,50.725,188.783,25
19,19,50.768,188.623,27
20,20,50.679,188.954,25
21,21,50.958,187.919,26
22,22,50.684,188.935,29
23,23,50.511,189.582,29
24,24,50.091,191.172,19
25,25,50.17,190.871,22
26,26,50.383,190.064,31
27,27,50.319,190.306,31
28,28,50.286,190.431,36
29,29,50.047,191.340,36
30,30,49.619,192.991,32
31,31,49.589,193.107,34
32,32,49.791,192.324,33
33,33,49.856,192.073,35
34,34,49.304,194.224,33
35,35,49.9,191.904,38
36,36,49.702,192.668,38
37,37,49.88,191.981,39
38,38,49.476,193.548,33
39,39,49.914,191.850,32
40,40,49.509,193.419,29
41,41,49.455,193.631,17
42,42,49.479,193.537,18
43,43,49.832,192.166,11
44,44,88.088,108.709,10
45,45,135.03,70.918,11
46,46,137.464,69.662,11
47,47,138.308,69.237,11
48,48,138.798,68.992,11
49,49,132.96,72.022,1
50,50,164.067,58.366,31
51,51,113.156,84.627,35
52,52,80.891,118.382,33
53,53,135.482,70.681,30
54,54,139.666,68.564,30
55,55,141.912,67.478,27
56,56,115.651,82.801,27
57,57,52.571,182.154,25
58,58,49.807,192.262,30
59,59,49.216,194.571,21
60,60,49.809,192.254,17
61,61,90.443,105.879,18
62,62,133.028,71.985,16
63,63,146.329,65.442,10
64,64,126.045,75.973,6
65,65,140.019,68.391,5
66,66,129.795,73.778,3
67,67,53.847,177.837,4
68,68,50.585,189.305,6
69,69,50.82,188.430,8
70,70,50.949,187.953,4
71,71,51.06,187.544,3
72,72,51.054,187.566,3
73,73,50.992,187.794,3
74,74,51.168,187.148,8
75,75,50.843,188.345,6
76,76,50.842,188.348,3
77,77,50.902,188.126,4
78,78,50.718,188.809,4
79,79,50.937,187.997,6
80,80,50.598,189.256,4
81,81,50.843,188.345,2
82,82,51.167,187.152,4
83,83,50.95,187.949,5
84,84,50.938,187.993,5
85,85,51.058,187.551,4
86,86,51.119,187.328,4
87,87,50.5,189.624,1
88,88,50.811,188.463,4
89,89,50.53,189.511,8
90,90,50.349,190.192,8
91,91,50.616,189.189,8
92,92,50.675,188.969,7
93,93,50.738,188.734,9
94,94,50.714,188.824,11
95,95,50.804,188.489,12
96,96,50.89,188.171,13
97,97,50.774,188.600,9
98,98,50.603,189.238,8
99,99,50.883,188.196,11
100,100,50.868,188.252,9
101,101,50.76,188.652,14
102,102,50.234,190.628,9
103,103,50.695,188.894,11
104,104,50.249,190.571,9
105,105,50.183,190.822,8
106,106,49.907,191.877,7
107,107,50.004,191.505,4
108,108,50.479,189.703,4
109,109,50.542,189.466,3
110,110,49.761,192.440,5
111,111,100.991,94.820,31
112,112,75.117,127.481,34
113,113,57.979,165.163,34
114,114,49.083,195.098,34
115,115,49.089,195.074,34
116,116,48.931,195.704,33
117,117,49.308,194.208,32
118,118,49.057,195.202,32
119,119,48.662,196.786,32
120,120,87.906,108.935,32
121,121,131.158,73.011,32
122,122,127.177,75.297,32
123,123,60.205,159.057,30
124,124,112.279,85.288,31
125,125,127.82,74.918,22
126,126,118.077,81.100,21
127,127,53.41,179.292,21
128,128,50.715,188.820,21
129,129,50.43,189.887,22
130,130,50.657,189.036,23
131,131,50.536,189.489,24
132,132,50.555,189.417,25
133,133,50.247,190.579,25
134,134,50.082,191.206,25
135,135,49.82,192.212,24
136,136,49.64,192.909,24
137,137,49.766,192.421,23
138,138,49.667,192.804,24
139,139,49.828,192.181,25
140,140,50.14,190.985,26
141,141,50.18,190.833,28
142,142,50.021,191.440,27
143,143,50.153,190.936,30
144,144,50.447,189.823,30
145,145,49.979,191.600,29
146,146,50.099,191.142,29
147,147,50.035,191.386,31
148,148,49.697,192.688,29
149,149,50.027,191.417,31
150,150,49.89,191.942,30
151,151,49.555,193.240,30
152,152,49.07,195.150,30
153,153,49.601,193.061,30
154,154,49.812,192.243,30
155,155,49.401,193.842,30
156,156,49.971,191.631,30
157,157,49.892,191.935,30
158,158,49.541,193.294,30
159,159,49.713,192.626,26
160,160,50.196,190.772,26
161,161,49.926,191.804,27
162,162,50.011,191.478,29
163,163,49.768,192.413,23
164,164,50.41,189.962,18
165,165,50.25,190.567,19
166,166,49.479,193.537,18
167,167,49.748,192.490,18
168,168,49.615,193.006,18
169,169,50.209,190.723,19
170,170,50.027,191.417,18
171,171,49.771,192.401,8
172,172,76.599,125.015,8
173,173,56.085,170.741,10
174,174,49.77,192.405,13
175,175,49.447,193.662,13
176,176,49.332,194.113,13
177,177,49.665,192.812,14
178,178,49.487,193.505,14
179,179,49.588,193.111,14
180,180,49.238,194.484,14
181,181,49.391,193.881,14
182,182,49.542,193.291,12
183,183,49.572,193.174,13
184,184,49.316,194.176,13
185,185,49.201,194.630,13
186,186,49.265,194.377,11
187,187,48.991,195.464,12
188,188,48.53,197.321,11
