,Lap,LapTime,LapSpeed,RunningPos
0,0,,,3
1,1,54.673,175.150,2
2,2,51.403,186.293,3
3,3,51.348,186.492,3
4,4,51.185,187.086,3
5,5,50.915,188.078,1
6,6,51.04,187.618,7
7,7,50.773,188.604,8
8,8,50.538,189.481,6
9,9,50.698,188.883,3
10,10,50.814,188.452,4
11,11,51.023,187.680,4
12,12,51.092,187.427,2
13,13,51.047,187.592,6
14,14,50.631,189.133,7
15,15,50.792,188.534,7
16,16,50.914,188.082,7
17,17,50.88,188.208,7
18,18,50.755,188.671,8
19,19,50.729,188.768,7
20,20,50.713,188.827,6
21,21,50.829,188.396,3
22,22,50.669,188.991,6
23,23,50.388,190.045,5
24,24,50.294,190.400,6
25,25,50.171,190.867,6
26,26,50.389,190.041,11
27,27,50.13,191.023,8
28,28,50.073,191.241,8
29,29,49.528,193.345,8
30,30,49.52,193.376,7
31,31,49.765,192.424,8
32,32,49.885,191.962,8
33,33,49.599,193.068,8
34,34,49.444,193.674,8
35,35,49.959,191.677,8
36,36,49.914,191.850,10
37,37,49.519,193.380,10
38,38,49.568,193.189,9
39,39,50.05,191.329,10
40,40,49.646,192.886,10
41,41,49.814,192.235,3
42,42,49.518,193.384,2
43,43,49.597,193.076,1
44,44,78.928,121.326,1
45,45,136.042,70.390,1
46,46,139.163,68.811,1
47,47,138.831,68.976,1
48,48,139.073,68.856,1
49,49,160.071,59.823,22
50,50,136.251,70.282,21
51,51,119.107,80.398,20
52,52,74.821,127.985,19
53,53,135.21,70.823,19
54,54,138.021,69.381,19
55,55,144.628,66.211,19
56,56,121.629,78.731,19
57,57,53.094,180.359,20
58,58,49.404,193.830,15
59,59,49.853,192.085,23
60,60,50.345,190.208,27
61,61,95.551,100.219,28
62,62,133.765,71.588,27
63,63,141.857,67.505,15
64,64,130.405,73.433,11
65,65,138.772,69.005,10
66,66,125.222,76.472,11
67,67,53.473,179.081,9
68,68,50.415,189.943,5
69,69,50.771,188.612,5
70,70,51.069,187.511,6
71,71,51.173,187.130,8
72,72,51.097,187.408,9
73,73,50.957,187.923,8
74,74,50.867,188.256,3
75,75,50.914,188.082,4
76,76,50.964,187.897,6
77,77,50.773,188.604,3
78,78,50.716,188.816,3
79,79,51.03,187.654,7
80,80,50.716,188.816,8
81,81,50.879,188.211,9
82,82,51.231,186.918,13
83,83,51.014,187.713,14
84,84,50.847,188.330,13
85,85,51.083,187.460,13
86,86,51.14,187.251,12
87,87,50.54,189.474,6
88,88,50.572,189.354,6
89,89,50.275,190.472,3
90,90,50.331,190.260,2
91,91,50.639,189.103,2
92,92,50.61,189.212,2
93,93,50.807,188.478,3
94,94,50.715,188.820,5
95,95,50.739,188.731,6
96,96,50.924,188.045,6
97,97,50.782,188.571,5
98,98,50.615,189.193,4
99,99,50.807,188.478,4
100,100,50.937,187.997,4
101,101,50.488,189.669,1
102,102,50.158,190.917,1
103,103,50.667,188.999,1
104,104,50.205,190.738,1
105,105,50.281,190.450,1
106,106,50.008,191.489,1
107,107,50.282,190.446,1
108,108,50.461,189.770,1
109,109,50.604,189.234,2
110,110,49.605,193.045,1
111,111,74.215,129.031,18
112,112,58.306,164.237,18
113,113,50.854,188.304,7
114,114,49.759,192.448,2
115,115,49.483,193.521,1
116,116,49.086,195.086,1
117,117,49.098,195.038,1
118,118,49.364,193.988,1
119,119,49.091,195.066,1
120,120,48.85,196.029,2
121,121,81.711,117.194,2
122,122,130.647,73.297,2
123,123,159.801,59.925,10
124,124,121.575,78.766,8
125,125,140.467,68.173,7
126,126,129.624,73.875,6
127,127,53.989,177.369,4
128,128,50.655,189.044,4
129,129,50.308,190.347,3
130,130,50.602,189.242,3
131,131,50.552,189.429,4
132,132,50.448,189.819,5
133,133,50.373,190.102,7
134,134,49.91,191.865,7
135,135,49.857,192.069,9
136,136,49.6,193.065,8
137,137,49.508,193.423,7
138,138,49.655,192.851,6
139,139,49.926,191.804,6
140,140,49.931,191.785,6
141,141,50.167,190.882,7
142,142,49.834,192.158,7
143,143,50.418,189.932,8
144,144,50.439,189.853,10
145,145,50.112,191.092,11
146,146,49.911,191.862,12
147,147,49.639,192.913,11
148,148,50.03,191.405,9
149,149,50.083,191.203,9
150,150,49.637,192.921,7
151,151,49.457,193.623,7
152,152,49.369,193.968,6
153,153,49.489,193.498,6
154,154,49.408,193.815,5
155,155,49.82,192.212,6
156,156,49.73,192.560,6
157,157,49.801,192.285,6
158,158,49.742,192.513,4
159,159,50.136,191.000,3
160,160,50.094,191.161,6
161,161,49.69,192.715,4
162,162,49.875,192.000,1
163,163,50.388,190.045,1
164,164,50.801,188.500,1
165,165,50.036,191.382,2
166,166,49.62,192.987,2
167,167,49.768,192.413,5
168,168,49.675,192.773,5
169,169,50.107,191.111,4
170,170,49.824,192.197,4
171,171,76.652,124.928,12
172,172,57.17,167.500,12
173,173,49.414,193.791,6
174,174,49.683,192.742,6
175,175,49.426,193.744,7
176,176,49.357,194.015,6
177,177,49.718,192.606,8
178,178,49.394,193.870,7
179,179,49.582,193.135,7
180,180,49.307,194.212,8
181,181,49.303,194.228,7
182,182,49.591,193.100,6
183,183,49.522,193.369,5
184,184,49.332,194.113,6
185,185,49.195,194.654,6
186,186,49.329,194.125,5
187,187,49.0,195.429,6
188,188,48.561,197.195,5
