,Lap,LapTime,LapSpeed,RunningPos
0,0,,,15
1,1,53.986,177.379,14
2,2,51.267,186.787,13
3,3,51.318,186.601,15
4,4,51.269,186.780,19
5,5,51.092,187.427,19
6,6,51.107,187.372,28
7,7,50.747,188.701,29
8,8,50.653,189.051,31
9,9,50.669,188.991,31
10,10,50.825,188.411,29
11,11,51.056,187.559,30
12,12,51.229,186.925,31
13,13,50.95,187.949,32
14,14,50.579,189.328,30
15,15,50.711,188.835,28
16,16,50.997,187.776,28
17,17,50.81,188.467,28
18,18,50.732,188.757,29
19,19,50.79,188.541,31
20,20,50.689,188.917,30
21,21,50.989,187.805,32
22,22,50.629,189.141,32
23,23,50.501,189.620,32
24,24,50.123,191.050,24
25,25,50.12,191.061,25
26,26,50.162,190.901,27
27,27,50.196,190.772,24
28,28,49.987,191.570,23
29,29,49.55,193.259,17
30,30,49.625,192.967,16
31,31,49.683,192.742,17
32,32,49.835,192.154,17
33,33,49.676,192.769,17
34,34,49.444,193.674,17
35,35,49.926,191.804,17
36,36,49.653,192.858,14
37,37,49.574,193.166,15
38,38,49.762,192.436,15
39,39,49.976,191.612,16
40,40,49.594,193.088,16
41,41,49.794,192.312,10
42,42,49.588,193.111,10
43,43,49.653,192.858,6
44,44,82.146,116.573,5
45,45,136.058,70.382,6
46,46,138.533,69.124,6
47,47,139.392,68.698,6
48,48,138.823,68.980,6
49,49,159.525,60.028,26
50,50,140.549,68.133,29
51,51,113.236,84.567,34
52,52,77.48,123.593,30
53,53,143.519,66.723,32
54,54,136.558,70.124,32
55,55,145.745,65.704,34
56,56,111.562,85.836,34
57,57,51.594,185.603,28
58,58,49.573,193.170,27
59,59,49.55,193.259,26
60,60,49.779,192.370,20
61,61,90.64,105.649,19
62,62,135.157,70.851,20
63,63,145.084,66.003,13
64,64,129.555,73.915,9
65,65,137.825,69.479,8
66,66,127.586,75.055,9
67,67,53.631,178.553,8
68,68,50.608,189.219,11
69,69,50.727,188.775,9
70,70,51.107,187.372,11
71,71,51.091,187.430,11
72,72,51.03,187.654,10
73,73,51.024,187.676,11
74,74,50.966,187.890,11
75,75,50.988,187.809,13
76,76,50.763,188.641,9
77,77,50.898,188.141,8
78,78,50.749,188.693,11
79,79,51.042,187.610,15
80,80,50.651,189.058,16
81,81,51.003,187.754,18
82,82,51.149,187.218,21
83,83,50.902,188.126,19
84,84,50.834,188.378,17
85,85,51.135,187.269,15
86,86,51.146,187.229,17
87,87,50.634,189.122,14
88,88,50.676,188.965,16
89,89,50.44,189.849,19
90,90,50.401,189.996,19
91,91,50.574,189.346,19
92,92,50.819,188.433,20
93,93,50.556,189.414,18
94,94,50.522,189.541,15
95,95,50.888,188.178,15
96,96,50.994,187.787,21
97,97,50.841,188.352,22
98,98,50.553,189.425,18
99,99,50.77,188.615,16
100,100,50.697,188.887,10
101,101,50.81,188.467,17
102,102,50.227,190.654,12
103,103,50.713,188.827,13
104,104,50.23,190.643,10
105,105,50.743,188.716,20
106,106,49.91,191.865,20
107,107,50.137,190.997,19
108,108,50.298,190.385,15
109,109,50.299,190.382,10
110,110,49.774,192.390,13
111,111,49.993,191.547,5
112,112,75.659,126.568,6
113,113,56.785,168.636,6
114,114,50.216,190.696,6
115,115,49.538,193.306,6
116,116,49.091,195.066,6
117,117,49.109,194.995,7
118,118,49.346,194.058,7
119,119,49.143,194.860,7
120,120,48.837,196.081,8
121,121,84.994,112.667,9
122,122,129.704,73.830,9
123,123,160.471,59.674,14
124,124,121.757,78.648,12
125,125,140.381,68.214,11
126,126,126.508,75.695,11
127,127,54.058,177.143,14
128,128,50.718,188.809,14
129,129,50.446,189.827,15
130,130,50.568,189.369,14
131,131,50.507,189.597,16
132,132,50.288,190.423,12
133,133,50.202,190.749,9
134,134,49.737,192.533,6
135,135,49.865,192.039,6
136,136,49.652,192.862,6
137,137,49.465,193.591,6
138,138,49.68,192.754,4
139,139,49.944,191.735,5
140,140,49.91,191.865,4
141,141,50.186,190.810,5
142,142,49.786,192.343,5
143,143,50.394,190.023,6
144,144,50.281,190.450,6
145,145,49.985,191.577,6
146,146,49.723,192.587,6
147,147,49.829,192.177,6
148,148,50.16,190.909,6
149,149,50.05,191.329,6
150,150,49.932,191.781,6
151,151,49.301,194.235,6
152,152,49.558,193.228,7
153,153,49.519,193.380,7
154,154,49.597,193.076,10
155,155,49.643,192.897,7
156,156,49.727,192.571,7
157,157,49.972,191.627,9
158,158,49.932,191.781,10
159,159,50.093,191.164,11
160,160,49.924,191.812,10
161,161,49.957,191.685,13
162,162,50.181,190.829,15
163,163,50.339,190.230,16
164,164,50.71,188.838,17
165,165,50.189,190.799,17
166,166,49.373,193.952,14
167,167,49.665,192.812,13
168,168,49.604,193.049,12
169,169,50.164,190.894,12
170,170,50.096,191.153,13
171,171,77.096,124.209,16
172,172,56.367,169.887,16
173,173,49.394,193.870,12
174,174,49.871,192.015,19
175,175,49.513,193.404,20
176,176,49.37,193.964,21
177,177,49.611,193.022,20
178,178,49.408,193.815,19
179,179,49.564,193.205,18
180,180,49.233,194.504,18
181,181,49.42,193.768,19
182,182,49.659,192.835,18
183,183,49.555,193.240,19
184,184,49.296,194.255,18
185,185,49.229,194.519,18
186,186,49.287,194.291,19
187,187,48.968,195.556,20
188,188,48.421,197.765,18
