,Lap,LapTime,LapSpeed,RunningPos
0,0,,,10
1,1,54.438,175.907,12
2,2,51.353,186.474,14
3,3,51.314,186.616,14
4,4,51.398,186.311,23
5,5,51.071,187.504,23
6,6,51.023,187.680,30
7,7,50.688,188.920,28
8,8,50.547,189.447,27
9,9,50.644,189.085,25
10,10,50.878,188.215,26
11,11,51.054,187.566,26
12,12,51.245,186.867,29
13,13,51.03,187.654,31
14,14,50.814,188.452,36
15,15,50.696,188.891,35
16,16,51.054,187.566,36
17,17,50.789,188.545,36
18,18,50.737,188.738,35
19,19,50.758,188.660,36
20,20,50.765,188.634,36
21,21,50.97,187.875,36
22,22,50.406,189.977,34
23,23,50.469,189.740,33
24,24,50.271,190.488,30
25,25,50.061,191.287,28
26,26,50.373,190.102,34
27,27,50.289,190.419,34
28,28,49.956,191.689,32
29,29,49.799,192.293,27
30,30,49.385,193.905,23
31,31,49.596,193.080,22
32,32,49.799,192.293,22
33,33,49.746,192.498,23
34,34,49.385,193.905,21
35,35,49.885,191.962,22
36,36,49.882,191.973,27
37,37,49.661,192.827,25
38,38,49.698,192.684,24
39,39,49.948,191.719,24
40,40,49.639,192.913,24
41,41,78.541,121.924,34
42,42,56.372,169.872,33
43,43,77.837,123.026,31
44,44,87.7,109.190,30
45,45,84.394,113.468,30
46,46,138.027,69.378,30
47,47,138.791,68.996,30
48,48,137.409,69.690,30
49,49,131.352,72.903,14
50,50,136.528,70.139,12
51,51,128.113,74.747,13
52,52,74.057,129.306,10
53,53,131.303,72.931,11
54,54,138.883,68.950,11
55,55,141.296,67.773,11
56,56,128.9,74.290,11
57,57,53.134,180.224,10
58,58,49.632,192.940,9
59,59,49.822,192.204,18
60,60,50.538,189.481,28
61,61,94.938,100.866,27
62,62,134.44,71.229,28
63,63,152.534,62.779,35
64,64,132.752,72.135,31
65,65,137.13,69.832,24
66,66,114.315,83.769,20
67,67,53.335,179.544,22
68,68,50.761,188.649,27
69,69,50.722,188.794,27
70,70,51.136,187.265,27
71,71,51.032,187.647,27
72,72,51.256,186.827,28
73,73,50.824,188.415,26
74,74,50.817,188.441,24
75,75,50.897,188.145,24
76,76,50.653,189.051,21
77,77,50.802,188.497,15
78,78,50.771,188.612,18
79,79,50.783,188.567,12
80,80,50.642,189.092,11
81,81,50.959,187.916,13
82,82,51.022,187.684,11
83,83,50.943,187.975,10
84,84,50.969,187.879,12
85,85,51.084,187.456,12
86,86,51.139,187.254,11
87,87,50.917,188.071,16
88,88,50.597,189.260,18
89,89,50.361,190.147,17
90,90,50.203,190.746,13
91,91,50.721,188.798,16
92,92,50.768,188.623,17
93,93,50.568,189.369,15
94,94,50.547,189.447,10
95,95,50.898,188.141,13
96,96,50.888,188.178,14
97,97,51.114,187.346,23
98,98,50.619,189.178,21
99,99,51.267,186.787,26
100,100,50.837,188.367,28
101,101,50.748,188.697,29
102,102,50.316,190.317,29
103,103,50.644,189.085,29
104,104,50.627,189.148,29
105,105,50.214,190.704,30
106,106,50.141,190.981,29
107,107,50.034,191.390,29
108,108,50.499,189.628,28
109,109,50.292,190.408,23
110,110,49.638,192.917,21
111,111,49.689,192.719,12
112,112,77.249,123.963,14
113,113,56.329,170.001,21
114,114,49.037,195.281,17
115,115,49.499,193.458,15
116,116,48.997,195.441,13
117,117,83.758,114.329,27
118,118,57.657,166.086,28
119,119,51.487,185.989,28
120,120,72.298,132.452,28
121,121,60.964,157.076,27
122,122,97.758,97.956,25
123,123,140.974,67.927,6
124,124,123.015,77.844,4
125,125,138.272,69.255,3
126,126,133.376,71.797,2
127,127,54.117,176.950,3
128,128,50.572,189.354,1
129,129,50.413,189.951,2
130,130,50.603,189.238,2
131,131,50.493,189.650,1
132,132,50.276,190.469,1
133,133,50.233,190.632,1
134,134,49.722,192.591,1
135,135,49.822,192.204,1
136,136,49.612,193.018,1
137,137,49.716,192.614,1
138,138,49.764,192.428,1
139,139,49.718,192.606,1
140,140,50.127,191.035,1
141,141,50.079,191.218,1
142,142,49.819,192.216,1
143,143,50.067,191.264,1
144,144,50.161,190.905,1
145,145,50.114,191.084,1
146,146,49.77,192.405,1
147,147,49.817,192.224,1
148,148,50.032,191.398,1
149,149,49.957,191.685,1
150,150,50.14,190.985,1
151,151,49.411,193.803,1
152,152,49.448,193.658,1
153,153,49.56,193.220,1
154,154,49.596,193.080,1
155,155,49.633,192.936,1
156,156,49.671,192.789,1
157,157,49.859,192.062,1
158,158,50.021,191.440,1
159,159,50.221,190.677,1
160,160,49.613,193.014,1
161,161,50.125,191.042,1
162,162,50.156,190.924,2
163,163,50.409,189.966,3
164,164,79.873,119.890,27
165,165,56.559,169.310,27
166,166,50.095,191.157,27
167,167,49.688,192.723,27
168,168,49.824,192.197,27
169,169,49.89,191.942,27
170,170,49.506,193.431,27
171,171,49.626,192.963,27
172,172,49.626,192.963,23
173,173,49.445,193.670,23
174,174,49.134,194.896,22
175,175,49.536,193.314,22
176,176,49.323,194.149,22
177,177,49.663,192.820,22
178,178,49.355,194.023,21
179,179,49.668,192.800,20
180,180,49.273,194.346,21
181,181,49.381,193.921,22
182,182,49.774,192.390,20
183,183,49.423,193.756,22
184,184,49.326,194.137,20
185,185,49.256,194.413,20
186,186,49.225,194.535,21
187,187,48.94,195.668,21
188,188,48.381,197.929,19
