,Lap,LapTime,LapSpeed,RunningPos
0,0,,,34
1,1,31.461,171.641,33
2,2,30.624,176.332,34
3,3,30.292,178.265,34
4,4,30.904,174.735,35
5,5,30.137,179.182,34
6,6,30.605,176.442,34
7,7,30.669,176.074,35
8,8,30.346,177.948,35
9,9,30.036,179.784,35
10,10,30.09,179.462,34
11,11,30.095,179.432,34
12,12,30.005,179.970,34
13,13,30.068,179.593,34
14,14,30.255,178.483,34
15,15,30.371,177.801,34
16,16,29.974,180.156,34
17,17,30.161,179.039,34
18,18,30.072,179.569,34
19,19,30.11,179.342,34
20,20,41.664,129.608,33
21,21,53.667,100.620,33
22,22,80.676,66.934,37
23,23,90.106,59.929,34
24,24,100.64,53.657,32
25,25,63.425,85.140,31
26,26,31.642,170.659,28
27,27,30.405,177.602,30
28,28,30.393,177.672,28
29,29,30.261,178.448,28
30,30,30.039,179.766,28
31,31,30.734,175.701,30
32,32,30.361,177.860,30
33,33,30.062,179.629,30
34,34,30.143,179.146,30
35,35,30.102,179.390,30
36,36,30.138,179.176,30
37,37,30.274,178.371,30
38,38,30.147,179.122,30
39,39,30.114,179.319,30
40,40,30.137,179.182,30
41,41,29.914,180.517,30
42,42,29.929,180.427,30
43,43,30.085,179.491,30
44,44,30.066,179.605,30
45,45,30.348,177.936,31
46,46,30.259,178.459,31
47,47,30.268,178.406,31
48,48,29.81,181.147,31
49,49,30.147,179.122,31
50,50,30.179,178.932,31
51,51,30.185,178.897,30
52,52,30.367,177.825,30
53,53,30.278,178.347,29
54,54,30.028,179.832,28
55,55,29.952,180.288,28
56,56,29.936,180.385,28
57,57,29.935,180.391,28
58,58,29.924,180.457,28
59,59,29.951,180.294,28
60,60,29.888,180.675,28
61,61,29.956,180.264,28
62,62,30.151,179.099,28
63,63,30.355,177.895,27
64,64,29.932,180.409,27
65,65,29.921,180.475,27
66,66,29.933,180.403,27
67,67,30.063,179.623,27
68,68,29.963,180.222,27
69,69,29.938,180.373,27
70,70,29.917,180.499,27
71,71,30.044,179.736,27
72,72,30.122,179.271,27
73,73,30.337,178.000,25
74,74,34.142,158.163,25
75,75,53.261,101.388,25
76,76,62.194,86.825,25
77,77,95.983,56.260,25
78,78,96.643,55.876,25
79,79,96.728,55.827,25
80,80,94.961,56.865,25
81,81,93.777,57.583,25
82,82,95.203,56.721,25
83,83,105.089,51.385,32
84,84,92.175,58.584,31
85,85,89.832,60.112,29
86,86,103.548,52.150,27
87,87,68.376,78.975,26
88,88,32.207,167.665,23
89,89,60.76,88.874,22
90,90,90.595,59.606,23
91,91,95.748,56.398,23
92,92,102.675,52.593,23
93,93,71.688,75.326,24
94,94,30.993,174.233,23
95,95,29.658,182.076,21
96,96,29.806,181.172,22
97,97,29.947,180.319,21
98,98,29.741,181.568,21
99,99,29.88,180.723,21
100,100,29.91,180.542,21
101,101,29.805,181.178,21
102,102,29.733,181.616,21
103,103,30.153,179.087,21
104,104,29.583,182.537,21
105,105,29.721,181.690,21
106,106,29.759,181.458,21
107,107,29.816,181.111,21
108,108,29.728,181.647,21
109,109,29.817,181.105,20
110,110,29.6,182.432,20
111,111,29.697,181.837,20
112,112,29.673,181.984,20
113,113,29.676,181.965,20
114,114,29.642,182.174,20
115,115,29.612,182.359,20
116,116,29.62,182.309,20
117,117,29.602,182.420,20
118,118,29.712,181.745,19
119,119,29.768,181.403,19
120,120,29.598,182.445,19
121,121,29.624,182.285,19
122,122,29.746,181.537,19
123,123,29.669,182.008,19
124,124,29.827,181.044,19
125,125,38.188,141.406,19
126,126,52.257,103.335,18
127,127,85.123,63.438,27
128,128,90.688,59.545,22
129,129,94.451,57.173,22
130,130,97.648,55.301,22
131,131,76.319,70.756,20
132,132,32.756,164.855,31
133,133,30.167,179.004,30
134,134,30.03,179.820,31
135,135,29.694,181.855,27
136,136,29.967,180.198,27
137,137,29.912,180.530,27
138,138,29.84,180.965,28
139,139,29.562,182.667,27
140,140,29.851,180.898,26
141,141,29.716,181.720,25
142,142,29.806,181.172,25
143,143,30.11,179.342,25
144,144,29.777,181.348,25
145,145,29.758,181.464,25
146,146,29.966,180.204,25
147,147,30.026,179.844,25
148,148,29.943,180.343,26
149,149,29.722,181.684,25
150,150,29.87,180.783,25
151,151,29.726,181.659,25
152,152,29.992,180.048,25
153,153,29.647,182.143,25
154,154,29.723,181.677,25
155,155,29.877,180.741,25
156,156,30.011,179.934,25
157,157,29.931,180.415,25
158,158,29.973,180.162,25
159,159,29.718,181.708,25
160,160,29.927,180.439,25
161,161,30.389,177.696,24
162,162,48.504,111.331,24
163,163,60.351,89.477,24
164,164,94.958,56.867,24
165,165,95.784,56.377,24
166,166,94.546,57.115,24
167,167,104.554,51.648,31
168,168,86.056,62.750,26
169,169,96.312,56.068,25
170,170,104.611,51.620,27
171,171,67.465,80.042,25
172,172,39.602,136.357,23
173,173,87.333,61.832,23
174,174,96.007,56.246,23
175,175,96.316,56.065,23
176,176,94.365,57.225,23
177,177,100.692,53.629,23
178,178,72.873,74.102,25
179,179,31.505,171.401,22
180,180,29.997,180.018,24
181,181,30.036,179.784,23
182,182,29.613,182.352,22
183,183,30.025,179.850,23
184,184,29.705,181.788,23
185,185,29.541,182.797,22
186,186,30.099,179.408,22
187,187,30.134,179.200,22
188,188,29.683,181.922,22
189,189,29.824,181.062,22
190,190,29.704,181.794,22
191,191,29.628,182.260,22
192,192,29.571,182.611,22
193,193,29.756,181.476,22
194,194,29.731,181.629,22
195,195,29.806,181.172,22
196,196,29.624,182.285,21
197,197,29.736,181.598,21
198,198,29.786,181.293,21
199,199,29.566,182.642,20
200,200,30.012,179.928,20
201,201,29.689,181.886,19
202,202,29.629,182.254,19
203,203,29.799,181.214,19
204,204,29.752,181.500,19
205,205,29.853,180.886,19
206,206,30.091,179.456,19
207,207,29.779,181.336,18
208,208,29.678,181.953,18
209,209,29.718,181.708,18
210,210,29.835,180.995,18
211,211,29.863,180.826,18
212,212,29.871,180.777,17
213,213,29.945,180.331,17
214,214,29.858,180.856,17
215,215,29.868,180.796,17
216,216,30.167,179.004,17
217,217,29.845,180.935,15
218,218,30.279,178.341,14
219,219,46.366,116.465,13
220,220,63.255,85.369,13
221,221,102.212,52.831,15
222,222,91.384,59.091,14
223,223,95.379,56.616,14
224,224,95.801,56.367,14
225,225,81.6,66.176,14
226,226,31.532,171.255,14
227,227,29.502,183.038,12
228,228,29.424,183.524,12
229,229,33.926,159.170,15
230,230,51.315,105.232,11
231,231,86.636,62.330,11
