,Lap,LapTime,LapSpeed,RunningPos
0,0,,,33
1,1,31.307,172.485,32
2,2,30.432,177.445,30
3,3,30.179,178.932,30
4,4,30.423,177.497,30
5,5,30.335,178.012,30
6,6,30.252,178.501,29
7,7,30.171,178.980,29
8,8,30.063,179.623,29
9,9,30.178,178.938,29
10,10,30.007,179.958,29
11,11,29.869,180.789,29
12,12,30.076,179.545,29
13,13,30.117,179.301,29
14,14,29.933,180.403,28
15,15,29.82,181.087,28
16,16,29.768,181.403,28
17,17,30.073,179.563,28
18,18,30.069,179.587,28
19,19,29.868,180.796,28
20,20,40.416,133.610,27
21,21,52.868,102.141,27
22,22,65.558,82.370,13
23,23,98.837,54.635,22
24,24,101.268,53.324,22
25,25,73.73,73.240,21
26,26,31.916,169.194,22
27,27,30.15,179.104,19
28,28,30.136,179.188,19
29,29,29.899,180.608,18
30,30,29.821,181.080,18
31,31,29.922,180.469,18
32,32,29.889,180.668,17
33,33,29.809,181.153,17
34,34,29.799,181.214,17
35,35,29.848,180.917,17
36,36,29.832,181.014,17
37,37,30.001,179.994,17
38,38,29.962,180.228,17
39,39,29.915,180.511,17
40,40,29.953,180.282,17
41,41,29.772,181.378,17
42,42,29.945,180.331,17
43,43,29.987,180.078,17
44,44,30.17,178.986,17
45,45,29.978,180.132,17
46,46,30.233,178.613,17
47,47,30.097,179.420,17
48,48,30.062,179.629,17
49,49,29.702,181.806,16
50,50,29.705,181.788,16
51,51,29.57,182.618,16
52,52,29.727,181.653,16
53,53,29.694,181.855,16
54,54,30.105,179.372,16
55,55,30.251,178.506,15
56,56,30.106,179.366,15
57,57,29.89,180.662,15
58,58,30.007,179.958,15
59,59,29.907,180.560,14
60,60,29.7,181.818,14
61,61,30.07,179.581,14
62,62,29.702,181.806,14
63,63,29.738,181.586,14
64,64,29.77,181.391,14
65,65,29.75,181.513,14
66,66,29.741,181.568,14
67,67,29.657,182.082,14
68,68,29.674,181.977,14
69,69,29.826,181.050,14
70,70,29.849,180.911,14
71,71,29.74,181.574,14
72,72,29.851,180.898,14
73,73,29.965,180.210,14
74,74,29.882,180.711,14
75,75,46.377,116.437,14
76,76,75.66,71.372,14
77,77,97.879,55.170,14
78,78,95.52,56.533,14
79,79,95.736,56.405,14
80,80,95.436,56.582,14
81,81,94.955,56.869,14
82,82,96.209,56.128,14
83,83,90.635,59.580,10
84,84,98.823,54.643,14
85,85,93.768,57.589,12
86,86,98.605,54.764,12
87,87,82.293,65.619,12
88,88,31.225,172.938,11
89,89,55.837,96.710,11
90,90,90.586,59.612,11
91,91,93.996,57.449,11
92,92,99.322,54.369,11
93,93,82.817,65.204,12
94,94,30.745,175.638,11
95,95,30.031,179.814,13
96,96,29.711,181.751,13
97,97,29.423,183.530,13
98,98,29.682,181.928,13
99,99,29.383,183.780,12
100,100,29.571,182.611,12
101,101,29.338,184.062,12
102,102,29.789,181.275,12
103,103,29.406,183.636,12
104,104,29.605,182.402,12
105,105,29.611,182.365,12
106,106,29.928,180.433,13
107,107,29.615,182.340,13
108,108,29.669,182.008,13
109,109,29.521,182.921,13
110,110,29.524,182.902,13
111,111,29.536,182.828,13
112,112,29.869,180.789,13
113,113,29.631,182.242,13
114,114,29.734,181.610,13
115,115,29.921,180.475,14
116,116,29.944,180.337,14
117,117,30.03,179.820,14
118,118,30.028,179.832,14
119,119,29.685,181.910,14
120,120,29.597,182.451,14
121,121,29.753,181.494,14
122,122,29.687,181.898,14
123,123,29.776,181.354,14
124,124,29.823,181.068,14
125,125,37.676,143.327,14
126,126,49.638,108.788,13
127,127,75.463,71.558,8
128,128,93.486,57.763,4
129,129,94.994,56.846,4
130,130,95.583,56.495,4
131,131,89.365,60.426,3
132,132,31.225,172.938,2
133,133,29.081,185.688,2
134,134,29.325,184.143,3
135,135,29.124,185.414,3
136,136,29.152,185.236,3
137,137,29.38,183.799,4
138,138,29.228,184.754,4
139,139,29.31,184.237,4
140,140,29.369,183.867,4
141,141,29.278,184.439,4
142,142,29.336,184.074,4
143,143,29.366,183.886,4
144,144,29.482,183.163,4
145,145,29.456,183.324,4
146,146,29.48,183.175,4
147,147,29.444,183.399,4
148,148,29.592,182.482,4
149,149,29.719,181.702,4
150,150,29.901,180.596,4
151,151,29.733,181.616,4
152,152,29.727,181.653,4
153,153,29.672,181.990,4
154,154,29.73,181.635,4
155,155,29.712,181.745,4
156,156,29.808,181.159,5
157,157,29.927,180.439,4
158,158,30.029,179.826,5
159,159,29.74,181.574,5
160,160,29.591,182.488,5
161,161,29.833,181.008,4
162,162,33.675,160.356,4
163,163,73.021,73.951,4
164,164,95.52,56.533,4
165,165,96.006,56.246,4
166,166,94.776,56.976,4
167,167,95.178,56.736,2
168,168,101.278,53.319,13
169,169,95.182,56.733,12
170,170,99.032,54.528,12
171,171,81.021,66.649,12
172,172,35.202,153.400,10
173,173,83.653,64.552,10
174,174,96.607,55.897,10
175,175,95.113,56.775,10
176,176,95.824,56.353,10
177,177,97.151,55.584,10
178,178,83.915,64.351,10
179,179,31.015,174.109,8
180,180,29.707,181.775,9
181,181,29.351,183.980,8
182,182,29.179,185.065,8
183,183,29.603,182.414,8
184,184,29.423,183.530,8
185,185,29.388,183.748,8
186,186,29.544,182.778,8
187,187,29.28,184.426,8
188,188,29.263,184.533,8
189,189,29.575,182.587,8
190,190,29.545,182.772,8
191,191,29.69,181.879,8
192,192,29.715,181.726,8
193,193,29.458,183.312,7
194,194,29.519,182.933,6
195,195,29.465,183.268,6
196,196,29.324,184.150,6
197,197,29.467,183.256,6
198,198,29.369,183.867,6
199,199,29.528,182.877,6
200,200,29.367,183.880,6
201,201,29.349,183.993,6
202,202,29.322,184.162,6
203,203,29.436,183.449,6
204,204,29.366,183.886,6
205,205,29.532,182.852,6
206,206,29.531,182.859,6
207,207,29.36,183.924,6
208,208,29.645,182.156,6
209,209,29.756,181.476,6
210,210,29.37,183.861,6
211,211,29.394,183.711,6
