,Lap,LapTime,LapSpeed,RunningPos
0,0,,,2
1,1,32.577,165.761,2
2,2,30.483,177.148,3
3,3,30.968,174.374,3
4,4,30.733,175.707,3
5,5,30.99,174.250,3
6,6,30.976,174.329,3
7,7,42.123,128.196,3
8,8,92.134,58.610,3
9,9,102.892,52.482,3
10,10,95.696,56.429,4
11,11,33.05,163.389,3
12,12,30.834,175.131,3
13,13,31.191,173.127,3
14,14,31.226,172.933,3
15,15,31.04,173.969,3
16,16,30.963,174.402,3
17,17,31.097,173.650,3
18,18,31.207,173.038,3
19,19,31.339,172.309,3
20,20,31.279,172.640,3
21,21,31.341,172.298,3
22,22,31.533,171.249,3
23,23,31.563,171.086,3
24,24,31.674,170.487,3
25,25,31.843,169.582,3
26,26,32.106,168.193,4
27,27,32.408,166.626,5
28,28,32.602,165.634,5
29,29,32.2,167.702,5
30,30,32.339,166.981,6
31,31,32.658,165.350,8
32,32,32.438,166.471,8
33,33,32.226,167.567,8
34,34,32.438,166.471,9
35,35,32.732,164.976,8
36,36,44.697,120.813,16
37,37,58.358,92.532,23
38,38,30.943,174.514,22
39,39,31.131,173.461,21
40,40,30.877,174.887,20
41,41,30.899,174.763,17
42,42,31.022,174.070,16
43,43,31.078,173.756,14
44,44,31.099,173.639,13
45,45,31.229,172.916,10
46,46,31.239,172.861,9
47,47,31.225,172.938,9
48,48,31.265,172.717,9
49,49,31.397,171.991,9
50,50,31.455,171.674,9
51,51,31.474,171.570,9
52,52,31.355,172.221,9
53,53,31.703,170.331,8
54,54,31.554,171.135,8
55,55,32.082,168.319,8
56,56,31.784,169.897,8
57,57,31.719,170.245,8
58,58,31.801,169.806,8
59,59,31.849,169.550,8
60,60,31.913,169.210,8
61,61,31.846,169.566,8
62,62,31.873,169.422,8
63,63,31.96,168.961,8
64,64,32.147,167.978,8
65,65,32.286,167.255,8
66,66,32.296,167.203,7
67,67,32.768,164.795,7
68,68,32.433,166.497,7
69,69,32.429,166.518,7
70,70,32.509,166.108,7
71,71,32.823,164.519,7
72,72,33.066,163.310,7
73,73,32.682,165.229,7
74,74,32.795,164.659,7
75,75,32.925,164.009,8
76,76,32.915,164.059,8
77,77,33.06,163.339,9
78,78,33.08,163.241,9
79,79,33.306,162.133,10
80,80,33.479,161.295,11
81,81,51.856,104.135,11
82,82,84.43,63.958,11
83,83,102.29,52.791,11
84,84,91.111,59.268,6
85,85,110.262,48.974,17
86,86,97.164,55.576,17
87,87,107.005,50.465,17
88,88,84.159,64.164,18
89,89,32.946,163.905,13
90,90,30.823,175.194,13
91,91,31.097,173.650,13
92,92,31.221,172.961,13
93,93,30.906,174.723,13
94,94,31.208,173.033,13
95,95,31.781,169.913,12
96,96,31.609,170.837,11
97,97,31.488,171.494,11
98,98,31.383,172.068,11
99,99,31.353,172.232,11
100,100,31.409,171.925,11
101,101,31.509,171.380,11
102,102,31.49,171.483,11
103,103,31.986,168.824,11
104,104,31.799,169.817,11
105,105,31.656,170.584,11
106,106,31.779,169.924,11
107,107,31.816,169.726,11
108,108,31.794,169.843,11
109,109,31.822,169.694,11
110,110,31.84,169.598,11
