,Lap,LapTime,LapSpeed,RunningPos
0,0,,,8
1,1,33.006,163.607,7
2,2,31.098,173.645,8
3,3,31.145,173.383,7
4,4,31.363,172.177,8
5,5,31.43,171.810,9
6,6,31.911,169.221,10
7,7,46.263,116.724,10
8,8,89.931,60.046,12
9,9,104.17,51.838,9
10,10,89.374,60.420,9
11,11,33.899,159.297,10
12,12,32.047,168.503,14
13,13,31.942,169.056,16
14,14,32.134,168.046,18
15,15,31.751,170.073,18
16,16,32.062,168.424,21
17,17,32.058,168.445,21
18,18,32.284,167.266,23
19,19,32.317,167.095,25
20,20,32.253,167.426,26
21,21,32.238,167.504,26
22,22,32.438,166.471,26
23,23,32.505,166.128,28
24,24,32.645,165.416,29
25,25,32.453,166.394,29
26,26,32.365,166.847,29
27,27,32.609,165.598,30
28,28,32.721,165.032,32
29,29,32.667,165.304,31
30,30,32.286,167.255,31
31,31,32.377,166.785,31
32,32,32.257,167.406,31
33,33,32.375,166.795,31
34,34,32.444,166.441,28
35,35,57.339,94.177,33
36,36,44.988,120.032,34
37,37,30.936,174.554,33
38,38,31.08,173.745,33
39,39,30.971,174.357,33
40,40,30.951,174.469,31
41,41,31.215,172.994,29
42,42,31.518,171.331,29
43,43,31.7,170.347,28
44,44,31.615,170.805,28
45,45,31.995,168.776,29
46,46,31.742,170.122,26
47,47,31.736,170.154,25
48,48,31.486,171.505,25
49,49,31.681,170.449,26
50,50,31.658,170.573,26
51,51,31.488,171.494,26
52,52,31.57,171.048,26
53,53,31.536,171.233,26
54,54,31.558,171.114,26
55,55,31.73,170.186,26
56,56,31.723,170.223,26
57,57,31.781,169.913,26
58,58,31.836,169.619,26
59,59,31.834,169.630,26
60,60,31.875,169.412,26
61,61,31.832,169.641,26
62,62,32.059,168.439,26
63,63,32.553,165.883,26
64,64,32.491,166.200,25
65,65,32.34,166.976,24
66,66,32.402,166.656,24
67,67,32.452,166.400,23
68,68,32.546,165.919,23
69,69,32.652,165.380,24
70,70,32.587,165.710,23
71,71,32.473,166.292,23
72,72,32.411,166.610,23
73,73,32.355,166.898,23
74,74,32.462,166.348,23
75,75,32.467,166.323,23
76,76,32.721,165.032,23
77,77,32.712,165.077,23
78,78,32.936,163.954,22
79,79,33.146,162.916,23
80,80,49.527,109.031,23
81,81,91.031,59.320,23
82,82,101.87,53.009,23
83,83,100.369,53.801,23
84,84,115.057,46.933,30
85,85,102.407,52.731,23
86,86,107.676,50.150,23
87,87,79.157,68.219,24
88,88,33.04,163.438,23
89,89,31.44,171.756,24
90,90,31.331,172.353,24
91,91,31.186,173.155,24
92,92,31.482,171.527,24
93,93,31.608,170.843,24
94,94,31.542,171.200,24
95,95,31.659,170.568,24
96,96,31.702,170.336,25
97,97,31.747,170.095,25
98,98,31.804,169.790,25
99,99,31.871,169.433,25
100,100,32.065,168.408,25
101,101,32.059,168.439,25
102,102,32.128,168.078,25
103,103,32.081,168.324,25
104,104,31.953,168.998,25
105,105,31.927,169.136,25
106,106,31.86,169.492,25
107,107,32.081,168.324,25
108,108,32.117,168.135,25
109,109,31.957,168.977,25
110,110,32.187,167.770,25
111,111,32.182,167.796,25
112,112,32.279,167.291,26
113,113,32.203,167.686,26
114,114,32.408,166.626,26
115,115,32.346,166.945,26
116,116,32.341,166.971,26
117,117,32.302,167.172,26
118,118,32.231,167.541,26
119,119,32.39,166.718,26
120,120,32.48,166.256,26
121,121,32.481,166.251,25
122,122,32.673,165.274,24
123,123,32.478,166.266,23
124,124,32.528,166.011,21
125,125,32.512,166.093,20
126,126,32.685,165.213,17
127,127,32.741,164.931,16
128,128,32.873,164.269,17
129,129,32.909,164.089,17
130,130,56.972,94.783,27
131,131,44.776,120.600,32
132,132,30.902,174.746,32
133,133,31.046,173.935,32
134,134,31.184,173.166,31
135,135,31.141,173.405,30
136,136,31.32,172.414,27
137,137,31.307,172.485,27
138,138,31.348,172.260,27
139,139,31.414,171.898,27
140,140,31.527,171.282,27
141,141,31.416,171.887,27
142,142,31.644,170.648,26
143,143,31.812,169.747,26
144,144,31.808,169.769,26
145,145,31.99,168.803,26
146,146,32.006,168.718,26
147,147,31.948,169.025,26
148,148,31.741,170.127,26
149,149,31.891,169.327,26
150,150,31.882,169.375,26
151,151,31.936,169.088,26
152,152,32.137,168.031,26
153,153,32.15,167.963,26
154,154,32.208,167.660,26
155,155,32.144,167.994,26
156,156,31.92,169.173,26
157,157,32.405,166.641,26
158,158,32.314,167.110,26
159,159,32.462,166.348,26
160,160,32.293,167.219,26
161,161,32.228,167.556,26
162,162,32.169,167.863,26
163,163,32.289,167.240,26
164,164,33.838,159.584,26
165,165,48.194,112.047,26
166,166,83.387,64.758,26
167,167,101.324,53.294,26
168,168,90.024,59.984,26
169,169,144.837,37.283,27
170,170,73.85,73.121,27
171,171,117.019,46.146,27
172,172,76.329,70.746,27
173,173,32.836,164.454,24
174,174,31.362,172.183,24
175,175,31.03,174.025,23
176,176,31.236,172.877,23
177,177,31.569,171.054,23
178,178,31.615,170.805,23
179,179,31.504,171.407,22
180,180,31.388,172.040,21
181,181,31.719,170.245,21
182,182,31.83,169.651,21
183,183,31.813,169.742,21
184,184,31.674,170.487,21
185,185,31.75,170.079,20
186,186,32.032,168.581,21
187,187,32.091,168.271,20
188,188,32.232,167.535,21
189,189,31.827,169.667,21
190,190,31.928,169.131,21
191,191,32.108,168.182,21
192,192,31.996,168.771,21
193,193,32.432,166.502,21
194,194,47.387,113.955,21
195,195,72.427,74.558,20
196,196,100.145,53.922,20
197,197,102.04,52.920,19
198,198,65.34,82.645,19
199,199,59.284,91.087,19
200,200,79.731,67.728,19
201,201,57.085,94.596,24
