,Lap,LapTime,LapSpeed,RunningPos
0,0,,,32
1,1,33.34,161.968,27
2,2,31.957,168.977,27
3,3,31.686,170.422,27
4,4,31.593,170.924,26
5,5,31.686,170.422,25
6,6,32.009,168.703,24
7,7,52.295,103.260,24
8,8,85.883,62.876,25
9,9,106.589,50.662,17
10,10,81.677,66.114,18
11,11,33.855,159.504,18
12,12,32.105,168.198,18
13,13,32.405,166.641,24
14,14,32.031,168.587,25
15,15,31.852,169.534,26
16,16,31.85,169.545,26
17,17,32.206,167.671,28
18,18,32.143,167.999,27
19,19,31.992,168.792,27
20,20,32.192,167.744,27
21,21,32.639,165.446,29
22,22,32.639,165.446,30
23,23,32.342,166.966,30
24,24,32.436,166.482,32
25,25,32.778,164.745,33
26,26,32.954,163.865,34
27,27,32.544,165.929,35
28,28,32.768,164.795,35
29,29,32.578,165.756,35
30,30,32.853,164.369,36
31,31,32.577,165.761,36
32,32,32.36,166.873,36
33,33,32.415,166.590,36
34,34,32.521,166.047,33
35,35,45.068,119.819,32
36,36,62.603,86.258,37
37,37,31.218,172.977,37
38,38,31.224,172.944,37
39,39,31.313,172.452,37
40,40,43.448,124.287,37
41,41,46.571,115.952,37
42,42,31.361,172.188,37
43,43,31.492,171.472,37
44,44,31.848,169.555,37
45,45,31.796,169.833,37
46,46,31.532,171.255,37
47,47,31.53,171.265,37
48,48,31.448,171.712,37
49,49,31.611,170.827,37
50,50,31.539,171.217,37
51,51,31.771,169.966,37
52,52,31.887,169.348,37
53,53,31.694,170.379,37
54,54,31.677,170.471,36
55,55,31.491,171.478,36
56,56,31.545,171.184,36
57,57,31.894,169.311,36
58,58,32.386,166.739,36
59,59,32.325,167.053,36
60,60,31.944,169.046,36
61,61,32.104,168.203,36
62,62,32.335,167.002,36
63,63,32.121,168.114,36
64,64,32.733,164.971,36
65,65,32.358,166.883,36
66,66,32.249,167.447,35
67,67,32.448,166.420,35
68,68,32.164,167.890,35
69,69,32.91,164.084,35
70,70,32.547,165.914,35
71,71,32.765,164.810,35
72,72,33.218,162.562,35
73,73,32.867,164.299,35
74,74,32.801,164.629,35
75,75,32.674,165.269,35
76,76,32.736,164.956,35
77,77,32.921,164.029,35
78,78,32.872,164.274,35
79,79,51.899,104.048,35
80,80,87.614,61.634,35
81,81,103.034,52.410,35
82,82,97.073,55.628,35
83,83,100.482,53.741,34
84,84,116.694,46.275,34
85,85,110.96,48.666,34
86,86,73.292,73.678,34
87,87,33.727,160.109,36
