,Lap,LapTime,LapSpeed,RunningPos
0,0,,,24
1,1,33.392,161.715,22
2,2,31.555,171.130,21
3,3,31.531,171.260,21
4,4,32.1,168.224,22
5,5,31.749,170.084,23
6,6,32.037,168.555,22
7,7,51.574,104.704,22
8,8,94.417,57.193,30
9,9,107.309,50.322,25
10,10,74.003,72.970,24
11,11,33.979,158.922,28
12,12,32.259,167.395,29
13,13,32.04,168.539,28
14,14,31.632,170.713,26
15,15,31.697,170.363,25
16,16,31.767,169.988,25
17,17,31.905,169.252,25
18,18,31.982,168.845,24
19,19,31.828,169.662,23
20,20,31.983,168.840,23
21,21,32.18,167.806,24
22,22,31.996,168.771,25
23,23,32.068,168.392,24
24,24,31.963,168.945,24
25,25,32.087,168.292,23
26,26,32.089,168.282,23
27,27,31.995,168.776,22
28,28,32.009,168.703,22
29,29,31.957,168.977,22
30,30,32.096,168.245,22
31,31,31.953,168.998,22
32,32,32.287,167.250,21
33,33,31.895,169.306,21
34,34,31.821,169.699,21
35,35,31.996,168.771,18
36,36,32.225,167.572,10
37,37,56.82,95.037,19
38,38,45.732,118.079,31
39,39,31.416,171.887,30
40,40,31.48,171.537,28
41,41,31.311,172.463,26
42,42,31.697,170.363,26
43,43,31.51,171.374,24
44,44,31.361,172.188,23
45,45,31.243,172.839,22
46,46,31.291,172.574,20
47,47,31.376,172.106,19
48,48,31.42,171.865,19
49,49,31.595,170.913,19
50,50,31.707,170.309,20
51,51,31.78,169.918,20
52,52,31.754,170.057,20
53,53,31.77,169.972,20
54,54,31.873,169.422,20
55,55,31.773,169.956,20
56,56,31.731,170.181,20
57,57,31.788,169.875,20
58,58,31.755,170.052,20
59,59,32.194,167.733,22
60,60,32.044,168.518,22
61,61,32.165,167.884,21
62,62,32.293,167.219,21
63,63,32.254,167.421,19
64,64,32.196,167.723,19
65,65,32.566,165.817,19
66,66,32.179,167.811,18
67,67,32.301,167.177,17
68,68,32.065,168.408,16
69,69,32.15,167.963,16
70,70,32.135,168.041,16
71,71,32.36,166.873,16
72,72,32.252,167.431,16
73,73,32.273,167.323,16
74,74,32.206,167.671,16
75,75,32.265,167.364,16
76,76,32.406,166.636,16
77,77,32.441,166.456,16
78,78,32.48,166.256,16
79,79,32.543,165.934,16
80,80,33.072,163.280,16
81,81,50.66,106.593,16
82,82,81.874,65.955,16
83,83,101.992,52.945,16
84,84,103.164,52.344,18
85,85,93.717,57.620,15
86,86,97.949,55.131,15
87,87,105.928,50.978,15
88,88,86.024,62.773,15
89,89,33.685,160.309,20
90,90,31.46,171.647,20
91,91,31.316,172.436,21
92,92,31.548,171.168,21
93,93,31.565,171.076,21
94,94,31.685,170.428,21
95,95,31.643,170.654,21
96,96,31.662,170.551,20
97,97,31.55,171.157,19
98,98,31.821,169.699,19
99,99,31.722,170.229,19
100,100,31.808,169.769,19
101,101,32.077,168.345,19
102,102,32.039,168.545,19
103,103,32.124,168.099,19
104,104,32.256,167.411,19
105,105,32.07,168.382,19
106,106,32.28,167.286,20
107,107,32.184,167.785,20
108,108,32.001,168.745,20
109,109,32.109,168.177,20
110,110,32.143,167.999,20
111,111,32.054,168.466,20
112,112,32.225,167.572,20
113,113,32.092,168.266,20
114,114,32.239,167.499,20
115,115,32.188,167.764,20
116,116,32.312,167.121,20
117,117,32.128,168.078,20
118,118,32.325,167.053,20
119,119,32.627,165.507,19
120,120,32.272,167.328,18
121,121,60.827,88.776,23
122,122,45.967,117.476,29
123,123,31.232,172.900,27
124,124,31.351,172.243,26
