,Lap,LapTime,LapSpeed,RunningPos
0,0,,,18
1,1,33.17,162.798,30
2,2,32.011,168.692,28
3,3,32.087,168.292,31
4,4,31.804,169.790,31
5,5,31.744,170.111,30
6,6,31.884,169.364,29
7,7,54.752,98.627,29
8,8,79.724,67.734,19
9,9,130.207,41.472,36
10,10,62.178,86.847,33
11,11,33.764,159.934,33
12,12,31.809,169.763,28
13,13,31.832,169.641,25
14,14,31.468,171.603,23
15,15,31.868,169.449,23
16,16,32.015,168.671,24
17,17,31.706,170.315,23
18,18,31.435,171.783,21
19,19,31.471,171.587,20
20,20,31.984,168.834,20
21,21,31.523,171.303,18
22,22,31.744,170.111,18
23,23,31.77,169.972,18
24,24,31.733,170.170,18
25,25,31.765,169.998,17
26,26,31.775,169.945,17
27,27,31.843,169.582,16
28,28,31.573,171.032,16
29,29,31.656,170.584,16
30,30,31.709,170.299,15
31,31,31.881,169.380,14
32,32,32.229,167.551,13
33,33,32.26,167.390,13
34,34,32.169,167.863,13
35,35,32.306,167.152,12
36,36,32.236,167.515,9
37,37,32.151,167.957,8
38,38,32.048,168.497,6
39,39,31.979,168.861,5
40,40,31.902,169.268,4
41,41,31.959,168.966,2
42,42,44.427,121.548,8
43,43,60.334,89.502,27
44,44,31.327,172.375,25
45,45,31.365,172.166,24
46,46,30.972,174.351,21
47,47,30.991,174.244,20
48,48,31.298,172.535,20
49,49,31.148,173.366,20
50,50,31.201,173.071,19
51,51,31.104,173.611,18
52,52,31.242,172.844,18
53,53,31.562,171.092,18
54,54,31.39,172.029,18
55,55,31.435,171.783,18
56,56,31.856,169.513,17
57,57,31.443,171.739,17
58,58,31.569,171.054,17
59,59,31.986,168.824,16
60,60,31.727,170.202,14
61,61,31.785,169.891,13
62,62,32.079,168.334,12
63,63,32.063,168.418,12
64,64,31.844,169.577,12
65,65,31.885,169.359,12
66,66,31.793,169.849,12
67,67,31.837,169.614,11
68,68,31.942,169.056,11
69,69,32.085,168.303,11
70,70,32.156,167.931,11
71,71,31.961,168.956,11
72,72,32.125,168.093,11
73,73,32.402,166.656,12
74,74,32.512,166.093,11
75,75,32.334,167.007,11
76,76,32.159,167.916,11
77,77,32.366,166.842,11
78,78,32.284,167.266,11
79,79,32.69,165.188,11
80,80,33.01,163.587,10
81,81,51.11,105.654,10
82,82,84.544,63.872,10
83,83,102.164,52.856,10
84,84,91.6,58.952,5
85,85,105.432,51.218,10
86,86,98.359,54.901,10
87,87,104.464,51.692,10
88,88,90.139,59.907,9
89,89,33.266,162.328,11
90,90,30.778,175.450,11
91,91,30.955,174.447,11
92,92,30.995,174.222,11
93,93,31.081,173.740,11
94,94,31.309,172.474,9
95,95,31.492,171.472,9
96,96,31.35,172.249,9
97,97,31.383,172.068,9
98,98,31.284,172.612,9
99,99,31.524,171.298,9
100,100,31.407,171.936,9
101,101,31.537,171.227,9
102,102,31.672,170.498,9
103,103,31.591,170.935,9
104,104,31.773,169.956,9
105,105,31.789,169.870,9
106,106,31.748,170.089,9
107,107,31.762,170.014,9
108,108,31.688,170.412,9
109,109,31.731,170.181,9
110,110,31.857,169.507,9
111,111,31.999,168.755,8
112,112,31.88,169.385,8
