,Lap,LapTime,LapSpeed,RunningPos
0,0,,,14
1,1,19.451,115.675,12
2,2,19.202,117.175,13
3,3,19.183,117.291,13
4,4,18.979,118.552,13
5,5,19.094,117.838,11
6,6,19.032,118.222,12
7,7,19.101,117.795,12
8,8,18.966,118.633,11
9,9,18.794,119.719,11
10,10,18.847,119.382,10
11,11,18.721,120.186,10
12,12,18.815,119.585,10
13,13,18.825,119.522,10
14,14,18.805,119.649,10
15,15,18.804,119.655,10
16,16,18.957,118.690,10
17,17,18.88,119.174,10
18,18,18.875,119.205,10
19,19,18.926,118.884,10
20,20,19.014,118.334,10
21,21,19.104,117.776,10
22,22,18.97,118.608,10
23,23,19.036,118.197,10
24,24,19.126,117.641,10
25,25,19.1,117.801,10
26,26,19.066,118.011,10
27,27,18.934,118.834,10
28,28,18.975,118.577,10
29,29,19.019,118.303,10
30,30,19.213,117.108,10
31,31,19.165,117.402,10
32,32,19.161,117.426,10
33,33,19.175,117.340,10
34,34,19.26,116.822,10
35,35,19.3,116.580,10
36,36,19.14,117.555,10
37,37,19.204,117.163,10
38,38,19.156,117.457,10
39,39,19.245,116.913,10
40,40,19.203,117.169,10
41,41,19.211,117.120,9
42,42,19.328,116.411,9
43,43,19.192,117.236,9
44,44,19.248,116.895,9
45,45,19.281,116.695,9
46,46,19.302,116.568,9
47,47,19.329,116.405,9
48,48,19.446,115.705,8
49,49,19.546,115.113,8
50,50,19.585,114.884,8
51,51,22.455,100.200,8
52,52,26.681,84.330,8
53,53,51.416,43.761,8
54,54,55.884,40.262,7
55,55,50.278,44.751,4
56,56,54.752,41.094,4
57,57,53.986,41.677,4
58,58,44.781,50.245,3
59,59,19.366,116.183,4
60,60,18.977,118.565,4
61,61,19.063,118.030,4
62,62,19.049,118.116,4
63,63,18.956,118.696,4
64,64,18.993,118.465,4
65,65,19.087,117.881,3
66,66,19.141,117.549,4
67,67,18.976,118.571,4
68,68,19.12,117.678,4
69,69,19.048,118.123,4
70,70,19.103,117.783,4
71,71,19.037,118.191,4
72,72,19.01,118.359,4
73,73,19.115,117.709,4
74,74,19.136,117.579,4
75,75,19.16,117.432,4
76,76,19.227,117.023,4
77,77,19.222,117.053,4
78,78,26.124,86.128,4
79,79,43.34,51.915,4
80,80,54.395,41.364,4
81,81,60.188,37.383,4
82,82,52.205,43.099,3
83,83,47.39,47.478,3
84,84,19.311,116.514,2
85,85,19.002,118.409,2
86,86,19.12,117.678,2
87,87,19.17,117.371,2
88,88,19.107,117.758,2
89,89,19.25,116.883,2
90,90,19.272,116.750,3
91,91,19.238,116.956,3
92,92,19.97,112.669,7
93,93,19.227,117.023,8
94,94,19.148,117.506,7
95,95,19.196,117.212,8
96,96,19.101,117.795,8
97,97,19.099,117.807,7
98,98,19.327,116.417,7
99,99,19.406,115.944,8
100,100,19.544,115.125,8
