,Lap,LapTime,LapSpeed,RunningPos
0,0,,,12
1,1,19.474,115.539,11
2,2,19.194,117.224,11
3,3,19.14,117.555,11
4,4,18.978,118.558,11
5,5,19.305,116.550,12
6,6,19.006,118.384,11
7,7,19.009,118.365,11
8,8,19.163,117.414,12
9,9,18.922,118.909,12
10,10,18.924,118.897,12
11,11,18.992,118.471,12
12,12,19.082,117.912,12
13,13,19.226,117.029,13
14,14,19.241,116.938,14
15,15,18.961,118.665,14
16,16,18.924,118.897,14
17,17,18.967,118.627,14
18,18,18.928,118.872,14
19,19,19.013,118.340,14
20,20,18.993,118.465,14
21,21,19.014,118.334,14
22,22,19.049,118.116,14
23,23,19.042,118.160,14
24,24,19.013,118.340,14
25,25,19.232,116.993,14
26,26,19.571,114.966,15
27,27,19.276,116.725,15
28,28,19.317,116.478,15
29,29,19.156,117.457,15
30,30,19.322,116.448,15
31,31,19.181,117.304,15
32,32,19.303,116.562,15
33,33,19.212,117.114,15
34,34,19.422,115.848,15
35,35,19.255,116.853,15
36,36,19.297,116.598,15
37,37,19.395,116.009,14
38,38,19.299,116.586,14
39,39,19.364,116.195,14
40,40,19.261,116.816,14
41,41,19.217,117.084,14
42,42,19.257,116.841,14
43,43,19.362,116.207,14
44,44,19.247,116.901,14
45,45,19.391,116.033,14
46,46,19.291,116.635,14
47,47,19.247,116.901,14
48,48,19.29,116.641,14
49,49,19.306,116.544,13
50,50,19.238,116.956,13
51,51,25.55,88.063,13
52,52,28.689,78.427,13
53,53,47.89,46.983,13
54,54,58.758,38.293,14
55,55,48.851,46.058,12
56,56,55.725,40.377,12
57,57,54.535,41.258,12
58,58,37.185,60.508,13
59,59,19.345,116.309,11
60,60,19.094,117.838,10
61,61,18.996,118.446,10
62,62,19.079,117.931,10
63,63,19.13,117.616,10
64,64,19.398,115.991,10
65,65,19.202,117.175,11
66,66,19.411,115.914,12
67,67,19.305,116.550,12
68,68,19.196,117.212,11
69,69,19.202,117.175,11
70,70,19.095,117.832,11
71,71,19.086,117.887,11
72,72,19.101,117.795,11
73,73,19.071,117.980,10
74,74,19.115,117.709,9
75,75,19.191,117.242,9
76,76,19.038,118.185,9
77,77,18.948,118.746,9
78,78,28.148,79.935,9
79,79,42.917,52.427,9
80,80,62.715,35.877,15
81,81,54.971,40.931,11
82,82,47.705,47.165,11
83,83,45.876,49.045,10
84,84,19.369,116.165,9
85,85,18.729,120.135,6
86,86,19.221,117.059,6
87,87,19.067,118.005,5
88,88,19.237,116.962,4
89,89,18.928,118.872,4
90,90,19.161,117.426,4
91,91,19.179,117.316,4
92,92,19.004,118.396,3
93,93,18.901,119.041,3
94,94,19.069,117.993,3
95,95,18.954,118.708,3
96,96,19.054,118.085,3
97,97,19.135,117.586,3
98,98,19.028,118.247,3
99,99,18.977,118.565,3
100,100,19.357,116.237,4
