,Lap,LapTime,LapSpeed,RunningPos
0,0,,,8
1,1,19.461,115.616,6
2,2,19.105,117.770,6
3,3,18.99,118.483,6
4,4,18.943,118.777,6
5,5,18.978,118.558,5
6,6,18.781,119.802,5
7,7,18.869,119.243,6
8,8,18.86,119.300,6
9,9,18.713,120.237,6
10,10,18.796,119.706,6
11,11,18.81,119.617,6
12,12,18.802,119.668,6
13,13,18.763,119.917,6
14,14,18.883,119.155,6
15,15,18.843,119.408,6
16,16,18.872,119.224,6
17,17,18.98,118.546,6
18,18,18.91,118.985,6
19,19,18.896,119.073,6
20,20,18.993,118.465,6
21,21,19.019,118.303,6
22,22,19.017,118.315,6
23,23,19.013,118.340,6
24,24,18.996,118.446,6
25,25,19.081,117.918,6
26,26,19.045,118.141,6
27,27,19.047,118.129,6
28,28,19.171,117.365,6
29,29,19.084,117.900,6
30,30,19.249,116.889,7
31,31,19.126,117.641,6
32,32,19.458,115.634,7
33,33,19.128,117.629,7
34,34,19.135,117.586,7
35,35,19.38,116.099,7
36,36,19.378,116.111,7
37,37,19.297,116.598,7
38,38,19.235,116.974,8
39,39,19.209,117.133,8
40,40,19.494,115.420,8
41,41,19.346,116.303,8
42,42,19.323,116.442,8
43,43,19.311,116.514,8
44,44,19.255,116.853,8
45,45,19.342,116.327,8
46,46,19.406,115.944,8
47,47,19.371,116.153,8
48,48,19.545,115.119,8
49,49,19.742,113.970,9
50,50,19.753,113.907,9
51,51,22.514,99.938,9
52,52,27.463,81.928,9
53,53,50.844,44.253,9
54,54,61.498,36.587,11
55,55,48.639,46.259,9
56,56,55.168,40.785,9
57,57,54.593,41.214,9
58,58,39.559,56.877,9
59,59,19.644,114.539,10
60,60,19.167,117.389,11
61,61,19.16,117.432,11
62,62,19.109,117.746,11
63,63,19.165,117.402,11
64,64,19.373,116.141,12
65,65,19.178,117.322,12
66,66,19.205,117.157,11
67,67,19.04,118.172,10
68,68,19.039,118.178,10
69,69,19.09,117.863,10
70,70,19.186,117.273,10
71,71,19.263,116.804,10
72,72,19.251,116.877,10
73,73,19.275,116.732,11
74,74,19.361,116.213,11
75,75,19.342,116.327,11
76,76,19.15,117.493,10
77,77,19.153,117.475,10
78,78,27.894,80.663,10
79,79,42.951,52.385,10
80,80,57.435,39.175,12
81,81,56.223,40.019,8
82,82,50.358,44.680,8
83,83,46.381,48.511,6
84,84,19.271,116.756,5
85,85,19.012,118.346,4
86,86,18.842,119.414,3
87,87,19.189,117.255,3
88,88,19.093,117.844,3
89,89,19.253,116.865,3
90,90,19.148,117.506,2
91,91,19.007,118.377,2
92,92,18.988,118.496,2
93,93,18.931,118.853,2
94,94,18.931,118.853,2
95,95,18.973,118.590,2
96,96,19.018,118.309,2
97,97,19.03,118.234,2
98,98,19.061,118.042,2
99,99,19.098,117.813,2
100,100,19.138,117.567,2
