,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,33,3,Chv
1,1,85.097,84.186,31,3,Chv
2,2,79.479,90.137,30,3,Chv
3,3,78.744,90.978,29,3,Chv
4,4,78.03,91.811,29,3,Chv
5,5,79.077,90.595,28,3,Chv
6,6,78.097,91.732,28,3,Chv
7,7,78.038,91.801,28,3,Chv
8,8,77.879,91.989,28,3,Chv
9,9,77.722,92.175,28,3,Chv
10,10,77.848,92.025,28,3,Chv
11,11,77.943,91.913,28,3,Chv
12,12,78.706,91.022,29,3,Chv
13,13,78.525,91.232,29,3,Chv
14,14,78.875,90.827,29,3,Chv
15,15,78.829,90.880,28,3,Chv
16,16,78.995,90.689,28,3,Chv
17,17,78.534,91.222,28,3,Chv
18,18,79.791,89.785,27,3,Chv
19,19,79.784,89.792,28,3,Chv
20,20,79.109,90.559,27,3,Chv
21,21,79.534,90.075,24,3,Chv
22,22,79.754,89.826,12,3,Chv
23,23,80.492,89.003,10,3,Chv
24,24,81.033,88.408,11,3,Chv
25,25,83.013,86.300,14,3,Chv
26,26,110.939,64.576,14,3,Chv
27,27,193.492,37.025,25,3,Chv
28,28,178.426,40.151,30,3,Chv
29,29,146.731,48.824,29,3,Chv
30,30,83.612,85.681,26,3,Chv
31,31,82.505,86.831,22,3,Chv
32,32,78.582,91.166,23,3,Chv
33,33,77.752,92.139,23,3,Chv
34,34,77.296,92.683,23,3,Chv
35,35,77.561,92.366,23,3,Chv
36,36,78.053,91.784,23,3,Chv
37,37,77.548,92.381,23,3,Chv
38,38,77.783,92.102,23,3,Chv
39,39,77.846,92.028,23,3,Chv
40,40,78.147,91.673,23,3,Chv
41,41,77.953,91.902,23,3,Chv
42,42,78.276,91.522,23,3,Chv
43,43,78.102,91.726,23,3,Chv
44,44,78.634,91.106,22,3,Chv
45,45,78.323,91.467,21,3,Chv
46,46,79.357,90.276,23,3,Chv
47,47,82.16,87.196,26,3,Chv
48,48,78.741,90.982,26,3,Chv
49,49,78.769,90.949,26,3,Chv
50,50,78.861,90.843,25,3,Chv
51,51,78.877,90.825,20,3,Chv
52,52,79.316,90.322,13,3,Chv
53,53,82.481,86.856,14,3,Chv
54,54,79.946,89.610,14,3,Chv
55,55,79.993,89.558,15,3,Chv
56,56,116.451,61.519,15,3,Chv
57,57,175.975,40.710,26,3,Chv
58,58,204.567,35.020,29,3,Chv
59,59,168.515,42.513,27,3,Chv
60,60,83.756,85.534,26,3,Chv
61,61,79.301,90.339,25,3,Chv
62,62,121.412,59.006,23,3,Chv
63,63,188.063,38.094,22,3,Chv
64,64,178.793,40.069,20,3,Chv
65,65,168.888,42.419,19,3,Chv
66,66,82.338,87.007,18,3,Chv
67,67,78.586,91.161,17,3,Chv
68,68,77.812,92.068,16,3,Chv
69,69,77.338,92.632,16,3,Chv
70,70,77.309,92.667,16,3,Chv
71,71,77.281,92.701,16,3,Chv
72,72,77.283,92.698,15,3,Chv
73,73,77.81,92.070,16,3,Chv
74,74,77.488,92.453,15,3,Chv
75,75,77.462,92.484,15,3,Chv
76,76,77.179,92.823,15,3,Chv
77,77,77.563,92.364,15,3,Chv
78,78,77.457,92.490,15,3,Chv
79,79,77.599,92.321,14,3,Chv
80,80,103.853,68.982,31,3,Chv
81,81,84.513,84.768,33,3,Chv
82,82,77.621,92.295,31,3,Chv
83,83,77.504,92.434,31,3,Chv
84,84,77.087,92.934,28,3,Chv
85,85,76.978,93.066,27,3,Chv
86,86,77.419,92.535,25,3,Chv
87,87,76.926,93.128,24,3,Chv
88,88,77.224,92.769,22,3,Chv
89,89,76.978,93.066,22,3,Chv
90,90,77.494,92.446,22,3,Chv
91,91,77.841,92.034,21,3,Chv
92,92,78.415,91.360,22,3,Chv
93,93,77.681,92.223,21,3,Chv
94,94,76.969,93.076,21,3,Chv
95,95,77.407,92.550,20,3,Chv
96,96,94.087,76.142,20,3,Chv
97,97,157.298,45.544,28,3,Chv
98,98,174.11,41.146,27,3,Chv
99,99,146.796,48.802,27,3,Chv
100,100,110.312,64.943,28,3,Chv
101,101,187.663,38.175,30,3,Chv
102,102,183.514,39.038,30,3,Chv
103,103,155.445,46.087,29,3,Chv
104,104,110.88,64.610,27,3,Chv
