,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,25,21,Frd
1,1,85.659,83.634,30,21,Frd
2,2,80.074,89.467,31,21,Frd
3,3,79.343,90.292,32,21,Frd
4,4,78.27,91.529,31,21,Frd
5,5,78.532,91.224,31,21,Frd
6,6,78.774,90.944,31,21,Frd
7,7,77.541,92.390,31,21,Frd
8,8,78.243,91.561,31,21,Frd
9,9,77.815,92.065,31,21,Frd
10,10,77.887,91.979,31,21,Frd
11,11,78.053,91.784,31,21,Frd
12,12,77.965,91.887,31,21,Frd
13,13,78.771,90.947,31,21,Frd
14,14,78.52,91.238,31,21,Frd
15,15,79.42,90.204,31,21,Frd
16,16,78.473,91.293,30,21,Frd
17,17,78.605,91.139,30,21,Frd
18,18,79.217,90.435,28,21,Frd
19,19,78.829,90.880,27,21,Frd
20,20,78.46,91.308,26,21,Frd
21,21,78.395,91.383,23,21,Frd
22,22,106.785,67.088,34,21,Frd
23,23,84.681,84.600,36,21,Frd
24,24,78.377,91.404,34,21,Frd
25,25,88.34,81.096,34,21,Frd
26,26,105.694,67.781,34,21,Frd
27,27,170.781,41.948,32,21,Frd
28,28,164.521,43.545,22,21,Frd
29,29,156.404,45.804,21,21,Frd
30,30,83.086,86.224,18,21,Frd
31,31,79.937,89.621,16,21,Frd
32,32,78.182,91.632,16,21,Frd
33,33,78.282,91.515,16,21,Frd
34,34,79.346,90.288,19,21,Frd
35,35,77.883,91.984,19,21,Frd
36,36,77.56,92.367,19,21,Frd
37,37,77.664,92.244,19,21,Frd
38,38,77.61,92.308,19,21,Frd
39,39,77.63,92.284,19,21,Frd
40,40,77.936,91.922,19,21,Frd
41,41,78.422,91.352,19,21,Frd
42,42,78.81,90.902,20,21,Frd
43,43,79.157,90.504,21,21,Frd
44,44,79.497,90.117,23,21,Frd
45,45,79.242,90.407,24,21,Frd
46,46,79.597,90.003,26,21,Frd
47,47,80.773,88.693,27,21,Frd
48,48,79.003,90.680,27,21,Frd
49,49,78.821,90.889,27,21,Frd
50,50,78.934,90.759,26,21,Frd
51,51,78.868,90.835,22,21,Frd
52,52,79.548,90.059,14,21,Frd
53,53,82.545,86.789,16,21,Frd
54,54,79.761,89.818,15,21,Frd
55,55,79.77,89.808,16,21,Frd
56,56,116.934,61.265,16,21,Frd
57,57,177.244,40.419,30,21,Frd
58,58,204.117,35.098,31,21,Frd
59,59,166.83,42.942,30,21,Frd
60,60,85.813,83.484,33,21,Frd
61,61,79.503,90.110,33,21,Frd
62,62,126.885,56.461,31,21,Frd
63,63,188.247,38.056,32,21,Frd
64,64,177.639,40.329,27,21,Frd
65,65,162.843,43.993,28,21,Frd
66,66,84.268,85.014,30,21,Frd
67,67,80.227,89.297,32,21,Frd
68,68,79.084,90.587,31,21,Frd
69,69,78.506,91.254,32,21,Frd
70,70,77.79,92.094,32,21,Frd
71,71,77.787,92.098,32,21,Frd
72,72,78.472,91.294,31,21,Frd
73,73,78.349,91.437,29,21,Frd
74,74,77.437,92.514,29,21,Frd
75,75,77.667,92.240,28,21,Frd
76,76,78.672,91.062,28,21,Frd
77,77,77.84,92.035,28,21,Frd
78,78,77.75,92.141,28,21,Frd
79,79,77.865,92.005,26,21,Frd
80,80,78.014,91.830,23,21,Frd
81,81,77.801,92.081,21,21,Frd
82,82,77.875,91.994,17,21,Frd
83,83,77.643,92.268,16,21,Frd
84,84,77.779,92.107,11,21,Frd
85,85,77.834,92.042,10,21,Frd
86,86,78.354,91.431,9,21,Frd
87,87,78.546,91.208,8,21,Frd
88,88,104.689,68.431,32,21,Frd
89,89,84.345,84.937,34,21,Frd
90,90,77.105,92.912,34,21,Frd
91,91,77.72,92.177,31,21,Frd
92,92,77.197,92.802,31,21,Frd
93,93,77.832,92.044,30,21,Frd
94,94,76.883,93.181,30,21,Frd
95,95,77.1,92.918,30,21,Frd
96,96,92.4,77.532,30,21,Frd
97,97,130.375,54.949,12,21,Frd
98,98,167.335,42.812,9,21,Frd
99,99,163.931,43.701,10,21,Frd
100,100,94.444,75.854,8,21,Frd
101,101,184.051,38.924,8,21,Frd
102,102,182.524,39.250,8,21,Frd
103,103,175.347,40.856,7,21,Frd
104,104,95.682,74.873,9,21,Frd
105,105,170.747,41.957,9,21,Frd
