,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,15,71,Chv
1,1,82.261,87.089,15,71,Chv
2,2,77.979,91.871,15,71,Chv
3,3,77.95,91.905,15,71,Chv
4,4,77.525,92.409,15,71,Chv
5,5,76.869,93.198,15,71,Chv
6,6,77.427,92.526,15,71,Chv
7,7,77.208,92.788,14,71,Chv
8,8,77.748,92.144,14,71,Chv
9,9,77.287,92.693,14,71,Chv
10,10,77.708,92.191,14,71,Chv
11,11,77.754,92.137,14,71,Chv
12,12,77.858,92.014,14,71,Chv
13,13,78.105,91.723,13,71,Chv
14,14,78.431,91.341,12,71,Chv
15,15,78.036,91.804,12,71,Chv
16,16,78.835,90.873,11,71,Chv
17,17,78.296,91.499,11,71,Chv
18,18,78.277,91.521,11,71,Chv
19,19,78.542,91.212,11,71,Chv
20,20,78.477,91.288,11,71,Chv
21,21,78.66,91.076,10,71,Chv
22,22,108.31,66.143,23,71,Chv
23,23,84.545,84.736,24,71,Chv
24,24,77.97,91.881,23,71,Chv
25,25,82.322,87.024,23,71,Chv
26,26,111.456,64.276,23,71,Chv
27,27,176.053,40.692,16,71,Chv
28,28,164.983,43.423,13,71,Chv
29,29,165.48,43.292,13,71,Chv
30,30,81.995,87.371,11,71,Chv
31,31,78.481,91.283,9,71,Chv
32,32,77.561,92.366,9,71,Chv
33,33,77.708,92.191,9,71,Chv
34,34,77.281,92.701,9,71,Chv
35,35,76.793,93.290,9,71,Chv
36,36,77.168,92.836,9,71,Chv
37,37,76.915,93.142,9,71,Chv
38,38,76.957,93.091,9,71,Chv
39,39,77.018,93.017,9,71,Chv
40,40,77.36,92.606,9,71,Chv
41,41,76.926,93.128,9,71,Chv
42,42,77.232,92.759,9,71,Chv
43,43,77.426,92.527,9,71,Chv
44,44,77.383,92.578,9,71,Chv
45,45,77.823,92.055,8,71,Chv
46,46,78.247,91.556,8,71,Chv
47,47,77.709,92.190,8,71,Chv
48,48,78.146,91.675,8,71,Chv
49,49,78.219,91.589,8,71,Chv
50,50,78.398,91.380,8,71,Chv
51,51,103.445,69.254,20,71,Chv
52,52,83.779,85.511,17,71,Chv
53,53,78.45,91.319,15,71,Chv
54,54,79.291,90.351,13,71,Chv
55,55,78.893,90.807,13,71,Chv
56,56,115.329,62.118,13,71,Chv
57,57,165.319,43.334,8,71,Chv
58,58,194.164,36.897,8,71,Chv
59,59,190.531,37.600,8,71,Chv
60,60,80.236,89.287,7,71,Chv
61,61,77.793,92.091,7,71,Chv
62,62,109.417,65.474,6,71,Chv
63,63,200.3,35.766,15,71,Chv
64,64,194.66,36.803,29,71,Chv
65,65,160.612,44.604,29,71,Chv
66,66,83.378,85.922,28,71,Chv
67,67,79.392,90.236,27,71,Chv
68,68,78.606,91.138,26,71,Chv
69,69,77.741,92.152,25,71,Chv
70,70,77.52,92.415,25,71,Chv
71,71,77.479,92.464,25,71,Chv
72,72,77.479,92.464,24,71,Chv
73,73,77.892,91.974,24,71,Chv
74,74,78.714,91.013,22,71,Chv
75,75,77.645,92.266,21,71,Chv
76,76,77.488,92.453,21,71,Chv
77,77,77.444,92.506,21,71,Chv
78,78,77.692,92.210,21,71,Chv
79,79,77.58,92.343,19,71,Chv
80,80,77.561,92.366,16,71,Chv
81,81,77.591,92.330,14,71,Chv
82,82,77.845,92.029,10,71,Chv
83,83,77.545,92.385,8,71,Chv
84,84,77.549,92.380,6,71,Chv
85,85,77.723,92.173,3,71,Chv
86,86,77.779,92.107,3,71,Chv
87,87,77.67,92.236,1,71,Chv
88,88,77.612,92.305,1,71,Chv
89,89,77.837,92.038,1,71,Chv
90,90,78.466,91.301,2,71,Chv
91,91,77.839,92.036,2,71,Chv
92,92,78.396,91.382,3,71,Chv
93,93,77.998,91.849,4,71,Chv
94,94,79.055,90.620,5,71,Chv
95,95,77.734,92.160,5,71,Chv
96,96,88.93,80.558,7,71,Chv
97,97,176.759,40.530,19,71,Chv
98,98,167.401,42.795,16,71,Chv
99,99,157.327,45.536,15,71,Chv
100,100,98.672,72.604,13,71,Chv
101,101,183.156,39.114,13,71,Chv
102,102,182.361,39.285,13,71,Chv
103,103,172.231,41.595,13,71,Chv
104,104,96.237,74.441,10,71,Chv
105,105,170.631,41.985,10,71,Chv
