,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,35,34,Frd
1,1,85.446,83.842,34,34,Frd
2,2,80.114,89.423,33,34,Frd
3,3,78.983,90.703,33,34,Frd
4,4,78.702,91.027,33,34,Frd
5,5,78.126,91.698,33,34,Frd
6,6,78.948,90.743,32,34,Frd
7,7,77.357,92.610,32,34,Frd
8,8,78.162,91.656,32,34,Frd
9,9,78.099,91.730,32,34,Frd
10,10,77.916,91.945,32,34,Frd
11,11,77.821,92.057,32,34,Frd
12,12,77.982,91.867,32,34,Frd
13,13,78.762,90.958,32,34,Frd
14,14,78.463,91.304,32,34,Frd
15,15,79.434,90.188,32,34,Frd
16,16,78.834,90.874,31,34,Frd
17,17,78.225,91.582,31,34,Frd
18,18,79.838,89.732,31,34,Frd
19,19,79.984,89.568,30,34,Frd
20,20,79.018,90.663,28,34,Frd
21,21,79.171,90.488,25,34,Frd
22,22,79.127,90.538,13,34,Frd
23,23,80.593,88.891,12,34,Frd
24,24,81.626,87.766,13,34,Frd
25,25,80.279,89.239,12,34,Frd
26,26,111.196,64.427,12,34,Frd
27,27,195.265,36.689,27,34,Frd
28,28,178.629,40.105,31,34,Frd
29,29,146.427,48.925,31,34,Frd
30,30,84.223,85.060,30,34,Frd
31,31,84.766,84.515,31,34,Frd
32,32,79.246,90.402,31,34,Frd
33,33,78.012,91.832,27,34,Frd
34,34,77.91,91.952,26,34,Frd
35,35,77.447,92.502,26,34,Frd
36,36,77.155,92.852,25,34,Frd
37,37,77.539,92.392,25,34,Frd
38,38,77.51,92.427,25,34,Frd
39,39,77.672,92.234,25,34,Frd
40,40,77.571,92.354,25,34,Frd
41,41,77.674,92.232,25,34,Frd
42,42,77.993,91.854,25,34,Frd
43,43,77.799,92.083,25,34,Frd
44,44,78.103,91.725,25,34,Frd
45,45,78.352,91.434,23,34,Frd
46,46,78.125,91.699,22,34,Frd
47,47,78.808,90.904,21,34,Frd
48,48,77.66,92.248,21,34,Frd
49,49,77.841,92.034,21,34,Frd
50,50,77.904,91.959,21,34,Frd
51,51,78.186,91.628,15,34,Frd
52,52,106.076,67.536,29,34,Frd
53,53,84.48,84.801,32,34,Frd
54,54,78.255,91.547,32,34,Frd
55,55,88.119,81.299,31,34,Frd
56,56,114.752,62.430,31,34,Frd
57,57,149.604,47.886,27,34,Frd
58,58,193.11,37.098,20,34,Frd
59,59,179.252,39.966,20,34,Frd
60,60,82.361,86.983,19,34,Frd
61,61,79.986,89.566,20,34,Frd
62,62,117.251,61.100,19,34,Frd
63,63,191.209,37.467,20,34,Frd
64,64,179.369,39.940,18,34,Frd
65,65,170.569,42.001,18,34,Frd
66,66,82.657,86.671,20,34,Frd
67,67,80.645,88.834,24,34,Frd
68,68,78.379,91.402,24,34,Frd
69,69,78.24,91.564,24,34,Frd
70,70,77.227,92.765,24,34,Frd
71,71,77.607,92.311,24,34,Frd
72,72,77.72,92.177,23,34,Frd
73,73,77.831,92.046,23,34,Frd
74,74,79.362,90.270,23,34,Frd
75,75,77.834,92.042,23,34,Frd
76,76,77.916,91.945,22,34,Frd
77,77,77.211,92.785,22,34,Frd
78,78,77.466,92.479,22,34,Frd
79,79,77.895,91.970,20,34,Frd
80,80,77.585,92.337,17,34,Frd
81,81,78.035,91.805,15,34,Frd
82,82,77.63,92.284,11,34,Frd
83,83,77.908,91.955,9,34,Frd
84,84,110.514,64.824,35,34,Frd
85,85,83.54,85.755,35,34,Frd
86,86,77.146,92.863,35,34,Frd
87,87,76.837,93.236,35,34,Frd
88,88,76.855,93.214,34,34,Frd
89,89,77.052,92.976,32,34,Frd
90,90,76.942,93.109,31,34,Frd
91,91,77.513,92.423,29,34,Frd
92,92,77.28,92.702,29,34,Frd
93,93,76.752,93.340,29,34,Frd
94,94,76.83,93.245,29,34,Frd
95,95,77.009,93.028,29,34,Frd
96,96,97.418,73.539,29,34,Frd
97,97,160.418,44.658,35,34,Frd
98,98,164.335,43.594,35,34,Frd
99,99,142.22,50.373,34,34,Frd
100,100,105.054,68.194,25,34,Frd
101,101,186.588,38.395,27,34,Frd
102,102,183.167,39.112,27,34,Frd
103,103,158.953,45.070,27,34,Frd
104,104,112.005,63.961,28,34,Frd
