,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,6,54,Tyt
1,1,79.718,89.867,5,54,Tyt
2,2,77.962,91.891,6,54,Tyt
3,3,77.384,92.577,6,54,Tyt
4,4,77.477,92.466,6,54,Tyt
5,5,77.741,92.152,7,54,Tyt
6,6,77.24,92.750,7,54,Tyt
7,7,76.597,93.528,7,54,Tyt
8,8,77.811,92.069,8,54,Tyt
9,9,77.198,92.800,8,54,Tyt
10,10,77.362,92.604,8,54,Tyt
11,11,77.206,92.791,8,54,Tyt
12,12,77.487,92.454,8,54,Tyt
13,13,77.711,92.188,8,54,Tyt
14,14,78.922,90.773,8,54,Tyt
15,15,78.461,91.307,8,54,Tyt
16,16,78.171,91.645,8,54,Tyt
17,17,77.944,91.912,8,54,Tyt
18,18,78.525,91.232,8,54,Tyt
19,19,78.533,91.223,8,54,Tyt
20,20,77.895,91.970,8,54,Tyt
21,21,77.966,91.886,7,54,Tyt
22,22,103.651,69.117,10,54,Tyt
23,23,83.346,85.955,14,54,Tyt
24,24,79.506,90.106,9,54,Tyt
25,25,77.1,92.918,9,54,Tyt
26,26,113.599,63.064,9,54,Tyt
27,27,181.294,39.516,6,54,Tyt
28,28,165.484,43.291,5,54,Tyt
29,29,173.008,41.408,5,54,Tyt
30,30,80.114,89.423,4,54,Tyt
31,31,77.706,92.194,4,54,Tyt
32,32,78.05,91.787,4,54,Tyt
33,33,77.901,91.963,3,54,Tyt
34,34,77.043,92.987,3,54,Tyt
35,35,76.874,93.191,3,54,Tyt
36,36,76.787,93.297,3,54,Tyt
37,37,77.029,93.004,3,54,Tyt
38,38,77.112,92.904,3,54,Tyt
39,39,77.109,92.907,3,54,Tyt
40,40,77.585,92.337,4,54,Tyt
41,41,77.587,92.335,5,54,Tyt
42,42,77.952,91.903,6,54,Tyt
43,43,77.658,92.251,6,54,Tyt
44,44,77.286,92.695,6,54,Tyt
45,45,79.2,90.455,9,54,Tyt
46,46,78.883,90.818,9,54,Tyt
47,47,78.373,91.409,9,54,Tyt
48,48,78.579,91.169,9,54,Tyt
49,49,78.895,90.804,10,54,Tyt
50,50,79.18,90.477,10,54,Tyt
51,51,78.705,91.023,8,54,Tyt
52,52,105.62,67.828,18,54,Tyt
53,53,85.341,83.946,20,54,Tyt
54,54,76.905,93.154,19,54,Tyt
55,55,80.703,88.770,19,54,Tyt
56,56,116.175,61.666,19,54,Tyt
57,57,159.734,44.850,10,54,Tyt
58,58,194.126,36.904,10,54,Tyt
59,59,188.714,37.962,9,54,Tyt
60,60,81.004,88.440,10,54,Tyt
61,61,78.289,91.507,9,54,Tyt
62,62,110.095,65.071,8,54,Tyt
63,63,190.21,37.664,7,54,Tyt
64,64,181.334,39.507,7,54,Tyt
65,65,179.806,39.843,7,54,Tyt
66,66,80.768,88.698,9,54,Tyt
67,67,79.12,90.546,9,54,Tyt
68,68,76.998,93.041,9,54,Tyt
69,69,76.79,93.293,9,54,Tyt
70,70,76.713,93.387,9,54,Tyt
71,71,76.958,93.090,9,54,Tyt
72,72,77.194,92.805,9,54,Tyt
73,73,77.167,92.838,9,54,Tyt
74,74,78.05,91.787,8,54,Tyt
75,75,76.515,93.629,8,54,Tyt
76,76,76.572,93.559,8,54,Tyt
77,77,77.331,92.641,7,54,Tyt
78,78,76.835,93.239,7,54,Tyt
79,79,77.465,92.480,7,54,Tyt
80,80,77.998,91.849,8,54,Tyt
81,81,78.348,91.438,7,54,Tyt
82,82,77.158,92.848,5,54,Tyt
83,83,77.377,92.586,4,54,Tyt
84,84,102.404,69.958,17,54,Tyt
85,85,84.503,84.778,19,54,Tyt
86,86,76.145,94.084,17,54,Tyt
87,87,76.429,93.734,15,54,Tyt
88,88,76.848,93.223,12,54,Tyt
89,89,76.714,93.386,12,54,Tyt
90,90,76.495,93.653,11,54,Tyt
91,91,76.829,93.246,11,54,Tyt
92,92,78.176,91.639,10,54,Tyt
93,93,76.872,93.194,10,54,Tyt
94,94,76.813,93.265,9,54,Tyt
95,95,76.757,93.334,9,54,Tyt
96,96,86.628,82.698,9,54,Tyt
97,97,172.936,41.426,18,54,Tyt
98,98,167.091,42.875,15,54,Tyt
99,99,157.846,45.386,16,54,Tyt
100,100,100.438,71.328,15,54,Tyt
101,101,183.21,39.103,15,54,Tyt
102,102,182.972,39.154,15,54,Tyt
103,103,169.924,42.160,15,54,Tyt
104,104,97.497,73.479,12,54,Tyt
105,105,170.539,42.008,12,54,Tyt
