,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,8,45,Tyt
1,1,81.24,88.183,9,45,Tyt
2,2,77.608,92.310,10,45,Tyt
3,3,78.293,91.502,10,45,Tyt
4,4,76.936,93.116,10,45,Tyt
5,5,77.174,92.829,10,45,Tyt
6,6,77.408,92.549,10,45,Tyt
7,7,77.615,92.302,10,45,Tyt
8,8,77.313,92.662,10,45,Tyt
9,9,77.777,92.109,10,45,Tyt
10,10,77.109,92.907,10,45,Tyt
11,11,77.485,92.457,9,45,Tyt
12,12,77.678,92.227,9,45,Tyt
13,13,77.232,92.759,9,45,Tyt
14,14,77.684,92.220,9,45,Tyt
15,15,78.016,91.827,9,45,Tyt
16,16,78.09,91.740,9,45,Tyt
17,17,78.079,91.753,9,45,Tyt
18,18,78.571,91.179,9,45,Tyt
19,19,78.177,91.638,9,45,Tyt
20,20,79.435,90.187,10,45,Tyt
21,21,78.36,91.424,9,45,Tyt
22,22,104.727,68.406,17,45,Tyt
23,23,86.617,82.709,19,45,Tyt
24,24,80.633,88.847,19,45,Tyt
25,25,81.022,88.420,19,45,Tyt
26,26,111.149,64.454,19,45,Tyt
27,27,177.079,40.457,12,45,Tyt
28,28,165.51,43.284,9,45,Tyt
29,29,168.469,42.524,9,45,Tyt
30,30,82.696,86.631,12,45,Tyt
31,31,78.795,90.919,11,45,Tyt
32,32,78.882,90.819,12,45,Tyt
33,33,77.728,92.168,12,45,Tyt
34,34,77.572,92.353,12,45,Tyt
35,35,77.365,92.600,12,45,Tyt
36,36,77.296,92.683,12,45,Tyt
37,37,78.384,91.396,11,45,Tyt
38,38,77.085,92.936,11,45,Tyt
39,39,77.173,92.830,11,45,Tyt
40,40,77.204,92.793,11,45,Tyt
41,41,77.374,92.589,11,45,Tyt
42,42,77.307,92.669,11,45,Tyt
43,43,77.109,92.907,11,45,Tyt
44,44,77.391,92.569,11,45,Tyt
45,45,77.55,92.379,11,45,Tyt
46,46,77.923,91.937,11,45,Tyt
47,47,77.757,92.133,11,45,Tyt
48,48,78.067,91.767,11,45,Tyt
49,49,78.428,91.345,11,45,Tyt
50,50,78.093,91.737,11,45,Tyt
51,51,105.346,68.004,27,45,Tyt
52,52,84.414,84.867,24,45,Tyt
53,53,79.702,89.885,21,45,Tyt
54,54,77.615,92.302,20,45,Tyt
55,55,82.563,86.770,20,45,Tyt
56,56,114.77,62.420,20,45,Tyt
57,57,159.537,44.905,11,45,Tyt
58,58,193.456,37.032,11,45,Tyt
59,59,188.161,38.074,12,45,Tyt
60,60,81.103,88.332,11,45,Tyt
61,61,79.228,90.423,12,45,Tyt
62,62,111.379,64.321,11,45,Tyt
63,63,191.793,37.353,11,45,Tyt
64,64,179.818,39.840,10,45,Tyt
65,65,177.464,40.369,10,45,Tyt
66,66,80.461,89.037,8,45,Tyt
67,67,79.421,90.203,10,45,Tyt
68,68,77.156,92.851,10,45,Tyt
69,69,76.854,93.216,10,45,Tyt
70,70,76.771,93.316,10,45,Tyt
71,71,77.772,92.115,11,45,Tyt
72,72,76.81,93.269,11,45,Tyt
73,73,77.213,92.782,11,45,Tyt
74,74,77.699,92.202,10,45,Tyt
75,75,77.295,92.684,10,45,Tyt
76,76,77.059,92.968,10,45,Tyt
77,77,77.594,92.327,10,45,Tyt
78,78,77.846,92.028,11,45,Tyt
79,79,78.131,91.692,10,45,Tyt
80,80,77.787,92.098,10,45,Tyt
81,81,103.533,69.195,26,45,Tyt
82,82,85.177,84.107,29,45,Tyt
83,83,76.964,93.082,27,45,Tyt
84,84,77.654,92.255,24,45,Tyt
85,85,77.003,93.035,23,45,Tyt
86,86,77.186,92.815,21,45,Tyt
87,87,76.253,93.950,19,45,Tyt
88,88,77.289,92.691,18,45,Tyt
89,89,76.634,93.483,18,45,Tyt
90,90,76.945,93.105,17,45,Tyt
91,91,77.879,91.989,15,45,Tyt
92,92,77.14,92.870,15,45,Tyt
93,93,77.011,93.026,15,45,Tyt
94,94,77.311,92.665,14,45,Tyt
95,95,76.955,93.093,14,45,Tyt
96,96,91.518,78.280,14,45,Tyt
97,97,163.994,43.685,24,45,Tyt
98,98,169.614,42.237,21,45,Tyt
99,99,153.191,46.765,22,45,Tyt
100,100,97.027,73.835,12,45,Tyt
101,101,183.326,39.078,12,45,Tyt
102,102,182.226,39.314,12,45,Tyt
103,103,173.197,41.363,12,45,Tyt
104,104,97.154,73.739,11,45,Tyt
105,105,170.436,42.033,11,45,Tyt
