,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,3,24,Chv
1,1,79.309,90.330,3,24,Chv
2,2,77.62,92.296,3,24,Chv
3,3,77.111,92.905,2,24,Chv
4,4,76.573,93.558,2,24,Chv
5,5,76.308,93.883,2,24,Chv
6,6,76.534,93.605,2,24,Chv
7,7,76.521,93.621,2,24,Chv
8,8,76.392,93.779,2,24,Chv
9,9,76.878,93.187,2,24,Chv
10,10,76.724,93.374,2,24,Chv
11,11,76.668,93.442,2,24,Chv
12,12,77.015,93.021,2,24,Chv
13,13,77.381,92.581,2,24,Chv
14,14,77.891,91.975,2,24,Chv
15,15,77.554,92.374,2,24,Chv
16,16,78.222,91.585,2,24,Chv
17,17,78.121,91.704,2,24,Chv
18,18,78.17,91.646,2,24,Chv
19,19,78.304,91.490,2,24,Chv
20,20,78.341,91.446,2,24,Chv
21,21,78.278,91.520,2,24,Chv
22,22,78.741,90.982,2,24,Chv
23,23,104.921,68.280,3,24,Chv
24,24,85.561,83.730,5,24,Chv
25,25,79.158,90.503,5,24,Chv
26,26,113.7,63.008,5,24,Chv
27,27,183.416,39.059,3,24,Chv
28,28,165.707,43.233,2,24,Chv
29,29,175.345,40.857,2,24,Chv
30,30,79.639,89.956,2,24,Chv
31,31,77.68,92.225,2,24,Chv
32,32,78.091,91.739,2,24,Chv
33,33,77.783,92.102,2,24,Chv
34,34,77.194,92.805,2,24,Chv
35,35,77.037,92.994,2,24,Chv
36,36,76.838,93.235,2,24,Chv
37,37,76.949,93.101,2,24,Chv
38,38,77.116,92.899,2,24,Chv
39,39,76.935,93.118,2,24,Chv
40,40,76.84,93.233,2,24,Chv
41,41,77.038,92.993,2,24,Chv
42,42,78.006,91.839,3,24,Chv
43,43,77.331,92.641,3,24,Chv
44,44,78.086,91.745,4,24,Chv
45,45,77.646,92.265,4,24,Chv
46,46,77.436,92.515,4,24,Chv
47,47,77.818,92.061,4,24,Chv
48,48,77.94,91.917,4,24,Chv
49,49,77.854,92.018,4,24,Chv
50,50,77.846,92.028,4,24,Chv
51,51,78.431,91.341,4,24,Chv
52,52,104.189,68.760,10,24,Chv
53,53,85.135,84.149,11,24,Chv
54,54,77.453,92.495,10,24,Chv
55,55,81.265,88.156,10,24,Chv
56,56,111.672,64.152,10,24,Chv
57,57,168.073,42.624,5,24,Chv
58,58,193.911,36.945,5,24,Chv
59,59,193.577,37.009,6,24,Chv
60,60,79.99,89.561,5,24,Chv
61,61,77.358,92.608,5,24,Chv
62,62,106.389,67.338,3,24,Chv
63,63,193.261,37.069,3,24,Chv
64,64,179.747,39.856,3,24,Chv
65,65,183.969,38.941,3,24,Chv
66,66,79.26,90.386,3,24,Chv
67,67,76.924,93.131,3,24,Chv
68,68,76.873,93.193,3,24,Chv
69,69,76.654,93.459,3,24,Chv
70,70,76.534,93.605,3,24,Chv
71,71,76.711,93.389,3,24,Chv
72,72,76.668,93.442,3,24,Chv
73,73,76.852,93.218,3,24,Chv
74,74,76.932,93.121,3,24,Chv
75,75,76.871,93.195,3,24,Chv
76,76,76.995,93.045,3,24,Chv
77,77,77.257,92.729,3,24,Chv
78,78,77.345,92.624,3,24,Chv
79,79,78.086,91.745,4,24,Chv
80,80,78.009,91.836,4,24,Chv
81,81,78.072,91.761,4,24,Chv
82,82,77.767,92.121,3,24,Chv
83,83,77.749,92.143,2,24,Chv
84,84,103.853,68.982,14,24,Chv
85,85,83.63,85.663,17,24,Chv
86,86,76.598,93.527,14,24,Chv
87,87,76.81,93.269,11,24,Chv
88,88,76.809,93.270,9,24,Chv
89,89,76.161,94.064,9,24,Chv
90,90,76.714,93.386,8,24,Chv
91,91,76.513,93.631,7,24,Chv
92,92,77.428,92.525,6,24,Chv
93,93,76.105,94.133,6,24,Chv
94,94,76.554,93.581,6,24,Chv
95,95,76.307,93.884,6,24,Chv
96,96,83.647,85.646,5,24,Chv
97,97,168.797,42.442,4,24,Chv
98,98,169.354,42.302,4,24,Chv
99,99,167.389,42.799,4,24,Chv
100,100,92.48,77.465,5,24,Chv
101,101,183.548,39.031,5,24,Chv
102,102,182.73,39.205,5,24,Chv
103,103,177.882,40.274,5,24,Chv
104,104,91.465,78.325,6,24,Chv
105,105,172.671,41.489,6,24,Chv
