,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,12,38,Frd
1,1,81.221,88.204,10,38,Frd
2,2,77.11,92.906,9,38,Frd
3,3,77.712,92.187,9,38,Frd
4,4,77.218,92.776,9,38,Frd
5,5,77.183,92.818,9,38,Frd
6,6,77.566,92.360,9,38,Frd
7,7,76.922,93.133,9,38,Frd
8,8,77.449,92.500,9,38,Frd
9,9,77.584,92.339,9,38,Frd
10,10,77.602,92.317,9,38,Frd
11,11,78.404,91.373,10,38,Frd
12,12,78.444,91.326,10,38,Frd
13,13,79.312,90.327,12,38,Frd
14,14,79.637,89.958,14,38,Frd
15,15,80.176,89.353,16,38,Frd
16,16,80.918,88.534,19,38,Frd
17,17,79.606,89.993,19,38,Frd
18,18,80.276,89.242,21,38,Frd
19,19,80.378,89.129,22,38,Frd
20,20,80.579,88.907,22,38,Frd
21,21,93.256,76.821,30,38,Frd
22,22,99.066,72.315,36,38,Frd
23,23,80.091,89.448,34,38,Frd
24,24,79.098,90.571,33,38,Frd
25,25,88.578,80.878,33,38,Frd
26,26,105.301,68.034,33,38,Frd
27,27,170.946,41.908,31,38,Frd
28,28,164.489,43.553,21,38,Frd
29,29,157.349,45.529,22,38,Frd
30,30,83.874,85.414,23,38,Frd
31,31,82.631,86.699,21,38,Frd
32,32,77.861,92.010,21,38,Frd
33,33,77.279,92.703,21,38,Frd
34,34,77.793,92.091,21,38,Frd
35,35,77.765,92.124,20,38,Frd
36,36,77.618,92.298,20,38,Frd
37,37,77.42,92.534,20,38,Frd
38,38,77.663,92.245,20,38,Frd
39,39,77.617,92.299,20,38,Frd
40,40,77.942,91.915,20,38,Frd
41,41,78.261,91.540,20,38,Frd
42,42,77.935,91.923,19,38,Frd
43,43,77.753,92.138,19,38,Frd
44,44,77.749,92.143,19,38,Frd
45,45,78.744,90.978,18,38,Frd
46,46,78.429,91.344,18,38,Frd
47,47,78.369,91.414,18,38,Frd
48,48,78.37,91.413,18,38,Frd
49,49,78.161,91.657,18,38,Frd
50,50,78.324,91.466,18,38,Frd
51,51,91.665,78.154,25,38,Frd
52,52,97.494,73.481,32,38,Frd
53,53,78.067,91.767,28,38,Frd
54,54,78.635,91.104,28,38,Frd
55,55,85.271,84.014,27,38,Frd
56,56,115.036,62.276,27,38,Frd
57,57,151.652,47.240,22,38,Frd
58,58,193.606,37.003,16,38,Frd
59,59,182.834,39.183,15,38,Frd
60,60,81.957,87.412,15,38,Frd
61,61,79.591,90.010,14,38,Frd
62,62,113.273,63.245,13,38,Frd
63,63,190.812,37.545,13,38,Frd
64,64,180.015,39.797,12,38,Frd
65,65,174.904,40.960,12,38,Frd
66,66,81.669,87.720,14,38,Frd
67,67,79.068,90.606,14,38,Frd
68,68,77.535,92.397,14,38,Frd
69,69,76.995,93.045,14,38,Frd
70,70,77.294,92.685,14,38,Frd
71,71,77.576,92.348,14,38,Frd
72,72,77.433,92.519,14,38,Frd
73,73,77.243,92.746,14,38,Frd
74,74,77.242,92.747,14,38,Frd
75,75,77.657,92.252,14,38,Frd
76,76,77.933,91.925,14,38,Frd
77,77,77.635,92.278,14,38,Frd
78,78,77.574,92.351,14,38,Frd
79,79,77.839,92.036,13,38,Frd
80,80,90.985,78.738,24,38,Frd
81,81,96.123,74.530,32,38,Frd
82,82,77.162,92.844,30,38,Frd
83,83,76.677,93.431,28,38,Frd
84,84,77.848,92.025,25,38,Frd
85,85,77.141,92.869,24,38,Frd
86,86,77.01,93.027,22,38,Frd
87,87,76.699,93.404,20,38,Frd
88,88,77.027,93.006,19,38,Frd
89,89,76.714,93.386,19,38,Frd
90,90,76.824,93.252,18,38,Frd
91,91,79.842,89.727,18,38,Frd
92,92,76.933,93.120,18,38,Frd
93,93,76.85,93.221,18,38,Frd
94,94,77.328,92.644,17,38,Frd
95,95,76.909,93.149,17,38,Frd
96,96,94.228,76.028,17,38,Frd
97,97,146.693,48.837,8,38,Frd
98,98,168.027,42.636,6,38,Frd
99,99,165.977,43.163,6,38,Frd
100,100,93.692,76.463,7,38,Frd
101,101,183.782,38.981,7,38,Frd
102,102,183.025,39.142,7,38,Frd
103,103,176.215,40.655,8,38,Frd
104,104,92.778,77.217,7,38,Frd
105,105,172.003,41.650,7,38,Frd
