,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,16,48,Chv
1,1,25.146,143.164,16,48,Chv
2,2,24.321,148.020,16,48,Chv
3,3,24.404,147.517,16,48,Chv
4,4,24.134,149.167,16,48,Chv
5,5,24.073,149.545,16,48,Chv
6,6,24.22,148.637,16,48,Chv
7,7,24.373,147.704,15,48,Chv
8,8,23.984,150.100,15,48,Chv
9,9,23.92,150.502,15,48,Chv
10,10,24.07,149.564,15,48,Chv
11,11,23.94,150.376,15,48,Chv
12,12,24.024,149.850,15,48,Chv
13,13,23.94,150.376,15,48,Chv
14,14,23.908,150.577,15,48,Chv
15,15,23.945,150.345,15,48,Chv
16,16,24.094,149.415,15,48,Chv
17,17,24.033,149.794,15,48,Chv
18,18,24.203,148.742,15,48,Chv
19,19,24.1,149.378,15,48,Chv
20,20,24.185,148.853,15,48,Chv
21,21,24.4,147.541,15,48,Chv
22,22,24.338,147.917,15,48,Chv
23,23,24.334,147.941,15,48,Chv
24,24,24.231,148.570,15,48,Chv
25,25,24.267,148.350,15,48,Chv
26,26,24.455,147.209,15,48,Chv
27,27,24.532,146.747,15,48,Chv
28,28,24.572,146.508,15,48,Chv
29,29,24.564,146.556,15,48,Chv
30,30,24.56,146.580,15,48,Chv
31,31,24.524,146.795,15,48,Chv
32,32,24.237,148.533,15,48,Chv
33,33,24.276,148.295,15,48,Chv
34,34,24.573,146.502,15,48,Chv
35,35,24.675,145.897,15,48,Chv
36,36,36.231,99.362,15,48,Chv
37,37,67.52,53.318,15,48,Chv
38,38,76.797,46.877,8,48,Chv
39,39,93.087,38.673,15,48,Chv
40,40,77.299,46.572,13,48,Chv
41,41,84.082,42.815,13,48,Chv
42,42,72.026,49.982,12,48,Chv
43,43,24.985,144.086,10,48,Chv
44,44,23.981,150.119,10,48,Chv
45,45,24.155,149.037,10,48,Chv
46,46,24.285,148.240,10,48,Chv
47,47,24.086,149.464,10,48,Chv
48,48,24.044,149.726,10,48,Chv
49,49,23.827,151.089,10,48,Chv
50,50,24.082,149.489,10,48,Chv
51,51,23.905,150.596,10,48,Chv
52,52,23.922,150.489,10,48,Chv
53,53,24.021,149.869,10,48,Chv
54,54,24.034,149.788,10,48,Chv
55,55,24.059,149.632,10,48,Chv
56,56,24.164,148.982,10,48,Chv
57,57,24.169,148.951,10,48,Chv
58,58,24.043,149.732,10,48,Chv
59,59,24.039,149.757,10,48,Chv
60,60,23.976,150.150,10,48,Chv
61,61,24.036,149.775,10,48,Chv
62,62,23.978,150.138,10,48,Chv
63,63,23.979,150.131,10,48,Chv
64,64,24.127,149.210,9,48,Chv
