,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,23,3,Chv
1,1,25.263,142.501,23,3,Chv
2,2,24.415,147.450,23,3,Chv
3,3,24.366,147.747,23,3,Chv
4,4,24.439,147.306,23,3,Chv
5,5,24.439,147.306,23,3,Chv
6,6,24.322,148.014,23,3,Chv
7,7,24.369,147.729,23,3,Chv
8,8,24.666,145.950,22,3,Chv
9,9,24.304,148.124,22,3,Chv
10,10,24.172,148.933,22,3,Chv
11,11,24.256,148.417,22,3,Chv
12,12,24.303,148.130,22,3,Chv
13,13,24.195,148.791,22,3,Chv
14,14,24.107,149.334,22,3,Chv
15,15,24.619,146.229,23,3,Chv
16,16,24.328,147.978,23,3,Chv
17,17,24.354,147.820,24,3,Chv
18,18,24.269,148.337,24,3,Chv
19,19,24.104,149.353,24,3,Chv
20,20,24.253,148.435,24,3,Chv
21,21,24.374,147.698,24,3,Chv
22,22,24.32,148.026,24,3,Chv
23,23,24.406,147.505,24,3,Chv
24,24,24.397,147.559,24,3,Chv
25,25,24.481,147.053,24,3,Chv
26,26,24.34,147.905,24,3,Chv
27,27,24.45,147.239,24,3,Chv
28,28,24.504,146.915,24,3,Chv
29,29,24.443,147.281,24,3,Chv
30,30,24.358,147.795,24,3,Chv
31,31,24.337,147.923,24,3,Chv
32,32,24.468,147.131,24,3,Chv
33,33,24.345,147.874,24,3,Chv
34,34,24.598,146.353,24,3,Chv
35,35,24.563,146.562,24,3,Chv
36,36,40.102,89.771,24,3,Chv
37,37,67.778,53.115,24,3,Chv
38,38,85.349,42.180,31,3,Chv
39,39,88.093,40.866,29,3,Chv
40,40,76.594,47.001,27,3,Chv
41,41,89.045,40.429,27,3,Chv
42,42,56.194,64.064,27,3,Chv
43,43,25.368,141.911,26,3,Chv
44,44,24.428,147.372,26,3,Chv
45,45,24.657,146.003,26,3,Chv
46,46,24.735,145.543,28,3,Chv
47,47,24.303,148.130,27,3,Chv
48,48,24.42,147.420,27,3,Chv
49,49,24.313,148.069,26,3,Chv
50,50,24.385,147.632,26,3,Chv
51,51,24.334,147.941,26,3,Chv
52,52,24.454,147.215,26,3,Chv
53,53,24.552,146.628,27,3,Chv
54,54,24.237,148.533,27,3,Chv
55,55,24.157,149.025,26,3,Chv
56,56,24.102,149.365,26,3,Chv
57,57,24.227,148.595,26,3,Chv
58,58,24.31,148.087,26,3,Chv
59,59,24.283,148.252,26,3,Chv
60,60,24.328,147.978,26,3,Chv
61,61,24.461,147.173,26,3,Chv
62,62,24.248,148.466,26,3,Chv
63,63,24.267,148.350,26,3,Chv
64,64,24.392,147.589,26,3,Chv
65,65,24.553,146.622,26,3,Chv
66,66,24.382,147.650,26,3,Chv
67,67,24.277,148.289,26,3,Chv
68,68,24.514,146.855,26,3,Chv
69,69,24.199,148.766,26,3,Chv
70,70,24.288,148.221,26,3,Chv
71,71,24.357,147.801,26,3,Chv
72,72,24.372,147.710,26,3,Chv
73,73,24.414,147.456,26,3,Chv
74,74,24.604,146.318,26,3,Chv
75,75,24.407,147.499,26,3,Chv
76,76,24.263,148.374,25,3,Chv
77,77,24.335,147.935,25,3,Chv
78,78,24.206,148.723,25,3,Chv
79,79,24.142,149.118,25,3,Chv
80,80,24.231,148.570,25,3,Chv
81,81,24.165,148.976,25,3,Chv
82,82,24.242,148.503,25,3,Chv
83,83,24.286,148.234,25,3,Chv
84,84,24.274,148.307,25,3,Chv
85,85,24.43,147.360,25,3,Chv
86,86,24.624,146.199,25,3,Chv
87,87,24.383,147.644,25,3,Chv
88,88,24.471,147.113,25,3,Chv
89,89,24.375,147.692,25,3,Chv
90,90,24.476,147.083,25,3,Chv
91,91,24.566,146.544,25,3,Chv
92,92,24.658,145.997,25,3,Chv
93,93,24.441,147.293,25,3,Chv
94,94,24.444,147.275,25,3,Chv
95,95,24.476,147.083,25,3,Chv
96,96,24.515,146.849,25,3,Chv
97,97,24.487,147.017,25,3,Chv
98,98,24.702,145.737,25,3,Chv
99,99,24.728,145.584,25,3,Chv
100,100,24.677,145.885,25,3,Chv
101,101,24.711,145.684,25,3,Chv
102,102,24.582,146.449,25,3,Chv
103,103,24.722,145.619,25,3,Chv
104,104,24.569,146.526,25,3,Chv
105,105,24.651,146.039,25,3,Chv
106,106,24.641,146.098,25,3,Chv
107,107,24.799,145.167,25,3,Chv
108,108,24.834,144.963,25,3,Chv
109,109,24.713,145.672,25,3,Chv
110,110,24.678,145.879,25,3,Chv
111,111,25.132,143.244,24,3,Chv
112,112,24.956,144.254,24,3,Chv
113,113,24.856,144.834,24,3,Chv
114,114,24.72,145.631,24,3,Chv
115,115,24.69,145.808,24,3,Chv
116,116,24.843,144.910,24,3,Chv
117,117,24.943,144.329,24,3,Chv
