,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,2,19,Tyt
1,1,24.242,148.503,1,19,Tyt
2,2,23.412,153.767,1,19,Tyt
3,3,23.449,153.525,1,19,Tyt
4,4,23.655,152.188,1,19,Tyt
5,5,23.693,151.944,1,19,Tyt
6,6,23.741,151.636,1,19,Tyt
7,7,23.801,151.254,1,19,Tyt
8,8,23.861,150.874,1,19,Tyt
9,9,23.82,151.134,1,19,Tyt
10,10,23.855,150.912,1,19,Tyt
11,11,24.018,149.888,1,19,Tyt
12,12,24.027,149.831,1,19,Tyt
13,13,23.816,151.159,1,19,Tyt
14,14,24.047,149.707,2,19,Tyt
15,15,24.182,148.871,2,19,Tyt
16,16,23.984,150.100,2,19,Tyt
17,17,24.05,149.688,2,19,Tyt
18,18,24.02,149.875,2,19,Tyt
19,19,24.137,149.149,2,19,Tyt
20,20,24.107,149.334,2,19,Tyt
21,21,24.249,148.460,2,19,Tyt
22,22,24.25,148.454,2,19,Tyt
23,23,24.246,148.478,2,19,Tyt
24,24,24.22,148.637,2,19,Tyt
25,25,24.296,148.173,2,19,Tyt
26,26,24.32,148.026,2,19,Tyt
27,27,24.255,148.423,2,19,Tyt
28,28,24.214,148.674,2,19,Tyt
29,29,24.174,148.920,2,19,Tyt
30,30,24.292,148.197,2,19,Tyt
31,31,24.504,146.915,2,19,Tyt
32,32,24.356,147.808,2,19,Tyt
33,33,24.232,148.564,2,19,Tyt
34,34,24.565,146.550,2,19,Tyt
35,35,24.498,146.951,2,19,Tyt
36,36,29.086,123.771,2,19,Tyt
37,37,72.273,49.811,2,19,Tyt
38,38,82.717,43.522,3,19,Tyt
39,39,83.518,43.104,3,19,Tyt
40,40,80.73,44.593,2,19,Tyt
41,41,82.371,43.705,2,19,Tyt
42,42,83.453,43.138,2,19,Tyt
43,43,24.849,144.875,3,19,Tyt
44,44,24.012,149.925,2,19,Tyt
45,45,23.95,150.313,2,19,Tyt
46,46,23.704,151.873,2,19,Tyt
47,47,23.624,152.387,2,19,Tyt
48,48,23.737,151.662,2,19,Tyt
49,49,23.686,151.989,2,19,Tyt
50,50,23.734,151.681,2,19,Tyt
51,51,23.788,151.337,2,19,Tyt
52,52,23.801,151.254,2,19,Tyt
53,53,23.928,150.451,2,19,Tyt
54,54,23.969,150.194,2,19,Tyt
55,55,23.961,150.244,2,19,Tyt
56,56,24.029,149.819,2,19,Tyt
57,57,23.92,150.502,2,19,Tyt
58,58,23.893,150.672,2,19,Tyt
59,59,24.121,149.248,3,19,Tyt
60,60,24.291,148.203,3,19,Tyt
61,61,24.027,149.831,3,19,Tyt
62,62,24.075,149.533,3,19,Tyt
63,63,24.079,149.508,3,19,Tyt
64,64,24.039,149.757,3,19,Tyt
65,65,24.12,149.254,3,19,Tyt
66,66,24.111,149.309,3,19,Tyt
67,67,24.088,149.452,3,19,Tyt
68,68,24.129,149.198,3,19,Tyt
69,69,24.088,149.452,3,19,Tyt
70,70,24.13,149.192,3,19,Tyt
71,71,24.188,148.834,3,19,Tyt
72,72,24.241,148.509,3,19,Tyt
73,73,24.21,148.699,3,19,Tyt
74,74,24.544,146.675,4,19,Tyt
75,75,24.659,145.991,4,19,Tyt
76,76,24.604,146.318,5,19,Tyt
77,77,24.571,146.514,5,19,Tyt
78,78,24.35,147.844,5,19,Tyt
79,79,24.428,147.372,5,19,Tyt
80,80,24.502,146.927,5,19,Tyt
81,81,24.397,147.559,5,19,Tyt
82,82,24.196,148.785,5,19,Tyt
83,83,24.457,147.197,5,19,Tyt
84,84,24.546,146.663,5,19,Tyt
85,85,24.282,148.258,5,19,Tyt
86,86,24.711,145.684,6,19,Tyt
87,87,24.483,147.041,6,19,Tyt
88,88,24.583,146.443,7,19,Tyt
89,89,24.516,146.843,7,19,Tyt
90,90,24.458,147.191,7,19,Tyt
91,91,24.306,148.112,7,19,Tyt
92,92,24.466,147.143,7,19,Tyt
93,93,24.358,147.795,7,19,Tyt
94,94,24.455,147.209,7,19,Tyt
95,95,24.393,147.583,7,19,Tyt
96,96,24.502,146.927,7,19,Tyt
97,97,24.682,145.855,7,19,Tyt
98,98,24.573,146.502,7,19,Tyt
99,99,24.462,147.167,7,19,Tyt
100,100,24.647,146.062,7,19,Tyt
101,101,24.538,146.711,7,19,Tyt
102,102,24.799,145.167,7,19,Tyt
103,103,24.624,146.199,7,19,Tyt
104,104,24.597,146.359,7,19,Tyt
105,105,24.655,146.015,7,19,Tyt
106,106,24.697,145.767,7,19,Tyt
107,107,24.735,145.543,7,19,Tyt
108,108,24.67,145.926,7,19,Tyt
109,109,24.667,145.944,7,19,Tyt
110,110,24.843,144.910,7,19,Tyt
111,111,24.736,145.537,6,19,Tyt
112,112,24.663,145.968,6,19,Tyt
113,113,24.527,146.777,6,19,Tyt
114,114,24.676,145.891,6,19,Tyt
115,115,24.589,146.407,6,19,Tyt
116,116,24.554,146.616,6,19,Tyt
117,117,24.566,146.544,6,19,Tyt
118,118,24.727,145.590,6,19,Tyt
119,119,24.932,144.393,6,19,Tyt
120,120,24.831,144.980,6,19,Tyt
121,121,37.544,95.887,6,19,Tyt
122,122,69.245,51.989,6,19,Tyt
123,123,82.162,43.816,6,19,Tyt
124,124,78.982,45.580,4,19,Tyt
125,125,84.737,42.484,5,19,Tyt
126,126,79.519,45.272,5,19,Tyt
127,127,83.09,43.327,5,19,Tyt
128,128,80.609,44.660,5,19,Tyt
129,129,24.76,145.396,5,19,Tyt
130,130,23.601,152.536,5,19,Tyt
131,131,23.534,152.970,5,19,Tyt
132,132,23.577,152.691,5,19,Tyt
133,133,23.724,151.745,5,19,Tyt
134,134,23.893,150.672,5,19,Tyt
135,135,23.782,151.375,5,19,Tyt
136,136,23.84,151.007,5,19,Tyt
137,137,23.859,150.886,5,19,Tyt
138,138,23.912,150.552,5,19,Tyt
139,139,23.934,150.414,5,19,Tyt
140,140,23.881,150.747,5,19,Tyt
141,141,23.872,150.804,5,19,Tyt
142,142,23.847,150.962,5,19,Tyt
143,143,23.943,150.357,5,19,Tyt
144,144,23.869,150.823,5,19,Tyt
145,145,23.942,150.363,5,19,Tyt
146,146,23.965,150.219,5,19,Tyt
147,147,24.002,149.988,5,19,Tyt
148,148,24.139,149.136,5,19,Tyt
149,149,24.042,149.738,5,19,Tyt
150,150,24.049,149.694,5,19,Tyt
151,151,24.161,149.000,5,19,Tyt
152,152,24.07,149.564,5,19,Tyt
153,153,24.081,149.495,5,19,Tyt
154,154,24.087,149.458,5,19,Tyt
155,155,24.378,147.674,6,19,Tyt
156,156,24.316,148.051,6,19,Tyt
157,157,24.301,148.142,6,19,Tyt
158,158,24.167,148.963,6,19,Tyt
159,159,24.13,149.192,6,19,Tyt
160,160,24.03,149.813,6,19,Tyt
161,161,24.121,149.248,6,19,Tyt
162,162,24.219,148.644,6,19,Tyt
163,163,24.11,149.316,6,19,Tyt
164,164,24.392,147.589,6,19,Tyt
165,165,24.331,147.959,6,19,Tyt
166,166,24.353,147.826,6,19,Tyt
167,167,24.425,147.390,6,19,Tyt
168,168,24.34,147.905,6,19,Tyt
169,169,24.178,148.896,6,19,Tyt
170,170,24.25,148.454,6,19,Tyt
171,171,24.248,148.466,6,19,Tyt
172,172,24.366,147.747,6,19,Tyt
173,173,24.404,147.517,6,19,Tyt
174,174,24.32,148.026,6,19,Tyt
175,175,24.344,147.880,6,19,Tyt
176,176,24.419,147.426,6,19,Tyt
177,177,24.577,146.478,6,19,Tyt
178,178,24.591,146.395,6,19,Tyt
179,179,24.533,146.741,6,19,Tyt
180,180,24.439,147.306,6,19,Tyt
181,181,24.474,147.095,6,19,Tyt
182,182,24.589,146.407,6,19,Tyt
183,183,41.391,86.975,23,19,Tyt
184,184,51.249,70.245,27,19,Tyt
185,185,24.384,147.638,23,19,Tyt
186,186,23.943,150.357,16,19,Tyt
187,187,23.937,150.395,12,19,Tyt
188,188,24.167,148.963,11,19,Tyt
189,189,24.074,149.539,11,19,Tyt
190,190,24.158,149.019,10,19,Tyt
191,191,24.092,149.427,10,19,Tyt
192,192,23.977,150.144,9,19,Tyt
193,193,23.93,150.439,9,19,Tyt
194,194,23.978,150.138,8,19,Tyt
195,195,24.1,149.378,8,19,Tyt
196,196,24.115,149.285,8,19,Tyt
197,197,23.988,150.075,8,19,Tyt
198,198,24.02,149.875,8,19,Tyt
199,199,24.061,149.620,8,19,Tyt
200,200,24.067,149.582,8,19,Tyt
201,201,24.139,149.136,8,19,Tyt
202,202,24.08,149.502,8,19,Tyt
203,203,24.351,147.838,8,19,Tyt
204,204,24.236,148.539,8,19,Tyt
205,205,24.07,149.564,8,19,Tyt
206,206,24.065,149.595,8,19,Tyt
207,207,24.149,149.074,8,19,Tyt
208,208,24.106,149.340,8,19,Tyt
209,209,24.129,149.198,8,19,Tyt
210,210,24.266,148.356,7,19,Tyt
211,211,24.176,148.908,7,19,Tyt
212,212,24.275,148.301,7,19,Tyt
213,213,24.249,148.460,7,19,Tyt
214,214,24.277,148.289,7,19,Tyt
215,215,24.272,148.319,7,19,Tyt
216,216,24.194,148.797,7,19,Tyt
217,217,24.447,147.257,7,19,Tyt
218,218,24.214,148.674,7,19,Tyt
219,219,24.239,148.521,7,19,Tyt
220,220,24.301,148.142,7,19,Tyt
221,221,24.372,147.710,7,19,Tyt
222,222,24.364,147.759,7,19,Tyt
223,223,24.471,147.113,7,19,Tyt
224,224,24.522,146.807,7,19,Tyt
225,225,24.278,148.282,7,19,Tyt
226,226,24.288,148.221,7,19,Tyt
227,227,24.223,148.619,7,19,Tyt
228,228,24.264,148.368,7,19,Tyt
229,229,24.288,148.221,7,19,Tyt
230,230,24.292,148.197,7,19,Tyt
231,231,24.223,148.619,7,19,Tyt
232,232,24.343,147.886,7,19,Tyt
233,233,24.378,147.674,7,19,Tyt
234,234,24.372,147.710,7,19,Tyt
235,235,24.494,146.975,7,19,Tyt
236,236,24.429,147.366,7,19,Tyt
237,237,24.317,148.045,7,19,Tyt
238,238,24.348,147.856,7,19,Tyt
239,239,24.435,147.330,7,19,Tyt
240,240,24.404,147.517,7,19,Tyt
241,241,24.424,147.396,7,19,Tyt
242,242,24.633,146.145,7,19,Tyt
243,243,24.54,146.699,7,19,Tyt
244,244,24.537,146.717,7,19,Tyt
245,245,24.378,147.674,7,19,Tyt
246,246,24.512,146.867,7,19,Tyt
247,247,24.48,147.059,7,19,Tyt
248,248,24.67,145.926,7,19,Tyt
249,249,24.659,145.991,7,19,Tyt
250,250,24.738,145.525,7,19,Tyt
251,251,37.695,95.503,7,19,Tyt
252,252,68.778,52.342,7,19,Tyt
253,253,82.024,43.890,7,19,Tyt
254,254,78.476,45.874,4,19,Tyt
255,255,85.926,41.897,6,19,Tyt
256,256,81.165,44.354,6,19,Tyt
257,257,82.503,43.635,6,19,Tyt
258,258,81.381,44.236,6,19,Tyt
259,259,77.939,46.190,6,19,Tyt
260,260,26.014,138.387,5,19,Tyt
261,261,48.465,74.280,5,19,Tyt
262,262,70.637,50.965,5,19,Tyt
263,263,82.496,43.638,5,19,Tyt
264,264,81.635,44.099,5,19,Tyt
265,265,79.872,45.072,5,19,Tyt
266,266,24.712,145.678,4,19,Tyt
267,267,23.956,150.276,5,19,Tyt
268,268,23.718,151.783,5,19,Tyt
269,269,23.675,152.059,5,19,Tyt
270,270,23.645,152.252,5,19,Tyt
271,271,23.638,152.297,5,19,Tyt
272,272,23.628,152.362,5,19,Tyt
