,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,29,41,Frd
1,1,25.469,141.348,30,41,Frd
2,2,24.904,144.555,31,41,Frd
3,3,24.808,145.114,34,41,Frd
4,4,24.536,146.723,32,41,Frd
5,5,24.451,147.233,33,41,Frd
6,6,24.616,146.246,33,41,Frd
7,7,24.689,145.814,33,41,Frd
8,8,24.52,146.819,32,41,Frd
9,9,25.392,141.777,32,41,Frd
10,10,24.297,148.166,32,41,Frd
11,11,24.197,148.779,32,41,Frd
12,12,24.326,147.990,32,41,Frd
13,13,24.33,147.965,32,41,Frd
14,14,24.248,148.466,32,41,Frd
15,15,24.263,148.374,32,41,Frd
16,16,24.34,147.905,32,41,Frd
17,17,24.387,147.620,32,41,Frd
18,18,24.437,147.318,32,41,Frd
19,19,24.367,147.741,32,41,Frd
20,20,24.941,144.341,33,41,Frd
21,21,24.485,147.029,33,41,Frd
22,22,24.469,147.125,33,41,Frd
23,23,24.344,147.880,33,41,Frd
24,24,24.345,147.874,33,41,Frd
25,25,24.516,146.843,33,41,Frd
26,26,24.516,146.843,33,41,Frd
27,27,24.473,147.101,33,41,Frd
28,28,24.512,146.867,33,41,Frd
29,29,24.549,146.645,33,41,Frd
30,30,24.533,146.741,33,41,Frd
31,31,24.463,147.161,33,41,Frd
32,32,24.484,147.035,33,41,Frd
33,33,24.639,146.110,33,41,Frd
34,34,24.383,147.644,33,41,Frd
35,35,26.175,137.536,33,41,Frd
36,36,41.485,86.778,33,41,Frd
37,37,66.797,53.895,33,41,Frd
38,38,81.852,43.982,36,41,Frd
39,39,89.4,40.268,35,41,Frd
40,40,77.277,46.586,33,41,Frd
41,41,91.993,39.133,33,41,Frd
42,42,48.081,74.874,33,41,Frd
43,43,25.474,141.321,33,41,Frd
44,44,24.51,146.879,33,41,Frd
45,45,24.646,146.068,33,41,Frd
46,46,24.377,147.680,33,41,Frd
47,47,24.601,146.336,33,41,Frd
48,48,24.513,146.861,33,41,Frd
49,49,24.405,147.511,33,41,Frd
50,50,24.821,145.038,33,41,Frd
51,51,24.738,145.525,33,41,Frd
52,52,24.495,146.969,33,41,Frd
53,53,24.439,147.306,33,41,Frd
54,54,24.41,147.481,33,41,Frd
55,55,24.381,147.656,33,41,Frd
