,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,18,99,Chv
1,1,25.174,143.005,17,99,Chv
2,2,24.319,148.032,18,99,Chv
3,3,24.478,147.071,18,99,Chv
4,4,24.311,148.081,18,99,Chv
5,5,24.111,149.309,18,99,Chv
6,6,24.175,148.914,18,99,Chv
7,7,24.798,145.173,18,99,Chv
8,8,24.051,149.682,18,99,Chv
9,9,24.003,149.981,18,99,Chv
10,10,24.131,149.186,18,99,Chv
11,11,24.088,149.452,18,99,Chv
12,12,24.096,149.402,18,99,Chv
13,13,24.092,149.427,18,99,Chv
14,14,24.149,149.074,18,99,Chv
15,15,24.111,149.309,18,99,Chv
16,16,24.095,149.409,18,99,Chv
17,17,24.121,149.248,18,99,Chv
18,18,24.175,148.914,18,99,Chv
19,19,24.221,148.631,18,99,Chv
20,20,24.242,148.503,18,99,Chv
21,21,24.254,148.429,18,99,Chv
22,22,24.365,147.753,18,99,Chv
23,23,24.431,147.354,18,99,Chv
24,24,24.309,148.093,18,99,Chv
25,25,24.216,148.662,18,99,Chv
26,26,24.611,146.276,19,99,Chv
27,27,24.568,146.532,19,99,Chv
28,28,24.517,146.837,19,99,Chv
29,29,24.541,146.693,19,99,Chv
30,30,24.515,146.849,19,99,Chv
31,31,24.659,145.991,20,99,Chv
32,32,24.711,145.684,20,99,Chv
33,33,24.616,146.246,20,99,Chv
34,34,24.464,147.155,20,99,Chv
35,35,24.618,146.234,20,99,Chv
36,36,39.193,91.853,20,99,Chv
37,37,67.822,53.080,20,99,Chv
38,38,84.421,42.643,23,99,Chv
39,39,83.334,43.200,20,99,Chv
40,40,77.659,46.357,18,99,Chv
41,41,85.772,41.972,18,99,Chv
42,42,66.277,54.317,18,99,Chv
43,43,25.629,140.466,19,99,Chv
44,44,24.342,147.893,20,99,Chv
45,45,24.557,146.598,20,99,Chv
46,46,24.39,147.601,20,99,Chv
47,47,24.126,149.217,20,99,Chv
48,48,24.295,148.179,20,99,Chv
49,49,24.263,148.374,20,99,Chv
50,50,24.347,147.862,20,99,Chv
51,51,24.239,148.521,20,99,Chv
52,52,24.407,147.499,21,99,Chv
53,53,24.607,146.300,22,99,Chv
54,54,24.364,147.759,22,99,Chv
55,55,24.274,148.307,22,99,Chv
56,56,24.508,146.891,23,99,Chv
57,57,24.459,147.185,23,99,Chv
58,58,24.354,147.820,23,99,Chv
59,59,24.282,148.258,23,99,Chv
60,60,24.402,147.529,23,99,Chv
61,61,24.338,147.917,23,99,Chv
62,62,24.48,147.059,24,99,Chv
63,63,24.39,147.601,24,99,Chv
64,64,24.602,146.330,25,99,Chv
65,65,24.474,147.095,25,99,Chv
66,66,24.461,147.173,25,99,Chv
67,67,24.392,147.589,25,99,Chv
68,68,24.444,147.275,25,99,Chv
69,69,24.271,148.325,25,99,Chv
70,70,24.271,148.325,25,99,Chv
71,71,24.331,147.959,25,99,Chv
72,72,24.375,147.692,25,99,Chv
73,73,24.389,147.608,25,99,Chv
74,74,24.56,146.580,25,99,Chv
75,75,24.496,146.963,25,99,Chv
76,76,24.479,147.065,26,99,Chv
77,77,24.694,145.784,26,99,Chv
78,78,24.631,146.157,27,99,Chv
