,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,8,22,Frd
1,1,24.898,144.590,8,22,Frd
2,2,23.942,150.363,8,22,Frd
3,3,23.932,150.426,7,22,Frd
4,4,23.637,152.304,7,22,Frd
5,5,23.563,152.782,7,22,Frd
6,6,23.75,151.579,7,22,Frd
7,7,23.826,151.095,7,22,Frd
8,8,23.823,151.114,7,22,Frd
9,9,24.077,149.520,7,22,Frd
10,10,23.909,150.571,7,22,Frd
11,11,23.976,150.150,7,22,Frd
12,12,23.937,150.395,7,22,Frd
13,13,23.882,150.741,7,22,Frd
14,14,23.986,150.088,7,22,Frd
15,15,24.08,149.502,7,22,Frd
16,16,24.07,149.564,7,22,Frd
17,17,24.23,148.576,7,22,Frd
18,18,24.263,148.374,7,22,Frd
19,19,24.23,148.576,7,22,Frd
20,20,24.2,148.760,7,22,Frd
21,21,24.242,148.503,6,22,Frd
22,22,24.267,148.350,6,22,Frd
23,23,24.263,148.374,6,22,Frd
24,24,24.228,148.588,6,22,Frd
25,25,24.203,148.742,6,22,Frd
26,26,24.282,148.258,6,22,Frd
27,27,24.192,148.810,6,22,Frd
28,28,24.172,148.933,6,22,Frd
29,29,24.221,148.631,6,22,Frd
30,30,24.377,147.680,6,22,Frd
31,31,24.36,147.783,6,22,Frd
32,32,24.509,146.885,6,22,Frd
33,33,24.525,146.789,6,22,Frd
34,34,24.6,146.341,6,22,Frd
35,35,24.511,146.873,6,22,Frd
36,36,30.564,117.786,6,22,Frd
37,37,70.648,50.957,6,22,Frd
38,38,94.31,38.172,19,22,Frd
39,39,78.059,46.119,10,22,Frd
40,40,78.143,46.069,9,22,Frd
41,41,82.946,43.402,9,22,Frd
42,42,77.112,46.685,8,22,Frd
43,43,24.935,144.375,8,22,Frd
44,44,24.039,149.757,8,22,Frd
45,45,24.035,149.782,8,22,Frd
46,46,24.372,147.710,8,22,Frd
47,47,24.125,149.223,9,22,Frd
48,48,23.916,150.527,9,22,Frd
49,49,23.929,150.445,9,22,Frd
50,50,23.899,150.634,9,22,Frd
51,51,23.939,150.382,9,22,Frd
52,52,23.916,150.527,9,22,Frd
53,53,23.985,150.094,9,22,Frd
54,54,23.99,150.063,9,22,Frd
55,55,24.195,148.791,9,22,Frd
56,56,24.082,149.489,9,22,Frd
57,57,24.057,149.645,9,22,Frd
58,58,24.173,148.926,9,22,Frd
59,59,24.147,149.087,9,22,Frd
60,60,24.084,149.477,9,22,Frd
61,61,24.04,149.750,9,22,Frd
62,62,24.099,149.384,9,22,Frd
63,63,24.071,149.558,9,22,Frd
64,64,24.486,147.023,10,22,Frd
65,65,24.278,148.282,10,22,Frd
66,66,24.167,148.963,10,22,Frd
67,67,24.223,148.619,10,22,Frd
68,68,24.126,149.217,10,22,Frd
69,69,24.139,149.136,10,22,Frd
70,70,24.236,148.539,10,22,Frd
71,71,24.327,147.984,10,22,Frd
72,72,24.449,147.245,10,22,Frd
73,73,24.313,148.069,10,22,Frd
74,74,24.581,146.455,10,22,Frd
75,75,24.44,147.300,10,22,Frd
76,76,24.464,147.155,10,22,Frd
77,77,24.506,146.903,10,22,Frd
78,78,24.444,147.275,10,22,Frd
79,79,24.421,147.414,10,22,Frd
80,80,24.357,147.801,10,22,Frd
81,81,24.349,147.850,10,22,Frd
82,82,24.329,147.972,10,22,Frd
83,83,24.332,147.953,9,22,Frd
84,84,24.279,148.276,9,22,Frd
85,85,24.359,147.789,9,22,Frd
86,86,24.362,147.771,9,22,Frd
87,87,24.388,147.614,9,22,Frd
88,88,24.295,148.179,9,22,Frd
89,89,24.345,147.874,9,22,Frd
90,90,24.472,147.107,9,22,Frd
91,91,24.555,146.610,9,22,Frd
92,92,24.439,147.306,9,22,Frd
93,93,24.34,147.905,9,22,Frd
94,94,24.364,147.759,9,22,Frd
95,95,24.291,148.203,9,22,Frd
96,96,24.341,147.899,9,22,Frd
97,97,24.481,147.053,9,22,Frd
98,98,24.563,146.562,9,22,Frd
99,99,24.58,146.461,9,22,Frd
100,100,24.7,145.749,9,22,Frd
101,101,24.683,145.849,9,22,Frd
102,102,24.949,144.294,10,22,Frd
103,103,24.938,144.358,10,22,Frd
104,104,24.776,145.302,10,22,Frd
105,105,24.678,145.879,10,22,Frd
106,106,24.714,145.666,10,22,Frd
107,107,24.684,145.843,10,22,Frd
108,108,24.725,145.602,10,22,Frd
109,109,24.712,145.678,10,22,Frd
110,110,24.722,145.619,10,22,Frd
111,111,24.638,146.116,10,22,Frd
112,112,24.825,145.015,10,22,Frd
113,113,24.732,145.560,10,22,Frd
114,114,24.695,145.778,10,22,Frd
115,115,24.622,146.211,10,22,Frd
116,116,24.529,146.765,10,22,Frd
117,117,24.577,146.478,10,22,Frd
118,118,25.069,143.604,10,22,Frd
119,119,24.917,144.480,9,22,Frd
120,120,24.709,145.696,9,22,Frd
121,121,38.357,93.855,9,22,Frd
122,122,68.54,52.524,9,22,Frd
123,123,82.344,43.719,9,22,Frd
124,124,86.593,41.574,15,22,Frd
125,125,74.768,48.149,7,22,Frd
126,126,79.564,45.247,7,22,Frd
127,127,83.187,43.276,7,22,Frd
128,128,78.31,45.971,8,22,Frd
129,129,25.074,143.575,9,22,Frd
130,130,24.236,148.539,10,22,Frd
131,131,24.348,147.856,12,22,Frd
132,132,24.005,149.969,12,22,Frd
133,133,23.959,150.257,12,22,Frd
134,134,23.891,150.684,12,22,Frd
135,135,23.977,150.144,12,22,Frd
136,136,23.988,150.075,12,22,Frd
137,137,24.036,149.775,12,22,Frd
138,138,24.031,149.806,12,22,Frd
139,139,24.094,149.415,12,22,Frd
140,140,23.996,150.025,12,22,Frd
141,141,24.079,149.508,12,22,Frd
142,142,24.059,149.632,12,22,Frd
143,143,24.061,149.620,12,22,Frd
144,144,24.075,149.533,12,22,Frd
145,145,24.064,149.601,12,22,Frd
146,146,24.299,148.154,12,22,Frd
147,147,24.19,148.822,12,22,Frd
148,148,24.122,149.241,12,22,Frd
149,149,24.216,148.662,12,22,Frd
150,150,24.279,148.276,12,22,Frd
151,151,24.176,148.908,12,22,Frd
152,152,24.037,149.769,12,22,Frd
153,153,24.06,149.626,12,22,Frd
154,154,24.16,149.007,12,22,Frd
155,155,24.163,148.988,12,22,Frd
156,156,24.231,148.570,12,22,Frd
157,157,24.311,148.081,12,22,Frd
158,158,24.194,148.797,12,22,Frd
159,159,24.21,148.699,12,22,Frd
160,160,24.255,148.423,12,22,Frd
161,161,24.261,148.386,12,22,Frd
162,162,24.232,148.564,12,22,Frd
163,163,24.133,149.173,12,22,Frd
164,164,24.26,148.392,11,22,Frd
165,165,24.224,148.613,11,22,Frd
166,166,24.245,148.484,11,22,Frd
167,167,24.336,147.929,11,22,Frd
168,168,24.214,148.674,11,22,Frd
169,169,24.254,148.429,11,22,Frd
170,170,24.286,148.234,11,22,Frd
171,171,24.267,148.350,11,22,Frd
172,172,24.373,147.704,11,22,Frd
173,173,24.455,147.209,11,22,Frd
174,174,24.346,147.868,11,22,Frd
175,175,24.322,148.014,11,22,Frd
176,176,24.285,148.240,11,22,Frd
177,177,24.765,145.366,12,22,Frd
178,178,24.532,146.747,12,22,Frd
179,179,24.622,146.211,13,22,Frd
180,180,24.568,146.532,13,22,Frd
181,181,24.521,146.813,13,22,Frd
182,182,24.576,146.484,13,22,Frd
183,183,24.632,146.151,10,22,Frd
