,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,28,42,Tyt
1,1,25.364,141.933,27,42,Tyt
2,2,24.76,145.396,26,42,Tyt
3,3,24.427,147.378,27,42,Tyt
4,4,24.302,148.136,28,42,Tyt
5,5,24.809,145.109,28,42,Tyt
6,6,24.602,146.330,29,42,Tyt
7,7,24.547,146.657,29,42,Tyt
8,8,24.588,146.413,29,42,Tyt
9,9,24.497,146.957,28,42,Tyt
10,10,24.477,147.077,28,42,Tyt
11,11,24.455,147.209,28,42,Tyt
12,12,24.371,147.717,29,42,Tyt
13,13,24.361,147.777,29,42,Tyt
14,14,24.387,147.620,29,42,Tyt
15,15,24.269,148.337,29,42,Tyt
16,16,24.281,148.264,29,42,Tyt
17,17,24.244,148.490,29,42,Tyt
18,18,24.283,148.252,29,42,Tyt
19,19,24.315,148.057,29,42,Tyt
20,20,24.282,148.258,29,42,Tyt
21,21,24.317,148.045,29,42,Tyt
22,22,24.29,148.209,29,42,Tyt
23,23,24.341,147.899,29,42,Tyt
24,24,24.349,147.850,29,42,Tyt
25,25,24.382,147.650,29,42,Tyt
26,26,24.399,147.547,29,42,Tyt
27,27,24.482,147.047,29,42,Tyt
28,28,24.507,146.897,29,42,Tyt
29,29,24.421,147.414,29,42,Tyt
30,30,24.409,147.487,29,42,Tyt
31,31,24.419,147.426,29,42,Tyt
32,32,24.42,147.420,29,42,Tyt
33,33,24.432,147.348,29,42,Tyt
34,34,24.486,147.023,29,42,Tyt
35,35,24.829,144.992,29,42,Tyt
36,36,41.802,86.120,29,42,Tyt
37,37,67.486,53.344,29,42,Tyt
38,38,69.522,51.782,13,42,Tyt
39,39,104.494,34.452,34,42,Tyt
40,40,75.913,47.423,31,42,Tyt
41,41,91.235,39.459,31,42,Tyt
42,42,50.787,70.884,31,42,Tyt
43,43,25.313,142.219,31,42,Tyt
44,44,24.56,146.580,32,42,Tyt
45,45,24.573,146.502,31,42,Tyt
46,46,24.445,147.269,31,42,Tyt
47,47,24.617,146.240,31,42,Tyt
48,48,24.418,147.432,31,42,Tyt
49,49,24.647,146.062,32,42,Tyt
50,50,24.594,146.377,32,42,Tyt
51,51,24.534,146.735,32,42,Tyt
52,52,24.476,147.083,32,42,Tyt
53,53,24.236,148.539,31,42,Tyt
54,54,24.261,148.386,31,42,Tyt
55,55,24.295,148.179,31,42,Tyt
56,56,24.347,147.862,31,42,Tyt
57,57,24.393,147.583,31,42,Tyt
58,58,24.237,148.533,31,42,Tyt
59,59,24.209,148.705,31,42,Tyt
60,60,24.34,147.905,31,42,Tyt
61,61,24.415,147.450,31,42,Tyt
62,62,24.338,147.917,31,42,Tyt
63,63,24.259,148.399,31,42,Tyt
64,64,24.271,148.325,30,42,Tyt
65,65,24.379,147.668,30,42,Tyt
66,66,24.342,147.893,30,42,Tyt
67,67,24.38,147.662,30,42,Tyt
68,68,24.329,147.972,30,42,Tyt
69,69,24.464,147.155,30,42,Tyt
70,70,24.5,146.939,30,42,Tyt
71,71,24.403,147.523,30,42,Tyt
72,72,24.463,147.161,30,42,Tyt
73,73,24.568,146.532,30,42,Tyt
74,74,24.526,146.783,30,42,Tyt
75,75,24.436,147.324,30,42,Tyt
76,76,24.336,147.929,30,42,Tyt
77,77,24.378,147.674,30,42,Tyt
78,78,24.431,147.354,30,42,Tyt
79,79,24.414,147.456,30,42,Tyt
80,80,24.438,147.312,30,42,Tyt
81,81,24.55,146.640,30,42,Tyt
82,82,24.397,147.559,30,42,Tyt
83,83,24.449,147.245,29,42,Tyt
84,84,24.335,147.935,28,42,Tyt
85,85,24.398,147.553,28,42,Tyt
86,86,24.542,146.687,28,42,Tyt
87,87,24.482,147.047,28,42,Tyt
88,88,24.397,147.559,28,42,Tyt
89,89,24.335,147.935,28,42,Tyt
90,90,24.342,147.893,28,42,Tyt
91,91,24.44,147.300,28,42,Tyt
92,92,24.469,147.125,28,42,Tyt
93,93,24.429,147.366,28,42,Tyt
94,94,24.575,146.490,28,42,Tyt
95,95,24.46,147.179,28,42,Tyt
96,96,24.493,146.981,28,42,Tyt
97,97,24.661,145.979,28,42,Tyt
98,98,24.638,146.116,28,42,Tyt
99,99,24.67,145.926,28,42,Tyt
100,100,24.649,146.051,28,42,Tyt
101,101,24.721,145.625,28,42,Tyt
102,102,24.809,145.109,28,42,Tyt
103,103,24.738,145.525,28,42,Tyt
104,104,24.703,145.731,28,42,Tyt
105,105,24.531,146.753,28,42,Tyt
106,106,24.502,146.927,28,42,Tyt
107,107,24.601,146.336,28,42,Tyt
108,108,24.556,146.604,28,42,Tyt
109,109,24.608,146.294,28,42,Tyt
110,110,24.672,145.914,28,42,Tyt
111,111,24.652,146.033,28,42,Tyt
112,112,24.852,144.858,28,42,Tyt
113,113,24.891,144.631,28,42,Tyt
114,114,24.907,144.538,27,42,Tyt
115,115,25.145,143.170,27,42,Tyt
116,116,25.163,143.067,27,42,Tyt
117,117,25.22,142.744,27,42,Tyt
118,118,25.901,138.991,28,42,Tyt
119,119,25.803,139.519,28,42,Tyt
120,120,30.136,119.458,28,42,Tyt
121,121,47.218,76.242,28,42,Tyt
122,122,62.024,58.042,28,42,Tyt
123,123,78.948,45.600,28,42,Tyt
124,124,64.242,56.038,11,42,Tyt
125,125,98.172,36.670,28,42,Tyt
126,126,76.95,46.784,27,42,Tyt
127,127,90.211,39.906,27,42,Tyt
128,128,55.053,65.392,27,42,Tyt
129,129,25.219,142.750,27,42,Tyt
130,130,24.316,148.051,25,42,Tyt
131,131,24.43,147.360,25,42,Tyt
132,132,24.385,147.632,25,42,Tyt
133,133,24.227,148.595,25,42,Tyt
134,134,24.205,148.730,24,42,Tyt
135,135,24.261,148.386,24,42,Tyt
136,136,24.253,148.435,24,42,Tyt
137,137,24.205,148.730,24,42,Tyt
