,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,10,8,Chv
1,1,25.015,143.914,9,8,Chv
2,2,23.868,150.830,9,8,Chv
3,3,23.926,150.464,9,8,Chv
4,4,24.127,149.210,9,8,Chv
5,5,23.788,151.337,8,8,Chv
6,6,23.736,151.668,8,8,Chv
7,7,23.809,151.203,8,8,Chv
8,8,23.811,151.191,8,8,Chv
9,9,23.917,150.521,8,8,Chv
10,10,23.925,150.470,8,8,Chv
11,11,23.87,150.817,8,8,Chv
12,12,23.935,150.407,8,8,Chv
13,13,23.948,150.326,8,8,Chv
14,14,23.983,150.106,8,8,Chv
15,15,23.899,150.634,8,8,Chv
16,16,23.976,150.150,8,8,Chv
17,17,24.177,148.902,8,8,Chv
18,18,24.095,149.409,8,8,Chv
19,19,24.394,147.577,8,8,Chv
20,20,24.271,148.325,8,8,Chv
21,21,24.341,147.899,8,8,Chv
22,22,24.369,147.729,7,8,Chv
23,23,24.239,148.521,7,8,Chv
24,24,24.197,148.779,7,8,Chv
25,25,24.265,148.362,7,8,Chv
26,26,24.257,148.411,7,8,Chv
27,27,24.212,148.687,7,8,Chv
28,28,24.281,148.264,7,8,Chv
29,29,24.264,148.368,7,8,Chv
30,30,24.319,148.032,7,8,Chv
31,31,24.275,148.301,7,8,Chv
32,32,24.436,147.324,7,8,Chv
33,33,24.461,147.173,7,8,Chv
34,34,24.707,145.708,7,8,Chv
35,35,24.325,147.996,7,8,Chv
36,36,30.978,116.212,7,8,Chv
37,37,70.829,50.827,7,8,Chv
38,38,80.313,44.825,4,8,Chv
39,39,84.261,42.724,5,8,Chv
40,40,80.843,44.531,4,8,Chv
41,41,81.845,43.986,4,8,Chv
42,42,81.83,43.994,4,8,Chv
43,43,25.021,143.879,5,8,Chv
44,44,24.116,149.278,6,8,Chv
45,45,24.191,148.816,6,8,Chv
46,46,24.051,149.682,6,8,Chv
47,47,23.865,150.849,6,8,Chv
48,48,23.827,151.089,6,8,Chv
49,49,23.763,151.496,6,8,Chv
50,50,23.851,150.937,6,8,Chv
51,51,23.979,150.131,6,8,Chv
52,52,23.956,150.276,6,8,Chv
53,53,23.968,150.200,6,8,Chv
54,54,24.039,149.757,6,8,Chv
55,55,23.965,150.219,6,8,Chv
56,56,24.01,149.938,6,8,Chv
57,57,24.028,149.825,6,8,Chv
58,58,24.016,149.900,6,8,Chv
59,59,24.013,149.919,6,8,Chv
60,60,24.038,149.763,6,8,Chv
61,61,23.964,150.225,6,8,Chv
62,62,24.021,149.869,6,8,Chv
63,63,24.013,149.919,6,8,Chv
64,64,24.054,149.663,6,8,Chv
65,65,24.103,149.359,6,8,Chv
66,66,24.114,149.291,6,8,Chv
67,67,24.205,148.730,6,8,Chv
68,68,24.161,149.000,6,8,Chv
69,69,24.286,148.234,6,8,Chv
70,70,24.178,148.896,6,8,Chv
71,71,24.206,148.723,6,8,Chv
72,72,24.092,149.427,6,8,Chv
73,73,24.172,148.933,6,8,Chv
74,74,24.227,148.595,6,8,Chv
75,75,24.339,147.911,6,8,Chv
76,76,24.287,148.227,6,8,Chv
77,77,24.267,148.350,6,8,Chv
78,78,24.329,147.972,6,8,Chv
79,79,24.326,147.990,6,8,Chv
80,80,24.372,147.710,6,8,Chv
81,81,24.371,147.717,6,8,Chv
82,82,24.35,147.844,6,8,Chv
83,83,24.376,147.686,6,8,Chv
84,84,24.315,148.057,6,8,Chv
85,85,24.237,148.533,6,8,Chv
86,86,24.271,148.325,5,8,Chv
87,87,24.269,148.337,5,8,Chv
88,88,24.349,147.850,5,8,Chv
89,89,24.297,148.166,5,8,Chv
90,90,24.278,148.282,5,8,Chv
91,91,24.273,148.313,5,8,Chv
92,92,24.353,147.826,5,8,Chv
93,93,24.414,147.456,5,8,Chv
94,94,24.521,146.813,5,8,Chv
95,95,24.515,146.849,5,8,Chv
96,96,24.662,145.974,5,8,Chv
97,97,24.43,147.360,5,8,Chv
98,98,24.607,146.300,5,8,Chv
99,99,24.929,144.410,6,8,Chv
100,100,24.954,144.265,6,8,Chv
101,101,24.606,146.306,6,8,Chv
102,102,24.735,145.543,6,8,Chv
103,103,24.621,146.217,6,8,Chv
104,104,24.58,146.461,6,8,Chv
