,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,34,47,Chv
1,1,25.198,142.868,32,47,Chv
2,2,24.781,145.273,31,47,Chv
3,3,24.684,145.843,32,47,Chv
4,4,24.742,145.502,34,47,Chv
5,5,24.629,146.169,34,47,Chv
6,6,24.532,146.747,34,47,Chv
7,7,24.76,145.396,34,47,Chv
8,8,24.488,147.011,34,47,Chv
9,9,24.876,144.718,31,47,Chv
10,10,24.189,148.828,31,47,Chv
11,11,24.209,148.705,31,47,Chv
12,12,24.252,148.441,31,47,Chv
13,13,24.235,148.545,31,47,Chv
14,14,24.304,148.124,31,47,Chv
15,15,24.268,148.343,31,47,Chv
16,16,24.29,148.209,31,47,Chv
17,17,24.346,147.868,31,47,Chv
18,18,24.378,147.674,31,47,Chv
19,19,24.331,147.959,31,47,Chv
20,20,24.145,149.099,31,47,Chv
21,21,24.251,148.447,31,47,Chv
22,22,24.286,148.234,30,47,Chv
23,23,24.343,147.886,30,47,Chv
24,24,24.439,147.306,30,47,Chv
25,25,24.493,146.981,30,47,Chv
26,26,24.522,146.807,30,47,Chv
27,27,24.539,146.705,30,47,Chv
28,28,24.48,147.059,30,47,Chv
29,29,24.618,146.234,30,47,Chv
30,30,24.644,146.080,30,47,Chv
31,31,24.76,145.396,31,47,Chv
32,32,24.712,145.678,31,47,Chv
33,33,24.696,145.773,31,47,Chv
34,34,24.673,145.908,31,47,Chv
35,35,25.584,140.713,31,47,Chv
36,36,40.184,89.588,31,47,Chv
37,37,67.425,53.393,31,47,Chv
38,38,82.351,43.715,34,47,Chv
39,39,88.703,40.585,32,47,Chv
40,40,76.603,46.996,30,47,Chv
41,41,91.381,39.395,30,47,Chv
42,42,51.179,70.341,29,47,Chv
43,43,25.436,141.532,30,47,Chv
44,44,24.308,148.099,29,47,Chv
45,45,24.626,146.187,29,47,Chv
46,46,24.708,145.702,29,47,Chv
47,47,24.549,146.645,30,47,Chv
48,48,24.403,147.523,30,47,Chv
49,49,24.672,145.914,30,47,Chv
50,50,24.401,147.535,30,47,Chv
51,51,24.446,147.263,30,47,Chv
52,52,24.455,147.209,30,47,Chv
53,53,24.475,147.089,30,47,Chv
54,54,24.232,148.564,30,47,Chv
55,55,24.244,148.490,30,47,Chv
56,56,24.359,147.789,30,47,Chv
57,57,24.336,147.929,30,47,Chv
58,58,24.249,148.460,30,47,Chv
59,59,24.268,148.343,30,47,Chv
60,60,24.214,148.674,30,47,Chv
61,61,24.383,147.644,30,47,Chv
62,62,24.447,147.257,30,47,Chv
63,63,24.444,147.275,30,47,Chv
64,64,24.503,146.921,31,47,Chv
65,65,24.55,146.640,31,47,Chv
66,66,24.491,146.993,32,47,Chv
67,67,25.001,143.994,32,47,Chv
68,68,24.521,146.813,32,47,Chv
69,69,24.353,147.826,32,47,Chv
70,70,24.515,146.849,32,47,Chv
71,71,24.391,147.595,32,47,Chv
72,72,24.423,147.402,32,47,Chv
73,73,24.388,147.614,32,47,Chv
74,74,24.338,147.917,32,47,Chv
75,75,24.361,147.777,32,47,Chv
76,76,24.369,147.729,32,47,Chv
77,77,24.364,147.759,32,47,Chv
78,78,24.489,147.005,32,47,Chv
79,79,24.588,146.413,32,47,Chv
80,80,24.442,147.287,32,47,Chv
81,81,24.456,147.203,32,47,Chv
82,82,24.564,146.556,32,47,Chv
83,83,24.549,146.645,32,47,Chv
84,84,24.442,147.287,32,47,Chv
85,85,24.664,145.962,32,47,Chv
86,86,24.746,145.478,32,47,Chv
87,87,24.686,145.832,32,47,Chv
88,88,24.671,145.920,31,47,Chv
89,89,24.685,145.838,31,47,Chv
90,90,24.603,146.324,31,47,Chv
91,91,25.251,142.569,31,47,Chv
92,92,24.991,144.052,31,47,Chv
93,93,24.877,144.712,31,47,Chv
94,94,25.093,143.466,31,47,Chv
95,95,24.924,144.439,31,47,Chv
96,96,24.765,145.366,31,47,Chv
97,97,24.628,146.175,31,47,Chv
98,98,24.675,145.897,31,47,Chv
99,99,24.78,145.278,31,47,Chv
100,100,24.793,145.202,31,47,Chv
101,101,24.844,144.904,31,47,Chv
102,102,24.813,145.085,31,47,Chv
103,103,24.764,145.372,31,47,Chv
104,104,24.948,144.300,31,47,Chv
105,105,24.848,144.881,31,47,Chv
106,106,25.229,142.693,31,47,Chv
107,107,25.038,143.781,31,47,Chv
108,108,24.857,144.828,31,47,Chv
109,109,24.824,145.021,31,47,Chv
110,110,25.238,142.642,31,47,Chv
111,111,24.824,145.021,31,47,Chv
112,112,24.781,145.273,31,47,Chv
113,113,25.593,140.663,32,47,Chv
114,114,25.654,140.329,32,47,Chv
115,115,25.422,141.610,32,47,Chv
116,116,25.596,140.647,32,47,Chv
117,117,25.479,141.293,32,47,Chv
118,118,26.097,137.947,32,47,Chv
119,119,25.748,139.817,31,47,Chv
120,120,38.571,93.334,31,47,Chv
121,121,67.595,53.258,31,47,Chv
122,122,82.348,43.717,31,47,Chv
123,123,72.578,49.602,31,47,Chv
124,124,95.561,37.672,33,47,Chv
125,125,93.164,38.642,31,47,Chv
126,126,92.234,39.031,31,47,Chv
127,127,49.551,72.652,31,47,Chv
128,128,25.21,142.800,31,47,Chv
129,129,24.448,147.251,31,47,Chv
130,130,24.509,146.885,30,47,Chv
131,131,24.451,147.233,30,47,Chv
132,132,24.313,148.069,30,47,Chv
133,133,24.43,147.360,30,47,Chv
134,134,24.301,148.142,30,47,Chv
135,135,24.573,146.502,30,47,Chv
136,136,24.512,146.867,30,47,Chv
137,137,24.329,147.972,31,47,Chv
138,138,24.568,146.532,31,47,Chv
139,139,24.245,148.484,31,47,Chv
140,140,24.455,147.209,31,47,Chv
141,141,24.365,147.753,31,47,Chv
142,142,24.264,148.368,31,47,Chv
143,143,24.457,147.197,31,47,Chv
144,144,24.43,147.360,31,47,Chv
145,145,24.41,147.481,31,47,Chv
146,146,24.258,148.405,31,47,Chv
147,147,24.274,148.307,31,47,Chv
148,148,24.323,148.008,31,47,Chv
149,149,24.294,148.185,31,47,Chv
150,150,24.367,147.741,31,47,Chv
151,151,24.38,147.662,31,47,Chv
152,152,24.375,147.692,31,47,Chv
153,153,24.26,148.392,31,47,Chv
154,154,24.245,148.484,31,47,Chv
155,155,24.547,146.657,31,47,Chv
156,156,24.516,146.843,31,47,Chv
157,157,24.397,147.559,31,47,Chv
158,158,24.373,147.704,31,47,Chv
159,159,24.426,147.384,31,47,Chv
160,160,24.389,147.608,31,47,Chv
161,161,24.461,147.173,31,47,Chv
162,162,24.458,147.191,31,47,Chv
163,163,24.498,146.951,31,47,Chv
164,164,24.408,147.493,31,47,Chv
165,165,24.301,148.142,31,47,Chv
166,166,24.433,147.342,31,47,Chv
167,167,24.384,147.638,31,47,Chv
168,168,24.488,147.011,31,47,Chv
169,169,24.541,146.693,31,47,Chv
170,170,24.447,147.257,31,47,Chv
171,171,24.496,146.963,31,47,Chv
172,172,24.533,146.741,31,47,Chv
173,173,24.475,147.089,31,47,Chv
174,174,24.473,147.101,31,47,Chv
175,175,24.355,147.814,31,47,Chv
176,176,24.519,146.825,31,47,Chv
177,177,24.577,146.478,31,47,Chv
178,178,24.683,145.849,31,47,Chv
179,179,24.722,145.619,31,47,Chv
180,180,24.731,145.566,30,47,Chv
181,181,24.878,144.706,30,47,Chv
182,182,24.917,144.480,29,47,Chv
183,183,24.864,144.788,29,47,Chv
184,184,24.873,144.735,28,47,Chv
185,185,24.882,144.683,24,47,Chv
186,186,24.912,144.509,18,47,Chv
187,187,24.786,145.243,16,47,Chv
188,188,25.137,143.215,18,47,Chv
189,189,24.925,144.433,19,47,Chv
190,190,25.058,143.667,19,47,Chv
191,191,53.704,67.034,33,47,Chv
192,192,38.255,94.105,33,47,Chv
193,193,23.892,150.678,33,47,Chv
194,194,23.829,151.076,32,47,Chv
195,195,24.166,148.970,32,47,Chv
196,196,24.192,148.810,32,47,Chv
197,197,24.12,149.254,32,47,Chv
198,198,24.01,149.938,32,47,Chv
199,199,24.148,149.081,32,47,Chv
200,200,23.983,150.106,32,47,Chv
201,201,24.105,149.347,32,47,Chv
202,202,24.094,149.415,32,47,Chv
203,203,24.082,149.489,32,47,Chv
204,204,23.929,150.445,31,47,Chv
205,205,24.051,149.682,31,47,Chv
206,206,24.2,148.760,31,47,Chv
207,207,24.309,148.093,31,47,Chv
208,208,24.25,148.454,31,47,Chv
209,209,24.182,148.871,31,47,Chv
210,210,24.349,147.850,31,47,Chv
211,211,24.244,148.490,30,47,Chv
212,212,24.261,148.386,30,47,Chv
213,213,24.378,147.674,30,47,Chv
214,214,24.217,148.656,30,47,Chv
215,215,24.418,147.432,30,47,Chv
216,216,24.685,145.838,30,47,Chv
217,217,24.525,146.789,29,47,Chv
