,Lap,LapTime,LapSpeed,RunningPos,Number,Manufacturer
0,0,,,31,12,Frd
1,1,25.312,142.225,33,12,Frd
2,2,24.804,145.138,33,12,Frd
3,3,24.418,147.432,30,12,Frd
4,4,24.124,149.229,30,12,Frd
5,5,24.613,146.264,29,12,Frd
6,6,24.347,147.862,28,12,Frd
7,7,24.284,148.246,28,12,Frd
8,8,24.734,145.549,27,12,Frd
9,9,24.307,148.105,27,12,Frd
10,10,24.586,146.425,27,12,Frd
11,11,24.273,148.313,27,12,Frd
12,12,24.277,148.289,27,12,Frd
13,13,24.285,148.240,27,12,Frd
14,14,24.172,148.933,27,12,Frd
15,15,24.194,148.797,27,12,Frd
16,16,24.185,148.853,27,12,Frd
17,17,24.183,148.865,27,12,Frd
18,18,24.156,149.031,27,12,Frd
19,19,24.111,149.309,27,12,Frd
20,20,24.2,148.760,27,12,Frd
21,21,24.452,147.227,27,12,Frd
22,22,24.409,147.487,27,12,Frd
23,23,24.427,147.378,27,12,Frd
24,24,24.402,147.529,27,12,Frd
25,25,24.541,146.693,27,12,Frd
26,26,24.526,146.783,27,12,Frd
27,27,24.308,148.099,27,12,Frd
28,28,24.26,148.392,26,12,Frd
29,29,24.318,148.038,26,12,Frd
30,30,24.278,148.282,26,12,Frd
31,31,24.384,147.638,26,12,Frd
32,32,24.341,147.899,26,12,Frd
33,33,24.48,147.059,26,12,Frd
34,34,24.317,148.045,26,12,Frd
35,35,25.0,144.000,26,12,Frd
36,36,41.574,86.593,26,12,Frd
37,37,66.943,53.777,26,12,Frd
38,38,83.422,43.154,30,12,Frd
39,39,87.195,41.287,27,12,Frd
40,40,76.512,47.051,25,12,Frd
41,41,88.272,40.783,25,12,Frd
42,42,58.127,61.933,25,12,Frd
43,43,25.308,142.248,23,12,Frd
44,44,24.46,147.179,24,12,Frd
45,45,24.511,146.873,24,12,Frd
46,46,24.554,146.616,24,12,Frd
47,47,24.216,148.662,23,12,Frd
48,48,24.058,149.638,22,12,Frd
49,49,24.282,148.258,22,12,Frd
50,50,24.182,148.871,22,12,Frd
51,51,24.393,147.583,22,12,Frd
52,52,24.061,149.620,22,12,Frd
53,53,24.336,147.929,21,12,Frd
54,54,23.974,150.163,21,12,Frd
55,55,24.262,148.380,21,12,Frd
56,56,24.179,148.890,21,12,Frd
57,57,24.345,147.874,21,12,Frd
58,58,24.134,149.167,21,12,Frd
59,59,24.154,149.044,21,12,Frd
60,60,24.146,149.093,20,12,Frd
61,61,24.186,148.846,20,12,Frd
62,62,24.167,148.963,20,12,Frd
63,63,24.167,148.963,20,12,Frd
64,64,24.083,149.483,20,12,Frd
65,65,24.201,148.754,20,12,Frd
66,66,24.14,149.130,20,12,Frd
67,67,24.311,148.081,20,12,Frd
68,68,24.286,148.234,20,12,Frd
69,69,24.39,147.601,20,12,Frd
70,70,24.183,148.865,20,12,Frd
71,71,24.387,147.620,20,12,Frd
72,72,24.368,147.735,20,12,Frd
73,73,24.379,147.668,20,12,Frd
74,74,24.355,147.814,20,12,Frd
75,75,24.35,147.844,20,12,Frd
76,76,24.23,148.576,20,12,Frd
77,77,24.29,148.209,20,12,Frd
78,78,24.394,147.577,20,12,Frd
79,79,24.465,147.149,19,12,Frd
80,80,24.228,148.588,19,12,Frd
81,81,24.215,148.668,19,12,Frd
82,82,24.277,148.289,19,12,Frd
83,83,24.328,147.978,19,12,Frd
84,84,24.369,147.729,19,12,Frd
85,85,24.428,147.372,19,12,Frd
86,86,24.34,147.905,19,12,Frd
87,87,24.528,146.771,19,12,Frd
88,88,24.505,146.909,19,12,Frd
89,89,24.456,147.203,19,12,Frd
90,90,24.443,147.281,19,12,Frd
91,91,24.562,146.568,19,12,Frd
92,92,24.46,147.179,19,12,Frd
93,93,24.478,147.071,18,12,Frd
94,94,24.584,146.437,18,12,Frd
95,95,24.608,146.294,18,12,Frd
96,96,24.601,146.336,18,12,Frd
97,97,24.744,145.490,18,12,Frd
98,98,24.558,146.592,18,12,Frd
99,99,24.645,146.074,18,12,Frd
100,100,24.638,146.116,18,12,Frd
101,101,24.575,146.490,17,12,Frd
102,102,24.508,146.891,17,12,Frd
103,103,24.656,146.009,17,12,Frd
104,104,24.66,145.985,17,12,Frd
105,105,24.591,146.395,17,12,Frd
106,106,24.623,146.205,17,12,Frd
107,107,24.72,145.631,17,12,Frd
108,108,24.885,144.665,17,12,Frd
109,109,24.606,146.306,17,12,Frd
110,110,24.501,146.933,17,12,Frd
111,111,24.775,145.308,17,12,Frd
